cliente_id,tipo_cliente,data_cadastro,canal_aquisicao,campanha_origem_id,segmento_b2b,vendedor_id,municipio,uf,cep_prefixo
CLI000035,B2C,2025-11-26,indicação,,,,Petrópolis,RJ,26660
CLI000036,B2C,2025-08-24,influenciador,INF-202508,,,Jundiaí,SP,15458
CLI000037,B2C,2026-01-14,social pago,SOC-202601,,,Florianópolis,SC,65025
CLI000038,B2C,2025-08-13,CRM,,,,Vitória,ES,80268
CLI000039,B2C,2025-08-04,social pago,SOC-202508,,,Belo Horizonte,MG,08157
CLI000040,B2C,2025-11-21,indicação,,,,Florianópolis,SC,38951
CLI000041,B2C,2025-05-15,influenciador,INF-202505,,,Chapecó,SC,71099
CLI000042,B2C,2025-08-13,orgânico,,,,Joinville,SC,44266
CLI000043,B2C,2025-04-25,,,,,Americana,SP,26525
CLI000044,B2C,2025-05-09,CRM,,,,Ponta Grossa,PR,84438
CLI000045,B2C,2025-01-27,social pago,SOC-202501,,,Blumenau,SC,65763
CLI000046,B2C,2025-04-04,influenciador,INF-202504,,,Jundiaí,SP,62399
CLI000047,B2C,2026-03-13,orgânico,,,,Sorocaba,SP,15307
CLI000048,B2C,2025-05-01,influenciador,INF-202505,,,Volta Redonda,RJ,91704
CLI000049,B2C,2025-10-05,orgânico,,,,Sorocaba,SP,09175
CLI000050,B2C,2025-04-03,busca paga,SEA-202504,,,Jundiaí,SP,86969
CLI000051,B2C,2026-05-03,busca paga,SEA-202605,,,Niterói,RJ,07133
CLI000052,B2C,2025-02-13,indicação,,,,Sorocaba Mun.,SP,40696
CLI000053,B2C,2026-02-06,social pago,SOC-202602,,,Jundiaí,SP,32794
CLI000054,B2C,2026-03-18,busca paga,SEA-202603,,,Ribeirão Preto,SP,47147
CLI000055,B2C,2025-03-21,indicação,,,,Curitiba.,PR,35987
CLI000056,B2C,2025-06-01,busca paga,SEA-202506,,,Belém,PA,48663
CLI000057,B2C,2026-01-26,social pago,SOC-202601,,,Cascavel,PR,71670
CLI000058,B2C,2025-06-02,busca paga,SEA-202506,,,Belo Horizonte,MG,68876
CLI000059,B2C,2026-03-02,social pago,SOC-202603,,,Ribeirão Preto,SP,15612
CLI000060,B2C,2025-03-14,orgânico,,,,Uberlândia,MG,39572
CLI000061,B2C,2025-02-16,indicação,,,,São Paulo,SP,10221
CLI000062,B2C,2025-10-07,orgânico,,,,Jundiaí,SP,01053
CLI000063,B2C,2025-11-11,influenciador,INF-202511,,,São José dos Campos,SP,56783
CLI000064,B2C,2026-01-23,social pago,SOC-202601,,,Florianópolis,SC,33800
CLI000065,B2C,2025-10-25,orgânico,,,,São Paulo.,SP,62399
CLI000066,B2C,2026-03-27,social pago,SOC-202603,,,Contagem,MG,89224
CLI000067,B2C,2025-07-15,busca paga,SEA-202507,,,Limeira,SP,64433
CLI000068,B2C,2025-12-04,busca paga,SEA-202512,,,Salvador,BA,34910
CLI000069,B2C,2025-10-12,busca paga,SEA-202510,,,Ribeirão Pret,SP,15264
CLI000070,B2C,2025-01-07,busca paga,SEA-202501,,,Ribeirão Preto,SP,70328
CLI000071,B2C,2026-01-24,busca paga,SEA-202601,,,Jaboatão dos Guararapes,PE,58987
CLI000072,B2C,2025-08-18,indicação,,,,Ribeirão Preto,SP,05730
CLI000073,B2C,2025-07-24,CRM,,,,Niterói,RJ,01661
CLI000074,B2C,2025-12-08,orgânico,,,,Pouso Alegre,MG,52128
CLI000075,B2C,2025-03-06,CRM,,,,Cascavel,PR,04789
CLI000076,B2C,2025-12-12,influenciador,INF-202512,,,Londrina,PR,01745
CLI000077,B2C,2026-05-03,,,,,Santarém,PA,61377
CLI000078,B2C,2026-03-01,busca paga,SEA-202603,,,Volta Redonda,RJ,86728
CLI000079,B2C,2025-08-30,orgânico,,,,Volta Redonda,RJ,99755
CLI000080,B2C,2025-10-20,busca paga,SEA-202510,,,Ponta Grossa,PR,07968
CLI000081,B2C,2025-11-07,social pago,SOC-202511,,,Cascavel,PR,50098
CLI000082,B2C,2025-05-06,orgânico,,,,Curitiba,PR,13362
CLI000083,B2C,2025-07-07,orgânico,,,,Sorocaba,SP,49162
CLI000084,B2C,2025-02-21,influenciador,INF-202502,,,Jundiaí,SP,50555
CLI000085,B2C,2025-12-23,social pago,SOC-202512,,,Ponta Grossa,PR,23485
CLI000086,B2C,2025-01-31,indicação,,,,São Paulo,SP,96685
CLI000087,B2C,2025-03-18,orgânico,,,,Ribeirão Preto,SP,54349
CLI000088,B2C,2025-03-09,,SOC-202503,,,Ribeirão Preto,SP,29985
CLI000089,B2C,2025-09-09,orgânico,,,,Contagem,MG,94954
CLI000090,B2C,2026-03-30,influenciador,INF-202603,,,Ponta Grossa,PR,26358
CLI000091,B2C,2026-03-06,social pago,SOC-202603,,,Porto Alegre,RS,57693
CLI000092,B2C,2025-11-21,social pago,SOC-202511,,,Uberaba,MG,03783
CLI000093,B2C,2025-10-14,,SEA-202510,,,São José dos Campos,SP,98294
CLI000094,B2C,2026-01-14,social pago,SOC-202601,,,Pelotas,RS,06994
CLI000095,B2C,2026-05-04,social pago,SOC-202605,,,Goiânia,GO,49880
CLI000096,B2C,2025-02-25,orgânico,,,,Campinas,SP,16324
CLI000097,B2C,2026-03-21,influenciador,INF-202603,,,Londrina,PR,85918
CLI000098,B2C,2025-01-28,orgânico,,,,Cascavel,PR,24708
CLI000099,B2C,2025-12-10,orgânico,,,,Vitória da Conquista,BA,61581
CLI000100,B2C,2026-01-22,social pago,SOC-202601,,,Americana,SP,65238
CLI000101,B2C,2025-12-20,orgânico,,,,Vitória da Conquista,BA,59440
CLI000102,B2C,2026-05-16,,SOC-202605,,,São José dos Campos,SP,37363
CLI000103,B2C,2026-03-18,orgânico,,,,Jundiaí,SP,96484
CLI000104,B2C,2026-01-20,social pago,SOC-202601,,,Limeira,SP,34826
CLI000105,B2C,2025-05-15,orgânico,,,,Rio de Janeiro,RJ,13465
CLI000106,B2C,2025-08-24,social pago,SOC-202508,,,Serra,ES,06464
CLI000107,B2C,2025-11-06,orgânico,,,,Contage,MG,64796
CLI000108,B2C,2025-03-07,indicação,,,,Uberaba,MG,93199
CLI000109,B2C,2026-04-18,indicação,,,,Caruaru,PE,93258
CLI000110,B2C,2026-03-19,influenciador,INF-202603,,,Bauru,SP,32133
CLI000111,B2C,2026-05-18,busca paga,SEA-202605,,,Chapecó,SC,26337
CLI000112,B2C,2025-09-22,social pago,SOC-202509,,,Campo Grande,MS,55763
CLI000113,B2C,2025-12-04,CRM,,,,Uberlândia,MG,60976
CLI000114,B2C,2025-11-07,orgânico,,,,Uberlândia,MG,19292
CLI000115,B2C,2026-04-09,busca paga,SEA-202604,,,São José dos Campos,SP,73959
CLI000116,B2C,2025-03-04,orgânico,,,,Vitória da Conquista,BA,46702
CLI000117,B2C,2026-01-13,social pago,SOC-202601,,,Contagem,MG,24160
CLI000118,B2C,2025-02-14,orgânico,,,,São José dos Campos,SP,98904
CLI000119,B2C,2025-01-21,indicação,,,,Uberlândia,MG,97349
CLI000120,B2C,2025-02-07,social pago,SOC-202502,,,Ribeirão Preto,SP,33259
CLI000121,B2C,2025-12-27,social pago,SOC-202512,,,Uberaba,MG,03005
CLI000122,B2C,2026-02-07,,SEA-202602,,,Americana,SP,12406
CLI000123,B2C,2025-07-06,social pago,SOC-202507,,,Sorocaba,SP,67617
CLI000124,B2C,2025-04-24,orgânico,,,,Uberlândia,MG,69817
CLI000125,B2C,2026-01-12,busca paga,SEA-202601,,,Bauru,SP,33092
CLI000126,B2C,2026-02-14,indicação,,,,Joinville,SC,14089
CLI000127,B2C,2026-03-30,CRM,,,,Niterói,RJ,24703
CLI000128,B2C,2025-04-21,CRM,,,,Pouso Alegre,MG,97334
CLI000129,B2C,2026-04-23,influenciador,INF-202604,,,Jundiaí,SP,74864
CLI000130,B2C,2025-02-01,,SEA-202502,,,Goiânia,GO,96670
CLI000131,B2C,2026-02-01,social pago,SOC-202602,,,Santarém,PA,20419
CLI000132,B2C,2025-06-01,indicação,,,,Piracicaba,SP,15736
CLI000133,B2C,2025-01-19,orgânico,,,,Anápolis,GO,59751
CLI000134,B2C,2026-03-16,influenciador,INF-202603,,,Jundia,SP,36270
CLI000135,B2C,2025-06-07,influenciador,INF-202506,,,Goiânia,GO,58646
CLI000136,B2C,2026-04-15,social pago,SOC-202604,,,Sorocaba,SP,38765
CLI000137,B2C,2025-05-22,,,,,Maringá,PR,74134
CLI000138,B2C,2025-02-21,orgânico,,,,Campinas,SP,63768
CLI000139,B2C,2025-08-02,orgânico,,,,Ribeirão Preto,SP,73151
CLI000140,B2C,2025-11-30,social pago,SOC-202511,,,Limeira.,SP,86700
CLI000141,B2C,2026-03-05,social pago,SOC-202603,,,São José dos Campos,SP,35143
CLI000142,B2C,2026-03-03,influenciador,INF-202603,,,Cascavel,PR,99503
CLI000143,B2C,2025-12-05,indicação,,,,Uberlândia,MG,42878
CLI000144,B2C,2025-12-04,orgânico,,,,São José dos Campos,SP,44078
CLI000145,B2C,2025-07-31,indicação,,,,Vitória da Conquista,BA,43744
CLI000146,B2C,2026-04-22,CRM,,,,São José dos Campos,SP,98198
CLI000147,B2C,2025-04-18,busca paga,SEA-202504,,,Manaus,AM,88538
CLI000148,B2C,2025-07-13,orgânico,,,,Curitiba,PR,67698
CLI000149,B2C,2026-01-22,orgânico,,,,Bauru,SP,24863
CLI000150,B2C,2025-07-03,orgânico,,,,Jundiaí,SP,12070
CLI000151,B2C,2025-07-24,orgânico,,,,Ribeirão Preto,SP,77818
CLI000152,B2C,2025-01-20,busca paga,SEA-202501,,,Piracicaba,SP,54294
CLI000153,B2C,2026-01-22,orgânico,,,,Cascavel,PR,44203
CLI000154,B2C,2026-06-13,social pago,SOC-202606,,,Uberaba,MG,46165
CLI000155,B2C,2026-06-05,social pago,SOC-202606,,,Jundiaí,SP,32841
CLI000156,B2C,2025-10-04,social pago,SOC-202510,,,Contagem,MG,39441
CLI000157,B2C,2025-05-23,indicação,,,,Bauru,SP,87253
CLI000158,B2C,2026-06-03,busca paga,SEA-202606,,,Belém,PA,58264
CLI000159,B2C,2025-09-19,,SOC-202509,,,Vitória da Conquista,BA,39260
CLI000160,B2C,2025-03-27,CRM,,,,Baur,SP,79350
CLI000161,B2C,2026-03-29,indicação,,,,São Paulo,SP,18854
CLI000162,B2C,2026-06-12,influenciador,INF-202606,,,São Paulo,SP,58793
CLI000163,B2C,2025-09-13,social pago,SOC-202509,,,Ponta Grossa,PR,89410
CLI000164,B2C,2026-05-12,social pago,SOC-202605,,,Jundiaí,SP,40623
CLI000165,B2C,2025-03-18,orgânico,,,,Ribeirão Preto Mun.,SP,42273
CLI000166,B2C,2025-08-19,indicação,,,,São José dos Campos,SP,57771
CLI000167,B2C,2026-01-08,CRM,,,,Ribeirão Preto,SP,22568
CLI000168,B2C,2026-03-12,busca paga,SEA-202603,,,Caxias do Sul,RS,19512
CLI000169,B2C,2025-11-08,busca paga,SEA-202511,,,Pouso Alegre,MG,51701
CLI000170,B2C,2025-10-15,orgânico,,,,São Paulo,SP,34598
CLI000171,B2C,2026-02-10,busca paga,SEA-202602,,,Jundiaí,SP,77980
CLI000172,B2C,2025-10-07,busca paga,SEA-202510,,,Goiânia,GO,32649
CLI000173,B2C,2025-02-13,CRM,,,,Maringá,PR,29134
CLI000174,B2C,2025-08-18,influenciador,INF-202508,,,Ribeirão Preto,SP,24728
CLI000175,B2C,2025-02-18,orgânico,,,,Bauru,SP,12597
CLI000176,B2C,2025-02-01,social pago,SOC-202502,,,Niterói.,RJ,80828
CLI000177,B2C,2025-12-04,,SEA-202512,,,São Paulo,SP,37699
CLI000178,B2C,2026-02-28,busca paga,SEA-202602,,,Caxias do Sul,RS,05380
CLI000179,B2C,2025-04-05,indicação,,,,Petrópolis,RJ,96167
CLI000180,B2C,2025-10-05,social pago,SOC-202510,,,Serra,ES,89327
CLI000181,B2C,2025-02-17,indicação,,,,Bauru,SP,74901
CLI000182,B2C,2026-01-15,CRM,,,,Rio de Janeiro,RJ,74970
CLI000183,B2C,2025-03-26,orgânico,,,,Limeira,SP,47750
CLI000184,B2C,2025-04-07,orgânico,,,,Juiz de For,MG,10279
CLI000185,B2C,2025-06-29,social pago,SOC-202506,,,Chapecó,SC,73567
CLI000186,B2C,2025-01-31,busca paga,SEA-202501,,,Belém,PA,05767
CLI000187,B2C,2026-02-01,influenciador,INF-202602,,,Curitiba,PR,60735
CLI000188,B2C,2025-06-19,orgânico,,,,Americana,SP,55321
CLI000189,B2C,2025-10-04,orgânico,,,,Pouso Alegre,MG,91468
CLI000190,B2C,2025-04-27,orgânico,,,,Belo Horizonte,MG,27584
CLI000191,B2C,2026-05-06,indicação,,,,Jundia,SP,75537
CLI000192,B2C,2025-02-11,orgânico,,,,Belém Mun.,PA,93022
CLI000193,B2C,2025-05-04,social pago,SOC-202505,,,Porto Alegre,RS,97536
CLI000194,B2C,2025-06-21,influenciador,INF-202506,,,Piracicaba,SP,08705
CLI000195,B2C,2026-05-28,influenciador,INF-202605,,,Piracicaba,SP,94009
CLI000196,B2C,2026-01-05,social pago,SOC-202601,,,Curitiba,PR,04767
CLI000197,B2C,2025-07-19,orgânico,,,,Rio de Janeiro.,RJ,07552
CLI000198,B2C,2025-03-27,busca paga,SEA-202503,,,Sorocaba,SP,30481
CLI000199,B2C,2025-12-13,influenciador,INF-202512,,,Americana,SP,81994
CLI000200,B2C,2025-08-24,social pago,SOC-202508,,,Contagem,MG,17657
CLI000201,B2C,2025-05-03,orgânico,,,,Porto Alegre Mun.,RS,16688
CLI000202,B2C,2025-03-16,orgânico,,,,Brasília,DF,38916
CLI000203,B2C,2025-09-03,orgânico,,,,Santaré,PA,38724
CLI000204,B2C,2025-02-25,social pago,SOC-202502,,,Joinville Mun.,SC,62257
CLI000205,B2C,2026-03-19,social pago,SOC-202603,,,São José dos Campos,SP,81030
CLI000206,B2C,2025-09-04,social pago,SOC-202509,,,Volta Redonda,RJ,69475
CLI000207,B2C,2025-05-13,busca paga,SEA-202505,,,Juiz de Fora,MG,50957
CLI000208,B2C,2026-03-07,orgânico,,,,Limeira,SP,61041
CLI000209,B2C,2025-11-27,orgânico,,,,Ponta Grossa,PR,68430
CLI000210,B2C,2026-05-27,social pago,SOC-202605,,,São José dos Campos,SP,91056
CLI000211,B2C,2026-04-15,orgânico,,,,Blumenau,SC,20740
CLI000212,B2C,2025-07-19,influenciador,INF-202507,,,Blumenau,SC,02660
CLI000213,B2C,2025-04-05,orgânico,,,,Florianópolis,SC,73148
CLI000214,B2C,2026-03-21,orgânico,,,,Belo Horizonte,MG,30960
CLI000215,B2C,2026-04-09,busca paga,SEA-202604,,,Uberaba,MG,32148
CLI000216,B2C,2025-08-21,orgânico,,,,Feira de Santana,BA,36871
CLI000217,B2C,2026-04-06,orgânico,,,,São Paulo,SP,60665
CLI000218,B2C,2026-02-07,orgânico,,,,Campinas,SP,34164
CLI000219,B2C,2025-04-24,orgânico,,,,Pouso Alegre,MG,63486
CLI000220,B2C,2025-12-23,orgânico,,,,Limeira,SP,63052
CLI000221,B2C,2025-01-11,indicação,,,,Caxias do Sul,RS,32810
CLI000222,B2C,2026-06-07,CRM,,,,São José dos Campos.,SP,68440
CLI000223,B2C,2026-02-18,social pago,SOC-202602,,,Niterói,RJ,52003
CLI000224,B2C,2025-11-19,social pago,SOC-202511,,,Porto Alegre,RS,60409
CLI000225,B2C,2025-02-21,CRM,,,,Americana,SP,62674
CLI000226,B2C,2025-06-10,indicação,,,,Ribeirão Preto,SP,61674
CLI000227,B2C,2025-03-31,orgânico,,,,Vitória da Conquista,BA,06607
CLI000228,B2C,2025-03-21,social pago,SOC-202503,,,Volta Redonda,RJ,46851
CLI000229,B2C,2025-02-21,orgânico,,,,Ribeirão Preto,SP,84192
CLI000230,B2C,2025-07-01,busca paga,SEA-202507,,,Rio de Janeiro,RJ,77346
CLI000231,B2C,2025-11-03,orgânico,,,,Sorocaba Mun.,SP,69892
CLI000232,B2C,2026-01-30,influenciador,INF-202601,,,Maringá,PR,89481
CLI000233,B2C,2025-01-16,social pago,SOC-202501,,,Maringá,PR,43849
CLI000234,B2C,2025-09-28,CRM,,,,Porto Alegre,RS,78789
CLI000235,B2C,2025-10-01,influenciador,INF-202510,,,São Paulo,SP,73018
CLI000236,B2C,2026-04-11,social pago,SOC-202604,,,Joinville,SC,09269
CLI000237,B2C,2025-08-13,indicação,,,,Petrópolis,RJ,67829
CLI000238,B2C,2025-09-05,social pago,SOC-202509,,,Niterói,RJ,07174
CLI000239,B2C,2025-06-11,influenciador,INF-202506,,,Uberaba,MG,99274
CLI000240,B2C,2026-03-26,busca paga,SEA-202603,,,São José dos Campos,SP,90827
CLI000241,B2C,2025-12-29,social pago,SOC-202512,,,Limeira.,SP,61862
CLI000242,B2C,2025-02-04,social pago,SOC-202502,,,Florianópolis,SC,08764
CLI000243,B2C,2025-11-20,social pago,SOC-202511,,,Ribeirão Preto,SP,52647
CLI000244,B2C,2025-05-04,social pago,SOC-202505,,,São José dos Campos,SP,31808
CLI000245,B2C,2025-03-19,social pago,SOC-202503,,,Sorocaba,SP,33351
CLI000246,B2C,2025-10-28,busca paga,SEA-202510,,,Ponta Grossa,PR,72922
CLI000247,B2C,2025-05-21,orgânico,,,,Pelotas,RS,62193
CLI000248,B2C,2026-01-18,influenciador,INF-202601,,,Chapecó,SC,20650
CLI000249,B2C,2025-04-06,orgânico,,,,Sorocab,SP,93067
CLI000250,B2C,2025-11-08,busca paga,SEA-202511,,,Sorocaba,SP,84800
CLI000251,B2C,2026-01-18,busca paga,SEA-202601,,,Jundiaí,SP,83589
CLI000252,B2C,2025-04-03,busca paga,SEA-202504,,,Ponta Grossa,PR,44100
CLI000253,B2C,2025-12-31,orgânico,,,,Campinas,SP,64730
CLI000254,B2C,2025-10-31,busca paga,SEA-202510,,,Porto Alegre,RS,14204
CLI000255,B2C,2025-03-02,busca paga,SEA-202503,,,São José dos Campos,SP,34381
CLI000256,B2C,2025-09-30,social pago,SOC-202509,,,Brasília,DF,37916
CLI000257,B2C,2026-02-26,influenciador,INF-202602,,,Jundiaí,SP,74959
CLI000258,B2C,2025-06-10,orgânico,,,,Limeira,SP,35033
CLI000259,B2C,2026-02-11,orgânico,,,,Maringá.,PR,05659
CLI000260,B2C,2025-06-25,orgânico,,,,Limeira,SP,93604
CLI000261,B2C,2025-05-27,orgânico,,,,São José dos Campos,SP,91517
CLI000262,B2C,2026-03-13,orgânico,,,,Americana,SP,03679
CLI000263,B2C,2025-01-02,busca paga,SEA-202501,,,Sorocaba,SP,25732
CLI000264,B2C,2026-04-30,busca paga,SEA-202604,,,Belo Horizonte,MG,10110
CLI000265,B2C,2025-02-04,social pago,SOC-202502,,,Uberlândia,MG,18059
CLI000266,B2C,2025-01-15,CRM,,,,Campinas,SP,74690
CLI000267,B2C,2026-02-27,influenciador,INF-202602,,,Rio de Janeiro,RJ,53675
CLI000268,B2C,2025-02-10,indicação,,,,Salvador,BA,97052
CLI000269,B2C,2025-04-30,social pago,SOC-202504,,,Ribeirão Preto,SP,01329
CLI000270,B2C,2025-01-23,CRM,,,,Juiz de Fora,MG,82193
CLI000271,B2C,2025-10-06,orgânico,,,,Blumenau,SC,56859
CLI000272,B2C,2025-09-19,orgânico,,,,Contagem.,MG,81389
CLI000273,B2C,2025-08-26,indicação,,,,Juiz de Fora,MG,40763
CLI000274,B2C,2025-09-30,orgânico,,,,Curitiba,PR,68172
CLI000275,B2C,2026-01-30,orgânico,,,,Salvador,BA,87943
CLI000276,B2C,2026-03-31,busca paga,SEA-202603,,,Sorocaba,SP,64507
CLI000277,B2C,2026-04-22,influenciador,INF-202604,,,Americana,SP,38590
CLI000278,B2C,2025-04-17,orgânico,,,,Americana,SP,66267
CLI000279,B2C,2026-04-04,social pago,SOC-202604,,,São Paulo,SP,61023
CLI000280,B2C,2025-04-18,busca paga,SEA-202504,,,Rio de Janeiro,RJ,78589
CLI000281,B2C,2025-01-07,indicação,,,,American,SP,24377
CLI000282,B2C,2025-03-25,influenciador,INF-202503,,,Piracicaba,SP,83496
CLI000283,B2C,2025-09-11,indicação,,,,Pouso Alegre,MG,81086
CLI000284,B2C,2026-02-13,orgânico,,,,Petrópolis,RJ,48317
CLI000285,B2C,2026-02-11,social pago,SOC-202602,,,Porto Alegre,RS,10929
CLI000286,B2C,2025-07-12,orgânico,,,,Bauru,SP,61911
CLI000287,B2C,2025-03-08,orgânico,,,,Piracicaba,SP,74233
CLI000288,B2C,2025-12-05,social pago,SOC-202512,,,Cascavel,PR,53221
CLI000289,B2C,2026-01-12,busca paga,SEA-202601,,,Belo Horizonte,MG,44518
CLI000290,B2C,2025-06-09,busca paga,SEA-202506,,,Campinas,SP,09505
CLI000291,B2C,2025-04-26,busca paga,SEA-202504,,,Juazeiro do Norte,CE,88382
CLI000292,B2C,2025-09-10,social pago,SOC-202509,,,Ponta Grossa,PR,73874
CLI000293,B2C,2025-10-22,busca paga,SEA-202510,,,Campinas,SP,21310
CLI000294,B2C,2025-05-30,CRM,,,,Maringá,PR,97442
CLI000295,B2C,2025-10-04,influenciador,INF-202510,,,Rondonópolis,MT,85961
CLI000296,B2C,2025-04-28,indicação,,,,Bauru,SP,10068
CLI000297,B2C,2025-05-06,influenciador,INF-202505,,,Uberlândia,MG,13318
CLI000298,B2C,2026-01-19,social pago,SOC-202601,,,Ribeirão Preto,SP,67465
CLI000299,B2C,2025-05-31,indicação,,,,Sorocaba,SP,96924
CLI000300,B2C,2025-03-20,busca paga,SEA-202503,,,Piracicaba,SP,77529
CLI000301,B2C,2025-08-03,CRM,,,,Sorocaba,SP,55173
CLI000302,B2C,2025-10-30,CRM,,,,Chapecó,SC,11731
CLI000303,B2C,2025-02-04,CRM,,,,Bauru,SP,83749
CLI000304,B2C,2026-05-20,CRM,,,,Ribeirão Preto,SP,34909
CLI000305,B2C,2025-04-10,indicação,,,,Contagem,MG,19459
CLI000306,B2C,2025-03-14,social pago,SOC-202503,,,São Paulo,SP,27896
CLI000307,B2C,2025-02-25,social pago,SOC-202502,,,Bauru,SP,43303
CLI000308,B2C,2025-01-08,influenciador,INF-202501,,,Pelotas,RS,35926
CLI000309,B2C,2025-12-24,social pago,SOC-202512,,,Pouso Alegre,MG,47878
CLI000310,B2C,2025-03-28,CRM,,,,Rio de Janeiro,RJ,54531
CLI000311,B2C,2026-04-22,social pago,SOC-202604,,,Pelotas,RS,44167
CLI000312,B2C,2026-05-13,social pago,SOC-202605,,,Maringá,PR,44394
CLI000313,B2C,2026-02-04,social pago,SOC-202602,,,Contagem,MG,80044
CLI000314,B2C,2025-12-17,,,,,Cascavel,PR,58261
CLI000315,B2C,2025-11-30,orgânico,,,,Joinville,SC,79152
CLI000316,B2C,2025-09-24,busca paga,SEA-202509,,,Sorocaba,SP,53367
CLI000317,B2C,2026-01-24,social pago,SOC-202601,,,Jundiaí,SP,24265
CLI000318,B2C,2025-03-14,,,,,Joinville,SC,04110
CLI000319,B2C,2025-07-09,orgânico,,,,Porto Alegre,RS,15518
CLI000320,B2C,2026-03-11,orgânico,,,,Campinas,SP,66487
CLI000321,B2C,2025-07-26,social pago,SOC-202507,,,Ribeirão Preto,SP,68334
CLI000322,B2C,2025-04-05,busca paga,SEA-202504,,,Santarém,PA,27558
CLI000323,B2C,2025-03-08,social pago,SOC-202503,,,Juiz de Fora,MG,77678
CLI000324,B2C,2026-01-17,influenciador,INF-202601,,,Caruaru,PE,71279
CLI000325,B2C,2025-07-16,orgânico,,,,Sorocaba,SP,06893
CLI000326,B2C,2026-01-31,social pago,SOC-202601,,,Juiz de Fora,MG,31121
CLI000327,B2C,2025-02-02,orgânico,,,,Juiz de Fora,MG,04917
CLI000328,B2C,2026-04-04,social pago,SOC-202604,,,Uberaba,MG,64931
CLI000329,B2C,2025-03-15,social pago,SOC-202503,,,Pelotas,RS,86948
CLI000330,B2C,2025-03-20,social pago,SOC-202503,,,Porto Alegre,RS,82439
CLI000331,B2C,2026-04-10,social pago,SOC-202604,,,Bauru,SP,12629
CLI000332,B2C,2025-10-18,social pago,SOC-202510,,,Volta Redonda,RJ,66561
CLI000333,B2C,2026-04-11,orgânico,,,,Niterói,RJ,66558
CLI000334,B2C,2026-04-29,CRM,,,,Piracicaba,SP,92871
CLI000335,B2C,2026-02-04,social pago,SOC-202602,,,Contagem,MG,72633
CLI000336,B2C,2026-05-29,busca paga,SEA-202605,,,Porto Alegre,RS,22671
CLI000337,B2C,2025-08-24,orgânico,,,,Vitória da Conquista.,BA,12422
CLI000338,B2C,2025-02-15,orgânico,,,,Pelotas,RS,64666
CLI000339,B2C,2025-01-05,indicação,,,,Juiz de Fora,MG,20056
CLI000340,B2C,2025-07-16,CRM,,,,Blumenau,SC,95077
CLI000341,B2C,2025-10-12,busca paga,SEA-202510,,,Florianópolis,SC,37278
CLI000342,B2C,2025-02-19,influenciador,INF-202502,,,Sorocaba,SP,47715
