compra_id,produto_id,fornecedor_id,origem_fornecedor,data_pedido_compra,data_evento_cambio,data_prevista,data_recebimento,quantidade_pedida,quantidade_recebida,moeda,valor_unitario_moeda,taxa_cambio_interna,frete_compra_brl,impostos_compra_brl,lote
CMP00014,PRD0004,FOR005,IMPORTADO,2025-06-05,2025-06-05,2025-08-26,2025-09-08,897,897,USD,13.13,5.7342,3174.19,9870.15,L0004-02
CMP00015,PRD0004,FOR005,IMPORTADO,2025-10-14,2025-10-14,2025-12-15,2026-01-04,971,971,USD,13.55,5.6877,5000.84,6927.44,L0004-03
CMP00016,PRD0004,FOR005,IMPORTADO,2026-02-19,2026-02-19,2026-04-14,2026-04-13,800,800,USD,13.9,5.3297,2815.85,8414.91,L0004-04
CMP00017,PRD0005,FOR006,IMPORTADO,2025-01-16,2025-01-16,2025-03-06,2025-03-11,769,769,USD,14.04,6.1756,4009.01,9694.0,L0005-01
CMP00018,PRD0005,FOR006,IMPORTADO,2025-05-31,2025-05-31,2025-07-25,2025-08-08,706,706,USD,14.48,5.8256,3957.54,9310.82,L0005-02
CMP00019,PRD0005,FOR006,IMPORTADO,2025-10-16,2025-10-16,2026-01-03,2026-01-18,735,735,USD,15.2,5.5282,4127.26,9193.87,L0005-03
CMP00020,PRD0005,FOR006,IMPORTADO,2026-02-13,2026-02-13,2026-05-08,2026-05-12,671,671,USD,15.89,5.3321,3227.75,8894.1,L0005-04
CMP00021,PRD0006,FOR007,IMPORTADO,2025-01-05,2025-01-05,2025-03-02,2025-03-01,568,568,USD,10.69,6.3684,3126.85,4685.23,L0006-01
CMP00022,PRD0006,FOR007,IMPORTADO,2025-06-02,2025-06-02,2025-07-28,2025-08-08,610,610,USD,11.72,5.8245,2897.85,6232.8,L0006-02
CMP00023,PRD0006,FOR007,IMPORTADO,2025-10-09,2025-10-09,2025-12-21,2026-01-12,544,544,USD,12.63,,853.04,5922.96,L0006-03
CMP00024,PRD0006,FOR007,IMPORTADO,2026-02-21,2026-02-21,2026-04-12,2026-04-16,610,610,USD,13.37,5.3121,1015.32,3689.6,L0006-04
CMP00025,PRD0007,FOR008,IMPORTADO,2025-01-10,2025-01-10,2025-04-04,2025-04-05,559,559,USD,8.13,6.2902,1719.52,3161.84,L0007-01
CMP00026,PRD0007,FOR008,IMPORTADO,2025-05-25,2025-05-25,2025-07-20,2025-07-27,512,512,USD,8.85,5.8521,1257.03,2263.99,L0007-02
CMP00027,PRD0007,FOR008,IMPORTADO,2025-10-10,2025-10-10,2025-12-24,2026-01-07,460,460,USD,9.29,5.6313,1715.65,3267.79,L0007-03
CMP00028,PRD0007,FOR008,IMPORTADO,2026-02-24,2026-02-24,2026-04-10,2026-04-15,519,519,USD,10.21,5.3007,560.04,3026.87,L0007-04
CMP00029,PRD0008,FOR009,IMPORTADO,2025-01-15,2025-01-15,2025-04-06,2025-04-04,445,445,USD,15.46,6.1328,1807.27,4813.05,L0008-01
CMP00030,PRD0008,FOR009,IMPORTADO,2025-06-02,2025-06-02,2025-08-03,2025-08-21,474,474,USD,16.58,5.8064,1911.97,5603.08,L0008-02
CMP00031,PRD0008,FOR009,IMPORTADO,2025-10-16,2025-10-16,2025-12-27,2026-01-08,433,433,USD,17.44,5.5612,1086.05,5242.93,L0008-03
CMP00032,PRD0008,FOR009,IMPORTADO,2026-02-17,2026-02-17,2026-04-16,2026-04-20,482,482,USD,17.02,5.33,3270.01,5840.25,L0008-04
CMP00033,PRD0009,FOR010,IMPORTADO,2025-01-03,2025-01-03,2025-03-15,2025-03-15,454,454,USD,13.18,6.3396,1847.08,6013.88,L0009-01
CMP00034,PRD0009,FOR010,IMPORTADO,2025-05-28,2025-05-28,2025-08-07,2025-08-20,415,415,USD,15.37,5.8034,841.6,2984.52,L0009-02
CMP00035,PRD0009,FOR010,IMPORTADO,2025-10-12,2025-10-12,2025-12-01,2025-12-15,449,449,USD,14.98,5.5391,2593.62,3195.47,L0009-03
CMP00036,PRD0009,FOR010,IMPORTADO,2026-02-21,2026-02-21,2026-05-13,2026-05-16,459,459,USD,15.26,5.2935,2357.12,5865.53,L0009-04
CMP00037,PRD0010,FOR011,IMPORTADO,2025-01-16,2025-01-16,2025-03-17,2025-03-22,407,407,USD,10.63,6.1528,1808.66,3144.45,L0010-01
CMP00038,PRD0010,FOR011,IMPORTADO,2025-05-28,2025-05-28,2025-08-14,2025-09-04,375,375,USD,11.54,5.7915,982.5,2766.97,L0010-02
CMP00039,PRD0010,FOR011,IMPORTADO,2025-10-18,2025-10-18,2026-01-09,2026-02-01,369,369,USD,12.78,5.6017,962.7,3380.31,L0010-03
CMP00040,PRD0010,FOR011,IMPORTADO,2026-02-16,2026-02-16,2026-05-04,2026-05-03,382,382,USD,12.12,5.3394,1940.22,2995.22,L0010-04
CMP00041,PRD0011,FOR012,IMPORTADO,2025-01-02,2025-01-02,2025-03-11,2025-03-10,348,348,USD,9.17,6.4123,635.1,1657.74,L0011-01
CMP00042,PRD0011,FOR012,IMPORTADO,2025-05-29,2025-05-29,2025-08-20,2025-09-12,319,319,USD,10.13,5.8182,1205.71,2519.95,L0011-02
CMP00043,PRD0011,FOR012,IMPORTADO,2025-10-06,2025-10-06,2025-11-30,2025-12-19,371,371,USD,10.16,5.4142,708.0,2743.69,L0011-03
CMP00044,PRD0011,FOR012,IMPORTADO,2026-02-23,2026-02-23,2026-05-17,2026-05-18,339,339,USD,10.09,5.2737,1172.89,2628.83,L0011-04
CMP00045,PRD0012,FOR013,IMPORTADO,2025-01-14,2025-01-14,2025-04-08,2025-04-07,302,302,USD,14.95,6.1892,895.0,3758.67,L0012-01
CMP00046,PRD0012,FOR013,IMPORTADO,2025-06-03,2025-06-03,2025-07-23,2025-07-30,325,325,USD,15.5,5.7927,1390.13,3676.58,L0012-02
CMP00047,PRD0012,FOR013,IMPORTADO,2025-10-04,2025-10-04,2025-11-28,2025-12-09,346,346,USD,17.45,5.5105,1498.25,4784.12,L0012-03
CMP00048,PRD0012,FOR013,IMPORTADO,2026-02-14,2026-02-14,2026-05-04,2026-05-05,340,340,USD,18.15,5.3761,1221.74,3050.07,L0012-04
CMP00049,PRD0013,FOR014,IMPORTADO,2025-01-13,2025-01-13,2025-02-28,2025-03-02,327,327,USD,15.77,6.2649,1436.54,4632.52,L0013-01
CMP00050,PRD0013,FOR014,IMPORTADO,2025-06-03,2025-06-03,2025-08-11,2025-08-16,278,278,USD,16.8,5.7834,1712.01,2778.47,L0013-02
CMP00051,PRD0013,FOR014,IMPORTADO,2025-10-18,2025-10-18,2026-01-08,2026-01-08,286,286,USD,18.21,5.5429,748.59,2479.1,L0013-03
CMP00052,PRD0013,FOR014,IMPORTADO,2026-02-15,2026-02-15,2026-04-24,2026-04-25,275,275,USD,18.32,5.4045,1951.15,4026.36,L0013-04
CMP00053,PRD0014,FOR015,IMPORTADO,2025-01-17,2025-01-17,2025-04-02,2025-03-31,278,278,USD,11.15,6.2051,726.1,1659.53,L0014-01
CMP00054,PRD0014,FOR015,IMPORTADO,2025-05-29,2025-05-29,2025-07-23,2025-07-27,258,258,USD,12.61,5.8029,362.33,1405.59,L0014-02
CMP00055,PRD0014,FOR015,IMPORTADO,2025-10-15,2025-10-15,2025-12-26,2025-12-24,276,276,USD,11.86,5.6242,667.27,2173.69,L0014-03
CMP00056,PRD0014,FOR015,IMPORTADO,2026-02-25,2026-02-25,2026-04-20,2026-04-22,236,236,USD,12.82,5.2419,648.96,1375.11,L0014-04
CMP00057,PRD0015,FOR016,IMPORTADO,2025-01-13,2025-01-13,2025-03-09,2025-03-09,216,216,USD,17.53,6.2029,460.5,2757.16,L0015-01
CMP00058,PRD0015,FOR016,IMPORTADO,2025-05-30,2025-05-30,2025-07-16,2025-07-17,209,209,USD,17.89,5.8089,1501.35,2685.52,L0015-02
CMP00059,PRD0015,FOR016,IMPORTADO,2025-10-18,2025-10-18,2025-12-23,2025-12-22,244,244,USD,17.68,5.554,805.6,2245.28,L0015-03
CMP00060,PRD0015,FOR016,IMPORTADO,2026-02-17,2026-02-17,2026-04-18,2026-04-22,208,208,USD,20.44,5.3516,511.49,2646.5,L0015-04
CMP00061,PRD0016,FOR017,IMPORTADO,2025-01-06,2025-01-06,2025-03-24,2025-03-29,248,248,USD,12.57,6.2542,1167.12,2552.5,L0016-01
CMP00062,PRD0016,FOR017,IMPORTADO,2025-05-23,2025-05-23,2025-07-08,2025-07-11,224,224,USD,12.08,5.8268,712.83,2336.01,L0016-02
CMP00063,PRD0016,FOR017,IMPORTADO,2025-10-04,2025-10-04,2025-12-19,2025-12-20,238,238,USD,13.16,5.4515,565.97,2541.64,L0016-03
CMP00064,PRD0016,FOR017,IMPORTADO,2026-02-26,2026-02-26,2026-05-20,2026-05-23,254,254,USD,13.42,5.3029,1088.87,1773.88,L0016-04
CMP00065,PRD0017,FOR018,IMPORTADO,2025-01-08,2025-01-08,2025-04-01,2025-04-02,193,193,USD,16.61,6.284,1317.8,3190.66,L0017-01
CMP00066,PRD0017,FOR018,IMPORTADO,2025-05-31,2025-05-31,2025-08-07,2025-08-08,212,212,USD,17.46,5.9049,1215.81,3068.62,L0017-02
CMP00067,PRD0017,FOR018,IMPORTADO,2025-10-04,2025-10-04,2025-12-12,2025-12-16,197,197,USD,18.41,5.529,616.48,1819.32,L0017-03
CMP00068,PRD0017,FOR018,IMPORTADO,2026-02-26,2026-02-26,2026-05-13,2026-05-17,202,202,USD,19.25,5.2193,1565.37,1786.02,L0017-04
CMP00069,PRD0018,FOR019,IMPORTADO,2025-01-07,2025-01-07,2025-03-12,2025-03-10,220,220,USD,8.39,6.1653,414.2,892.81,L0018-01
CMP00070,PRD0018,FOR019,IMPORTADO,2025-05-23,2025-05-23,2025-08-01,2025-08-04,235,235,USD,8.31,5.7821,236.53,1733.92,L0018-02
CMP00071,PRD0018,FOR019,IMPORTADO,2025-10-08,2025-10-08,2025-11-26,2025-11-30,224,224,USD,9.21,5.427,502.76,1732.16,L0018-03
CMP00072,PRD0018,FOR019,IMPORTADO,2026-02-27,2026-02-27,2026-05-10,2026-05-15,215,215,USD,9.31,5.2937,724.41,1413.14,L0018-04
CMP00073,PRD0019,FOR020,IMPORTADO,2025-01-17,2025-01-17,2025-03-11,2025-03-16,193,193,USD,16.31,6.2162,1282.44,2711.94,L0019-01
CMP00074,PRD0019,FOR020,IMPORTADO,2025-05-16,2025-05-16,2025-08-06,2025-08-11,201,201,USD,16.57,5.8278,1011.92,2707.45,L0019-02
CMP00075,PRD0019,FOR020,IMPORTADO,2025-10-06,2025-10-06,2025-12-13,2025-12-12,200,200,USD,18.79,5.5023,647.68,3093.56,L0019-03
CMP00076,PRD0019,FOR020,IMPORTADO,2026-02-21,2026-02-21,2026-05-09,2026-05-10,189,189,USD,17.93,5.349,487.88,2491.36,L0019-04
CMP00077,PRD0020,FOR021,IMPORTADO,2025-01-09,2025-01-09,2025-03-17,2025-03-19,177,177,USD,9.95,6.2578,868.83,1080.14,L0020-01
CMP00078,PRD0020,FOR021,IMPORTADO,2025-06-03,2025-06-03,2025-08-05,2025-08-03,174,174,USD,11.13,5.8569,691.68,1664.46,L0020-02
CMP00079,PRD0020,FOR021,IMPORTADO,2025-10-08,2025-10-08,2025-12-31,2025-12-31,172,172,USD,11.57,5.4431,764.63,1093.34,L0020-03
CMP00080,PRD0020,FOR021,IMPORTADO,2026-02-18,2026-02-18,2026-05-01,2026-05-06,209,209,USD,12.1,5.3136,564.69,1388.78,L0020-04
CMP00081,PRD0021,FOR022,IMPORTADO,2025-01-18,2025-01-18,2025-03-07,2025-03-06,192,192,USD,9.45,6.2259,840.64,1712.81,L0021-01
CMP00082,PRD0021,FOR022,IMPORTADO,2025-06-04,2025-06-04,2025-08-19,2025-08-23,196,196,USD,10.18,5.8196,789.39,1683.57,L0021-02
CMP00083,PRD0021,FOR022,IMPORTADO,2025-10-03,2025-10-03,2025-11-25,2025-11-28,205,205,USD,10.93,5.493,248.89,1252.92,L0021-03
CMP00084,PRD0021,FOR022,IMPORTADO,2026-02-27,2026-02-27,2026-05-18,2026-05-18,192,192,USD,11.18,5.2435,624.89,1024.81,L0021-04
CMP00085,PRD0022,FOR023,IMPORTADO,2025-01-14,2025-01-14,2025-03-01,2025-03-06,151,151,USD,10.34,6.2023,675.57,1059.03,L0022-01
CMP00086,PRD0022,FOR023,IMPORTADO,2025-06-03,2025-06-03,2025-08-22,2025-08-24,156,156,USD,10.62,5.8246,428.53,812.83,L0022-02
CMP00087,PRD0022,FOR023,IMPORTADO,2025-10-04,2025-10-04,2025-11-19,2025-11-17,174,174,USD,10.52,5.5087,373.59,1602.93,L0022-03
CMP00088,PRD0022,FOR023,IMPORTADO,2026-02-24,2026-02-24,2026-05-20,2026-05-24,153,153,USD,11.69,5.3316,312.56,1334.53,L0022-04
CMP00089,PRD0023,FOR024,IMPORTADO,2025-01-09,2025-01-09,2025-03-30,2025-04-03,159,159,USD,18.19,6.1831,1113.8,2363.33,L0023-01
CMP00090,PRD0023,FOR024,IMPORTADO,2025-06-04,2025-06-04,2025-08-27,2025-08-25,165,165,USD,20.6,5.7295,1197.16,2207.54,L0023-02
CMP00091,PRD0023,FOR024,IMPORTADO,2025-10-17,2025-10-17,2026-01-03,2026-01-08,181,181,USD,20.4,5.592,1054.09,2962.16,L0023-03
CMP00092,PRD0023,FOR024,IMPORTADO,2026-02-22,2026-02-22,2026-04-28,2026-04-29,158,158,USD,22.16,5.3419,913.56,2330.15,L0023-04
CMP00093,PRD0024,FOR001,IMPORTADO,2025-01-21,2025-01-21,2025-03-30,2025-03-30,157,157,USD,8.04,6.2362,200.17,978.15,L0024-01
CMP00094,PRD0024,FOR001,IMPORTADO,2025-05-17,2025-05-17,2025-07-14,2025-07-13,156,156,USD,8.85,5.8595,499.58,1179.87,L0024-02
CMP00095,PRD0024,FOR001,IMPORTADO,2025-10-09,2025-10-09,2026-01-02,2026-01-01,130,130,USD,9.1,5.5328,317.69,618.49,L0024-03
CMP00096,PRD0024,FOR001,IMPORTADO,2026-02-13,2026-02-13,2026-04-23,2026-04-23,145,145,USD,9.77,5.3284,547.73,1007.73,L0024-04
CMP00097,PRD0025,FOR002,IMPORTADO,2025-01-03,2025-01-03,2025-03-23,2025-03-23,138,138,USD,10.97,6.3684,308.54,1192.34,L0025-01
CMP00098,PRD0025,FOR002,IMPORTADO,2025-05-30,2025-05-30,2025-07-17,2025-07-17,164,164,USD,11.72,5.8225,245.93,1681.78,L0025-02
CMP00099,PRD0025,FOR002,IMPORTADO,2025-10-07,2025-10-07,2025-12-21,2025-12-19,137,137,USD,13.49,5.44,751.11,1166.05,L0025-03
CMP00100,PRD0025,FOR002,IMPORTADO,2026-02-23,2026-02-23,2026-04-15,2026-04-14,159,159,USD,12.6,5.2729,505.41,998.3,L0025-04
CMP00101,PRD0026,FOR003,IMPORTADO,2025-01-13,2025-01-13,2025-03-22,2025-03-24,150,150,USD,11.7,6.2736,664.14,1059.45,L0026-01
CMP00102,PRD0026,FOR003,IMPORTADO,2025-05-28,2025-05-28,2025-08-10,2025-08-09,153,153,USD,12.97,5.856,806.5,1652.9,L0026-02
CMP00103,PRD0026,FOR003,IMPORTADO,2025-10-06,2025-10-06,2025-12-26,2025-12-31,148,148,USD,14.03,5.4052,444.1,1731.94,L0026-03
CMP00104,PRD0026,FOR003,IMPORTADO,2026-02-10,2026-02-10,2026-04-21,2026-04-23,135,135,USD,13.77,5.2957,806.94,1152.5,L0026-04
CMP00105,PRD0027,FOR004,IMPORTADO,2025-01-07,2025-01-07,2025-03-09,2025-03-10,162,162,USD,18.82,6.2659,1102.16,1949.44,L0027-01
CMP00106,PRD0027,FOR004,IMPORTADO,2025-05-26,2025-05-26,2025-08-08,2025-08-11,160,160,USD,18.42,5.7538,1341.04,2695.28,L0027-02
CMP00107,PRD0027,FOR004,IMPORTADO,2025-10-02,2025-10-02,2025-12-10,2025-12-11,160,160,USD,19.72,5.4329,386.84,2443.43,L0027-03
CMP00108,PRD0027,FOR004,IMPORTADO,2026-02-27,2026-02-27,2026-05-21,2026-05-22,140,140,USD,22.57,5.2663,1026.7,1923.9,L0027-04
CMP00109,PRD0028,FOR005,IMPORTADO,2025-01-06,2025-01-06,2025-03-12,2025-03-14,121,121,USD,14.58,6.2652,641.12,1150.96,L0028-01
CMP00110,PRD0028,FOR005,IMPORTADO,2025-05-29,2025-05-29,2025-08-15,2025-08-19,122,122,USD,14.62,5.8439,663.58,1139.24,L0028-02
CMP00111,PRD0028,FOR005,IMPORTADO,2025-10-10,2025-10-10,2026-01-02,2026-01-07,132,132,USD,14.77,5.6258,321.17,1293.08,L0028-03
CMP00112,PRD0028,FOR005,IMPORTADO,2026-02-15,2026-02-15,2026-04-13,2026-04-14,120,120,USD,15.54,5.3286,625.38,1337.04,L0028-04
CMP00113,PRD0029,FOR006,IMPORTADO,2025-01-11,2025-01-11,2025-03-26,2025-03-31,134,134,USD,13.74,6.2047,340.29,1327.26,L0029-01
CMP00114,PRD0029,FOR006,IMPORTADO,2025-05-20,2025-05-20,2025-07-25,2025-07-30,138,138,USD,13.6,5.8091,676.49,1673.1,L0029-02
CMP00115,PRD0029,FOR006,IMPORTADO,2025-10-02,2025-10-02,2025-11-27,2025-11-27,124,124,USD,14.85,5.4633,501.05,1545.0,L0029-03
CMP00116,PRD0029,FOR006,IMPORTADO,2026-02-24,2026-02-24,2026-04-24,2026-04-26,117,117,USD,14.66,5.2609,306.71,1140.0,L0029-04
CMP00117,PRD0030,FOR007,IMPORTADO,2025-01-08,2025-01-08,2025-03-16,2025-03-21,134,134,USD,13.46,6.2468,777.34,1406.57,L0030-01
CMP00118,PRD0030,FOR007,IMPORTADO,2025-05-27,2025-05-27,2025-07-22,2025-07-23,118,118,USD,15.11,5.7697,375.39,1201.75,L0030-02
CMP00119,PRD0030,FOR007,IMPORTADO,2025-09-28,2025-09-28,2025-11-15,2025-11-16,124,124,USD,15.0,5.4881,227.2,1402.5,L0030-03
CMP00120,PRD0030,FOR007,IMPORTADO,2026-02-13,2026-02-13,2026-04-30,2026-05-02,134,134,USD,17.04,5.3985,803.69,948.07,L0030-04
CMP00121,PRD0031,FOR008,IMPORTADO,2025-01-06,2025-01-06,2025-03-31,2025-04-03,196,196,USD,14.54,6.3205,786.28,1822.81,L0031-01
CMP00122,PRD0031,FOR008,IMPORTADO,2025-06-01,2025-06-01,2025-07-22,2025-07-21,173,173,USD,15.7,5.8844,809.93,1689.2,L0031-02
CMP00123,PRD0031,FOR008,IMPORTADO,2025-09-30,2025-09-30,2025-12-04,2025-12-02,182,182,USD,15.61,5.4649,1046.77,2221.68,L0031-03
CMP00124,PRD0031,FOR008,IMPORTADO,2026-02-24,2026-02-24,2026-05-01,2026-05-05,189,189,USD,17.19,5.322,927.53,1541.95,L0031-04
CMP00125,PRD0032,FOR009,IMPORTADO,2025-01-17,2025-01-17,2025-03-15,2025-03-13,140,140,USD,10.9,6.2389,341.57,1291.95,L0032-01
CMP00126,PRD0032,FOR009,IMPORTADO,2025-06-04,2025-06-04,2025-07-22,2025-07-24,160,160,USD,10.99,5.7982,782.3,1230.1,L0032-02
CMP00127,PRD0032,FOR009,IMPORTADO,2025-09-28,2025-09-28,2025-11-15,2025-11-20,166,166,USD,12.09,5.5137,280.02,1304.59,L0032-03
CMP00128,PRD0032,FOR009,IMPORTADO,2026-02-25,2026-02-25,2026-05-12,2026-05-11,167,167,USD,12.73,5.252,826.87,1486.81,L0032-04
CMP00129,PRD0033,FOR010,NACIONAL,2025-01-08,,2025-01-30,2025-01-29,141,141,BRL,116.94,,605.7,938.61,L0033-01
CMP00130,PRD0033,FOR010,NACIONAL,2025-05-19,,2025-06-04,2025-06-02,143,143,BRL,118.04,,662.86,760.91,L0033-02
CMP00131,PRD0033,FOR010,NACIONAL,2025-10-17,,2025-10-26,2025-10-27,144,144,BRL,118.05,,368.68,910.61,L0033-03
CMP00132,PRD0033,FOR010,NACIONAL,2026-02-28,,2026-03-20,2026-03-25,139,139,BRL,111.4,,1138.9,874.52,L0033-04
CMP00133,PRD0034,FOR011,NACIONAL,2025-01-19,,2025-02-13,2025-02-12,172,172,BRL,110.78,,1344.64,924.29,L0034-01
CMP00134,PRD0034,FOR011,NACIONAL,2025-06-03,,2025-06-22,2025-06-24,182,182,BRL,119.28,,1480.25,572.09,L0034-02
CMP00135,PRD0034,FOR011,NACIONAL,2025-09-28,,2025-10-19,2025-10-21,174,174,BRL,112.27,,673.18,1011.38,L0034-03
CMP00136,PRD0034,FOR011,NACIONAL,2026-02-23,,2026-03-14,2026-03-14,159,159,BRL,107.65,,518.73,853.65,L0034-04
CMP00137,PRD0035,FOR012,NACIONAL,2025-01-02,,2025-01-25,2025-01-23,139,139,BRL,101.7,,695.81,745.24,L0035-01
CMP00138,PRD0035,FOR012,NACIONAL,2025-05-27,,2025-06-05,2025-06-08,158,158,BRL,101.83,,782.33,921.49,L0035-02
CMP00139,PRD0035,FOR012,NACIONAL,2025-10-14,,2025-10-29,2025-11-02,136,136,BRL,101.81,,421.43,726.19,L0035-03
CMP00140,PRD0035,FOR012,NACIONAL,2026-02-12,,2026-02-20,2026-02-21,136,136,BRL,98.2,,1045.03,694.23,L0035-04
CMP00141,PRD0036,FOR013,NACIONAL,2025-01-20,,2025-02-09,2025-02-09,124,124,BRL,65.6,,289.38,335.42,L0036-01
CMP00142,PRD0036,FOR013,NACIONAL,2025-05-16,,2025-06-09,2025-06-10,130,130,BRL,63.49,,539.13,321.69,L0036-02
CMP00143,PRD0036,FOR013,NACIONAL,2025-10-16,,2025-11-07,2025-11-10,123,123,BRL,61.78,,583.01,321.89,L0036-03
CMP00144,PRD0036,FOR013,NACIONAL,2026-02-12,,2026-03-03,2026-03-06,142,142,BRL,65.54,,595.8,527.41,L0036-04
CMP00145,PRD0037,FOR014,NACIONAL,2025-01-08,,2025-01-29,2025-01-31,126,126,BRL,93.82,,270.85,716.43,L0037-01
CMP00146,PRD0037,FOR014,NACIONAL,2025-06-04,,2025-06-11,2025-06-15,115,115,BRL,89.99,,469.91,594.86,L0037-02
CMP00147,PRD0037,FOR014,NACIONAL,2025-10-09,,2025-11-02,2025-11-05,119,119,BRL,95.27,,313.62,360.21,L0037-03
CMP00148,PRD0037,FOR014,NACIONAL,2026-02-16,,2026-03-13,2026-03-11,127,127,BRL,91.02,,503.2,685.19,L0037-04
CMP00149,PRD0038,FOR015,NACIONAL,2025-01-02,,2025-01-23,2025-01-24,125,125,BRL,119.02,,1097.37,847.66,L0038-01
CMP00150,PRD0038,FOR015,NACIONAL,2025-05-27,,2025-06-12,2025-06-13,116,116,BRL,120.24,,502.43,898.92,L0038-02
CMP00151,PRD0038,FOR015,NACIONAL,2025-10-15,,2025-10-22,2025-10-22,104,104,BRL,126.11,,580.97,842.29,L0038-03
CMP00152,PRD0038,FOR015,NACIONAL,2026-02-12,,2026-03-02,2026-03-05,124,124,BRL,129.0,,1049.18,590.15,L0038-04
CMP00153,PRD0039,FOR016,NACIONAL,2025-01-04,,2025-01-14,2025-01-14,143,143,BRL,69.23,,376.95,338.39,L0039-01
CMP00154,PRD0039,FOR016,NACIONAL,2025-05-24,,2025-06-14,2025-06-16,118,118,BRL,74.13,,224.87,404.22,L0039-02
CMP00155,PRD0039,FOR016,NACIONAL,2025-10-17,,2025-10-28,2025-10-29,138,138,BRL,68.06,,586.1,362.48,L0039-03
CMP00156,PRD0039,FOR016,NACIONAL,2026-03-02,,2026-03-13,2026-03-17,127,127,BRL,66.6,,497.35,531.77,L0039-04
CMP00157,PRD0040,FOR017,NACIONAL,2025-01-17,,2025-01-28,2025-02-02,145,145,BRL,123.79,,965.57,542.92,L0040-01
CMP00158,PRD0040,FOR017,NACIONAL,2025-05-29,,2025-06-20,2025-06-24,135,135,BRL,116.34,,604.17,912.94,L0040-02
CMP00159,PRD0040,FOR017,NACIONAL,2025-10-01,,2025-10-25,2025-10-23,140,140,BRL,115.01,,1207.42,401.12,L0040-03
CMP00160,PRD0040,FOR017,NACIONAL,2026-02-25,,2026-03-13,2026-03-12,141,141,BRL,124.02,,841.69,624.02,L0040-04
CMP00161,PRD0041,FOR018,NACIONAL,2025-01-10,,2025-01-24,2025-01-25,118,118,BRL,97.23,,274.84,748.29,L0041-01
CMP00162,PRD0041,FOR018,NACIONAL,2025-06-04,,2025-06-14,2025-06-14,105,105,BRL,105.1,,312.67,581.83,L0041-02
CMP00163,PRD0041,FOR018,NACIONAL,2025-10-10,,2025-11-03,2025-11-02,118,118,BRL,94.66,,363.08,744.28,L0041-03
CMP00164,PRD0041,FOR018,NACIONAL,2026-02-24,,2026-03-12,2026-03-17,121,121,BRL,101.17,,583.58,403.47,L0041-04
CMP00165,PRD0042,FOR019,NACIONAL,2025-01-03,,2025-01-22,2025-01-20,124,124,BRL,121.16,,449.92,886.04,L0042-01
CMP00166,PRD0042,FOR019,NACIONAL,2025-05-28,,2025-06-08,2025-06-11,105,105,BRL,122.92,,852.03,725.1,L0042-02
CMP00167,PRD0042,FOR019,NACIONAL,2025-10-11,,2025-10-19,2025-10-18,120,120,BRL,110.63,,713.08,814.84,L0042-03
CMP00168,PRD0042,FOR019,NACIONAL,2026-02-21,,2026-03-15,2026-03-14,115,115,BRL,114.03,,947.12,782.55,L0042-04
