compra_id;produto_id;fornecedor_id;origem_fornecedor;data_pedido_compra;data_evento_cambio;data_prevista;data_recebimento;quantidade_pedida;quantidade_recebida;moeda;valor_unitario_moeda;taxa_cambio_interna;frete_compra_brl;impostos_compra_brl;lote;data;ptax_venda;ptax_aproximada_por_data_pedido;taxa_cambio_interna_tratada;taxa_preenchida_com_ptax;spread_cambial_pct
CMP00066;PRD0017;FOR018;IMPORTADO;31/05/2025;31/05/2025;07/08/2025;08/08/2025;212;212;USD;17.46;59.049;1215.81;3068.62;L0017-02;30/05/2025;57.087;False;59.049;False;34.368.595.301.907.400
CMP00122;PRD0031;FOR008;IMPORTADO;01/06/2025;01/06/2025;22/07/2025;21/07/2025;173;173;USD;15.7;58.844;809.93;1689.2;L0031-02;30/05/2025;57.087;False;58.844;False;30.777.585.089.424.900
CMP00030;PRD0008;FOR009;IMPORTADO;02/06/2025;02/06/2025;03/08/2025;21/08/2025;474;474;USD;16.58;58.064;1911.97;5603.08;L0008-02;02/06/2025;56.937;False;58.064;False;19.793.807.190.403.400
CMP00022;PRD0006;FOR007;IMPORTADO;02/06/2025;02/06/2025;28/07/2025;08/08/2025;610;610;USD;11.72;58.245;2897.85;6232.8;L0006-02;02/06/2025;56.937;False;58.245;False;22.972.759.365.614.500
CMP00078;PRD0020;FOR021;IMPORTADO;03/06/2025;03/06/2025;05/08/2025;03/08/2025;174;174;USD;11.13;58.569;691.68;1664.46;L0020-02;03/06/2025;56.694;False;58.569;False;33.072.282.781.246.600
CMP00050;PRD0013;FOR014;IMPORTADO;03/06/2025;03/06/2025;11/08/2025;16/08/2025;278;278;USD;16.8;57.834;1712.01;2778.47;L0013-02;03/06/2025;56.694;False;57.834;False;20.107.947.930.997.900
CMP00046;PRD0012;FOR013;IMPORTADO;03/06/2025;03/06/2025;23/07/2025;30/07/2025;325;325;USD;15.5;57.927;1390.13;3676.58;L0012-02;03/06/2025;56.694;False;57.927;False;2.174.833.315.694.770
CMP00086;PRD0022;FOR023;IMPORTADO;03/06/2025;03/06/2025;22/08/2025;24/08/2025;156;156;USD;10.62;58.246;428.53;812.83;L0022-02;03/06/2025;56.694;False;58.246;False;27.375.030.867.463.800
CMP00126;PRD0032;FOR009;IMPORTADO;04/06/2025;04/06/2025;22/07/2025;24/07/2025;160;160;USD;10.99;57.982;782.3;1230.1;L0032-02;04/06/2025;56.332;False;57.982;False;29.290.634.097.848.300
CMP00082;PRD0021;FOR022;IMPORTADO;04/06/2025;04/06/2025;19/08/2025;23/08/2025;196;196;USD;10.18;58.196;789.39;1683.57;L0021-02;04/06/2025;56.332;False;58.196;False;33.089.540.580.842.100
CMP00090;PRD0023;FOR024;IMPORTADO;04/06/2025;04/06/2025;27/08/2025;25/08/2025;165;165;USD;20.6;57.295;1197.16;2207.54;L0023-02;04/06/2025;56.332;False;57.295;False;17.095.079.173.471.400
CMP00014;PRD0004;FOR005;IMPORTADO;05/06/2025;05/06/2025;26/08/2025;08/09/2025;897;897;USD;13.13;57.342;3174.19;9870.15;L0004-02;05/06/2025;55.969;False;57.342;False;2.453.143.704.550.740
CMP00010;PRD0003;FOR004;IMPORTADO;05/06/2025;05/06/2025;21/07/2025;13/08/2025;1045;1045;USD;14.08;57.409;2056.44;10907.61;L0003-02;05/06/2025;55.969;False;57.409;False;25.728.528.292.447.600
CMP00119;PRD0030;FOR007;IMPORTADO;28/09/2025;28/09/2025;15/11/2025;16/11/2025;124;124;USD;15.0;54.881;227.2;1402.5;L0030-03;26/09/2025;53.445;False;54.881;False;26.868.743.568.154.200
CMP00127;PRD0032;FOR009;IMPORTADO;28/09/2025;28/09/2025;15/11/2025;20/11/2025;166;166;USD;12.09;55.137;280.02;1304.59;L0032-03;26/09/2025;53.445;False;55.137;False;3.165.871.456.637.660
CMP00123;PRD0031;FOR008;IMPORTADO;30/09/2025;30/09/2025;04/12/2025;02/12/2025;182;182;USD;15.61;54.649;1046.77;2221.68;L0031-03;30/09/2025;53.186;False;54.649;False;27.507.238.747.038.700
CMP00011;PRD0003;FOR004;IMPORTADO;01/10/2025;01/10/2025;07/12/2025;30/12/2025;1093;1093;USD;16.04;54.629;5464.14;11969.92;L0003-03;01/10/2025;53.208;False;54.629;False;26.706.510.299.203.100
CMP00115;PRD0029;FOR006;IMPORTADO;02/10/2025;02/10/2025;27/11/2025;27/11/2025;124;124;USD;14.85;54.633;501.05;1545.0;L0029-03;02/10/2025;53.449;False;54.633;False;2.215.195.794.121.500
CMP00107;PRD0027;FOR004;IMPORTADO;02/10/2025;02/10/2025;10/12/2025;11/12/2025;160;160;USD;19.72;54.329;386.84;2443.43;L0027-03;02/10/2025;53.449;False;54.329;False;1.646.429.306.441.650
CMP00083;PRD0021;FOR022;IMPORTADO;03/10/2025;03/10/2025;25/11/2025;28/11/2025;205;205;USD;10.93;5.493;248.89;1252.92;L0021-03;03/10/2025;53.498;False;5.493;False;267.673.557.890.015
CMP00063;PRD0016;FOR017;IMPORTADO;04/10/2025;04/10/2025;19/12/2025;20/12/2025;238;238;USD;13.16;54.515;565.97;2541.64;L0016-03;03/10/2025;53.498;False;54.515;False;19.010.056.450.708.400
CMP00067;PRD0017;FOR018;IMPORTADO;04/10/2025;04/10/2025;12/12/2025;16/12/2025;197;197;USD;18.41;5.529;616.48;1819.32;L0017-03;03/10/2025;53.498;False;5.529;False;3.349.657.931.137.600
CMP00087;PRD0022;FOR023;IMPORTADO;04/10/2025;04/10/2025;19/11/2025;17/11/2025;174;174;USD;10.52;55.087;373.59;1602.93;L0022-03;03/10/2025;53.498;False;55.087;False;29.702.044.936.259.300
CMP00047;PRD0012;FOR013;IMPORTADO;04/10/2025;04/10/2025;28/11/2025;09/12/2025;346;346;USD;17.45;55.105;1498.25;4784.12;L0012-03;03/10/2025;53.498;False;55.105;False;30.038.506.112.378.000
CMP00103;PRD0026;FOR003;IMPORTADO;06/10/2025;06/10/2025;26/12/2025;31/12/2025;148;148;USD;14.03;54.052;444.1;1731.94;L0026-03;06/10/2025;53.226;False;54.052;False;15.518.731.447.037.000
CMP00043;PRD0011;FOR012;IMPORTADO;06/10/2025;06/10/2025;30/11/2025;19/12/2025;371;371;USD;10.16;54.142;708.0;2743.69;L0011-03;06/10/2025;53.226;False;54.142;False;1.720.963.438.920.820
CMP00075;PRD0019;FOR020;IMPORTADO;06/10/2025;06/10/2025;13/12/2025;12/12/2025;200;200;USD;18.79;55.023;647.68;3093.56;L0019-03;06/10/2025;53.226;False;55.023;False;3.376.169.541.201.650
CMP00099;PRD0025;FOR002;IMPORTADO;07/10/2025;07/10/2025;21/12/2025;19/12/2025;137;137;USD;13.49;5.44;751.11;1166.05;L0025-03;07/10/2025;53.363;False;5.44;False;19.432.940.426.887.600
CMP00079;PRD0020;FOR021;IMPORTADO;08/10/2025;08/10/2025;31/12/2025;31/12/2025;172;172;USD;11.57;54.431;764.63;1093.34;L0020-03;08/10/2025;53.427;False;54.431;False;18.791.996.556.048.500
CMP00071;PRD0018;FOR019;IMPORTADO;08/10/2025;08/10/2025;26/11/2025;30/11/2025;224;224;USD;9.21;5.427;502.76;1732.16;L0018-03;08/10/2025;53.427;False;5.427;False;1.577.853.894.098.480
CMP00095;PRD0024;FOR001;IMPORTADO;09/10/2025;09/10/2025;02/01/2026;01/01/2026;130;130;USD;9.1;55.328;317.69;618.49;L0024-03;09/10/2025;53.538;False;55.328;False;33.434.196.271.806.900
CMP00023;PRD0006;FOR007;IMPORTADO;09/10/2025;09/10/2025;21/12/2025;12/01/2026;544;544;USD;12.63;;853.04;5922.96;L0006-03;09/10/2025;53.538;False;53.538;True;
CMP00027;PRD0007;FOR008;IMPORTADO;10/10/2025;10/10/2025;24/12/2025;07/01/2026;460;460;USD;9.29;56.313;1715.65;3267.79;L0007-03;10/10/2025;54.446;False;56.313;False;3.429.085.699.592.250
CMP00111;PRD0028;FOR005;IMPORTADO;10/10/2025;10/10/2025;02/01/2026;07/01/2026;132;132;USD;14.77;56.258;321.17;1293.08;L0028-03;10/10/2025;54.446;False;56.258;False;3.328.068.177.643.890
CMP00035;PRD0009;FOR010;IMPORTADO;12/10/2025;12/10/2025;01/12/2025;15/12/2025;449;449;USD;14.98;55.391;2593.62;3195.47;L0009-03;10/10/2025;54.446;False;55.391;False;17.356.646.952.944.200
CMP00015;PRD0004;FOR005;IMPORTADO;14/10/2025;14/10/2025;15/12/2025;04/01/2026;971;971;USD;13.55;56.877;5000.84;6927.44;L0004-03;14/10/2025;54.982;False;56.877;False;34.465.825.179.149.600
CMP00007;PRD0002;FOR003;IMPORTADO;14/10/2025;14/10/2025;28/11/2025;14/12/2025;1239;1239;USD;11.07;56.196;5780.36;11555.12;L0002-03;14/10/2025;54.982;False;56.196;False;22.079.953.439.307.400
CMP00055;PRD0014;FOR015;IMPORTADO;15/10/2025;15/10/2025;26/12/2025;24/12/2025;276;276;USD;11.86;56.242;667.27;2173.69;L0014-03;15/10/2025;54.464;False;56.242;False;326.454.171.562.868
CMP00003;PRD0001;FOR002;IMPORTADO;15/10/2025;15/10/2025;07/12/2025;28/12/2025;2318;2318;USD;8.54;55.979;8697.24;11358.19;L0001-03;15/10/2025;54.464;False;55.979;False;27.816.539.365.452.400
CMP00019;PRD0005;FOR006;IMPORTADO;16/10/2025;16/10/2025;03/01/2026;18/01/2026;735;735;USD;15.2;55.282;4127.26;9193.87;L0005-03;16/10/2025;54.354;False;55.282;False;17.073.260.477.609.800
CMP00031;PRD0008;FOR009;IMPORTADO;16/10/2025;16/10/2025;27/12/2025;08/01/2026;433;433;USD;17.44;55.612;1086.05;5242.93;L0008-03;16/10/2025;54.354;False;55.612;False;2.314.457.077.675.990
CMP00091;PRD0023;FOR024;IMPORTADO;17/10/2025;17/10/2025;03/01/2026;08/01/2026;181;181;USD;20.4;5.592;1054.09;2962.16;L0023-03;17/10/2025;5.439;False;5.592;False;28.130.170.987.313.700
CMP00039;PRD0010;FOR011;IMPORTADO;18/10/2025;18/10/2025;09/01/2026;01/02/2026;369;369;USD;12.78;56.017;962.7;3380.31;L0010-03;17/10/2025;5.439;False;56.017;False;2.991.358.705.644.420
CMP00051;PRD0013;FOR014;IMPORTADO;18/10/2025;18/10/2025;08/01/2026;08/01/2026;286;286;USD;18.21;55.429;748.59;2479.1;L0013-03;17/10/2025;5.439;False;55.429;False;1.910.277.624.563.340
CMP00059;PRD0015;FOR016;IMPORTADO;18/10/2025;18/10/2025;23/12/2025;22/12/2025;244;244;USD;17.68;5.554;805.6;2245.28;L0015-03;17/10/2025;5.439;False;5.554;False;2.114.359.257.216.400
CMP00104;PRD0026;FOR003;IMPORTADO;10/02/2026;10/02/2026;21/04/2026;23/04/2026;135;135;USD;13.77;52.957;806.94;1152.5;L0026-04;10/02/2026;52.021;False;52.957;False;17.992.733.703.696.600
CMP00096;PRD0024;FOR001;IMPORTADO;13/02/2026;13/02/2026;23/04/2026;23/04/2026;145;145;USD;9.77;53.284;547.73;1007.73;L0024-04;13/02/2026;52.288;False;53.284;False;19.048.347.613.219.200
CMP00020;PRD0005;FOR006;IMPORTADO;13/02/2026;13/02/2026;08/05/2026;12/05/2026;671;671;USD;15.89;53.321;3227.75;8894.1;L0005-04;13/02/2026;52.288;False;53.321;False;19.755.966.952.264.300
CMP00120;PRD0030;FOR007;IMPORTADO;13/02/2026;13/02/2026;30/04/2026;02/05/2026;134;134;USD;17.04;53.985;803.69;948.07;L0030-04;13/02/2026;52.288;False;53.985;False;32.454.865.361.077.200
CMP00048;PRD0012;FOR013;IMPORTADO;14/02/2026;14/02/2026;04/05/2026;05/05/2026;340;340;USD;18.15;53.761;1221.74;3050.07;L0012-04;13/02/2026;52.288;False;53.761;False;2.817.089.963.280.300
CMP00112;PRD0028;FOR005;IMPORTADO;15/02/2026;15/02/2026;13/04/2026;14/04/2026;120;120;USD;15.54;53.286;625.38;1337.04;L0028-04;13/02/2026;52.288;False;53.286;False;19.086.597.307.221.500
CMP00052;PRD0013;FOR014;IMPORTADO;15/02/2026;15/02/2026;24/04/2026;25/04/2026;275;275;USD;18.32;54.045;1951.15;4026.36;L0013-04;13/02/2026;52.288;False;54.045;False;33.602.356.181.150.500
CMP00040;PRD0010;FOR011;IMPORTADO;16/02/2026;16/02/2026;04/05/2026;03/05/2026;382;382;USD;12.12;53.394;1940.22;2995.22;L0010-04;13/02/2026;52.288;False;53.394;False;21.152.080.783.353.800
CMP00060;PRD0015;FOR016;IMPORTADO;17/02/2026;17/02/2026;18/04/2026;22/04/2026;208;208;USD;20.44;53.516;511.49;2646.5;L0015-04;13/02/2026;52.288;False;53.516;False;23.485.312.117.503.100
CMP00032;PRD0008;FOR009;IMPORTADO;17/02/2026;17/02/2026;16/04/2026;20/04/2026;482;482;USD;17.02;5.33;3270.01;5840.25;L0008-04;13/02/2026;52.288;False;5.33;False;19.354.345.165.238.700
CMP00080;PRD0020;FOR021;IMPORTADO;18/02/2026;18/02/2026;01/05/2026;06/05/2026;209;209;USD;12.1;53.136;564.69;1388.78;L0020-04;18/02/2026;52.349;False;53.136;False;15.033.716.021.318.500
CMP00016;PRD0004;FOR005;IMPORTADO;19/02/2026;19/02/2026;14/04/2026;13/04/2026;800;800;USD;13.9;53.297;2815.85;8414.91;L0004-04;19/02/2026;52.257;False;53.297;False;19.901.639.971.678.400
CMP00008;PRD0002;FOR003;IMPORTADO;20/02/2026;20/02/2026;05/05/2026;08/05/2026;1386;1386;USD;11.95;52.834;2087.26;7956.17;L0002-04;20/02/2026;52.006;False;52.834;False;1.592.123.985.693.970
CMP00024;PRD0006;FOR007;IMPORTADO;21/02/2026;21/02/2026;12/04/2026;16/04/2026;610;610;USD;13.37;53.121;1015.32;3689.6;L0006-04;20/02/2026;52.006;False;53.121;False;21.439.833.865.323.300
CMP00036;PRD0009;FOR010;IMPORTADO;21/02/2026;21/02/2026;13/05/2026;16/05/2026;459;459;USD;15.26;52.935;2357.12;5865.53;L0009-04;20/02/2026;52.006;False;52.935;False;17.863.323.462.677.400
CMP00076;PRD0019;FOR020;IMPORTADO;21/02/2026;21/02/2026;09/05/2026;10/05/2026;189;189;USD;17.93;5.349;487.88;2491.36;L0019-04;20/02/2026;52.006;False;5.349;False;28.535.169.018.959.400
CMP00092;PRD0023;FOR024;IMPORTADO;22/02/2026;22/02/2026;28/04/2026;29/04/2026;158;158;USD;22.16;53.419;913.56;2330.15;L0023-04;20/02/2026;52.006;False;53.419;False;27.169.941.929.777.300
CMP00044;PRD0011;FOR012;IMPORTADO;23/02/2026;23/02/2026;17/05/2026;18/05/2026;339;339;USD;10.09;52.737;1172.89;2628.83;L0011-04;23/02/2026;51.635;False;52.737;False;21.342.112.907.911.200
CMP00100;PRD0025;FOR002;IMPORTADO;23/02/2026;23/02/2026;15/04/2026;14/04/2026;159;159;USD;12.6;52.729;505.41;998.3;L0025-04;23/02/2026;51.635;False;52.729;False;2.118.717.923.888.830
CMP00028;PRD0007;FOR008;IMPORTADO;24/02/2026;24/02/2026;10/04/2026;15/04/2026;519;519;USD;10.21;53.007;560.04;3026.87;L0007-04;24/02/2026;51.682;False;53.007;False;2.563.755.272.628.770
CMP00088;PRD0022;FOR023;IMPORTADO;24/02/2026;24/02/2026;20/05/2026;24/05/2026;153;153;USD;11.69;53.316;312.56;1334.53;L0022-04;24/02/2026;51.682;False;53.316;False;31.616.423.513.021.900
CMP00116;PRD0029;FOR006;IMPORTADO;24/02/2026;24/02/2026;24/04/2026;26/04/2026;117;117;USD;14.66;52.609;306.71;1140.0;L0029-04;24/02/2026;51.682;False;52.609;False;1.793.661.236.020.290
CMP00124;PRD0031;FOR008;IMPORTADO;24/02/2026;24/02/2026;01/05/2026;05/05/2026;189;189;USD;17.19;5.322;927.53;1541.95;L0031-04;24/02/2026;51.682;False;5.322;False;29.758.910.258.890.900
