produto_id,produto,categoria,marca,data_inicio_venda,data_fim_venda,peso_kg,preco_referencia,custo_atual,importado,armazenamento,embalagem_especial,validade_dias
PRD0148,Snacks Oryx 148,Snacks e barras,Oryx,2025-01-01,,0.091,11.76,6.24,false,AMBIENTE,false,270
PRD0149,Snacks Axiom 149,Snacks e barras,Axiom,2025-01-01,,0.118,27.12,14.65,false,AMBIENTE,false,180
PRD0150,Snacks Corelab 150,Snacks e barras,Corelab,2025-01-01,2026-05-18,0.067,20.5,11.45,false,AMBIENTE,false,180
PRD0151,Snacks Noma 151,Snacks e barras,Noma,2025-01-01,2026-03-21,0.129,18.88,9.86,false,AMBIENTE,false,180
PRD0152,Snacks North 152,Snacks e barras,North,2025-01-01,2026-03-18,0.11,23.38,12.62,false,AMBIENTE,false,180
PRD0153,Snacks Veld 153,Snacks e barras,Veld,2025-01-01,2026-01-14,0.068,23.87,12.73,false,AMBIENTE,false,730
PRD0154,Snacks Metrik 154,Snacks e barras,Metrik,2025-01-01,2026-03-25,0.122,27.45,14.24,false,AMBIENTE,false,730
PRD0155,Snacks Arden 155,Snacks e barras,Arden,2025-01-01,2026-05-21,0.111,24.05,12.73,false,AMBIENTE,false,730
PRD0156,Snacks Oryx 156,Snacks e barras,Oryx,2025-01-01,,0.111,21.37,12.09,false,AMBIENTE,false,270
PRD0157,Snacks Axiom 157,Snacks e barras,Axiom,2025-01-01,,0.095,26.49,15.07,false,AMBIENTE,false,180
PRD0158,Snacks Corelab 158,Snacks e barras,Corelab,2025-01-01,,0.13,22.96,13.21,false,AMBIENTE,true,365
PRD0159,Snacks Noma 159,Snacks e barras,Noma,2025-01-01,,0.105,25.44,13.96,false,AMBIENTE,false,365
PRD0160,Snacks North 160,Snacks e barras,North,2025-01-01,,0.121,27.79,15.72,false,AMBIENTE,false,365
PRD0161,Snacks Veld 161,Snacks e barras,Veld,2025-01-01,,0.086,12.33,6.87,false,REFRIGERADO,false,730
PRD0162,Snacks Metrik 162,Snacks e barras,Metrik,2025-01-01,,0.09,17.4,10.08,false,AMBIENTE,false,180
PRD0163,Snacks Arden 163,Snacks e barras,Arden,2025-01-01,,0.106,22.24,12.34,false,AMBIENTE,false,730
PRD0164,Snacks Oryx 164,Snacks e barras,Oryx,2025-01-01,,0.073,12.76,7.29,false,AMBIENTE,false,180
PRD0165,Bebidas Axiom 165,Bebidas e consumo imediato,Axiom,2025-01-01,,0.6,19.4,10.72,false,REFRIGERADO,true,365
PRD0166,Bebidas Corelab 166,Bebidas e consumo imediato,Corelab,2025-09-15,,0.33,20.24,11.59,false,AMBIENTE,true,365
PRD0167,Bebidas Noma 167,Bebidas e consumo imediato,Noma,2025-07-07,,0.487,11.99,7.16,false,AMBIENTE,true,180
PRD0168,Bebidas North 168,Bebidas e consumo imediato,North,2025-12-24,,0.458,17.91,11.0,false,AMBIENTE,true,270
PRD0169,Bebidas Veld 169,Bebidas e consumo imediato,Veld,2025-11-28,,0.306,9.66,5.88,false,AMBIENTE,true,270
PRD0170,Bebidas Metrik 170,Bebidas e consumo imediato,Metrik,2026-01-20,,0.544,19.96,11.25,false,ESPECIAL,true,540
PRD0171,Bebidas Arden 171,Bebidas e consumo imediato,Arden,2025-10-29,,0.473,19.37,11.34,false,AMBIENTE,true,180
PRD0172,Bebidas Oryx 172,Bebidas e consumo imediato,Oryx,2025-08-15,,0.307,20.66,12.13,false,AMBIENTE,true,365
PRD0173,Bebidas Axiom 173,Bebidas e consumo imediato,Axiom,2025-09-16,,0.328,13.11,7.66,false,AMBIENTE,true,730
PRD0174,Bebidas Corelab 174,Bebidas e consumo imediato,Corelab,2025-06-07,,0.358,19.9,12.02,false,AMBIENTE,true,180
PRD0175,Bebidas Noma 175,Bebidas e consumo imediato,Noma,2026-01-12,,0.435,13.2,7.72,false,AMBIENTE,true,540
PRD0176,Bebidas North 176,Bebidas e consumo imediato,North,2025-07-13,,0.541,20.23,11.38,false,AMBIENTE,true,540
PRD0177,Bebidas Veld 177,Bebidas e consumo imediato,Veld,2026-01-31,,0.467,19.31,11.87,false,AMBIENTE,true,270
PRD0178,Bebidas Metrik 178,Bebidas e consumo imediato,Metrik,2026-01-28,,0.64,17.36,10.06,false,AMBIENTE,true,270
PRD0179,Bebidas Arden 179,Bebidas e consumo imediato,Arden,2025-10-15,,0.376,10.37,5.7,false,AMBIENTE,true,540
PRD0180,Bebidas Oryx 180,Bebidas e consumo imediato,Oryx,2026-01-11,,0.541,18.03,10.61,false,ESPECIAL,true,730
