pedido_id,data_operacao,turno,equipe,inicio_separacao,fim_expedicao,linhas_pedido,unidades,caixas_fechadas,embalagem_especial,ruptura_ou_substituicao,retrabalho,minutos_retrabalho,ocorrencia_operacional,expedido_no_prazo
PED000052,2025-01-20,MANHÃ,EQUIPE A,2025-01-20T08:01:00-03:00,2025-01-20T08:19:00-03:00,3,3,0,false,false,false,0,,true
PED000053,2025-01-29,MANHÃ,EQUIPE A,2025-01-29T07:59:00-03:00,2025-01-29T08:33:00-03:00,4,6,0,false,false,false,0,,true
PED000054,2025-01-13,TARDE,EQUIPE B,2025-01-13T13:15:00-03:00,2025-01-13T13:25:00-03:00,1,1,0,false,false,false,0,,true
PED000055,2025-01-31,TARDE,EQUIPE B,2025-01-31T14:48:00-03:00,2025-01-31T15:33:00-03:00,4,5,0,false,false,true,7,Retrabalho de conferência,false
PED000056,2025-01-09,TARDE,EQUIPE B,2025-01-09T14:33:00-03:00,2025-01-09T14:45:00-03:00,2,3,0,false,false,false,0,,true
PED000057,2025-01-21,MANHÃ,EQUIPE A,2025-01-21T10:30:00-03:00,2025-01-21T10:51:00-03:00,2,4,0,false,false,false,0,,true
PED000058,2025-01-08,MANHÃ,EQUIPE A,2025-01-08T08:52:00-03:00,2025-01-08T09:05:00-03:00,2,4,0,false,false,false,0,,true
PED000059,2025-01-09,TARDE,EQUIPE B,2025-01-09T16:03:00-03:00,2025-01-09T16:24:00-03:00,4,5,0,false,false,false,0,,true
PED000060,2025-01-29,MANHÃ,EQUIPE A,2025-01-29T08:18:00-03:00,2025-01-29T08:33:00-03:00,1,3,0,false,false,false,0,,true
PED000061,2025-01-28,TARDE,EQUIPE B,2025-01-28T14:31:00-03:00,2025-01-28T14:52:00-03:00,3,7,0,true,false,false,0,,true
PED000062,2025-01-14,MANHÃ,EQUIPE A,2025-01-14T11:45:00-03:00,2025-01-14T12:07:00-03:00,3,3,0,false,true,false,0,Substituição de item,true
PED000063,2025-01-10,MANHÃ,EQUIPE A,2025-01-10T07:30:00-03:00,2025-01-10T07:46:00-03:00,3,3,0,false,false,false,0,,true
PED000064,2025-01-20,TARDE,EQUIPE B,2025-01-20T13:02:00-03:00,2025-01-20T13:25:00-03:00,5,6,0,false,false,false,0,,true
PED000065,2025-01-09,TARDE,EQUIPE B,2025-01-09T16:54:00-03:00,2025-01-09T17:04:00-03:00,1,1,0,false,false,false,0,,true
PED000066,2025-01-13,MANHÃ,EQUIPE A,2025-01-13T11:02:00-03:00,2025-01-13T11:19:00-03:00,3,3,0,false,false,false,0,,true
PED000067,2025-01-30,MANHÃ,EQUIPE A,2025-01-30T09:10:00-03:00,2025-01-30T09:41:00-03:00,4,5,0,false,false,false,0,,true
PED000068,2025-01-16,MANHÃ,EQUIPE A,2025-01-16T09:48:00-03:00,2025-01-16T10:06:00-03:00,1,1,0,false,true,false,0,Substituição de item,false
PED000069,2025-01-27,MANHÃ,EQUIPE A,2025-01-27T07:47:00-03:00,2025-01-27T07:57:00-03:00,1,1,0,false,false,false,0,,true
PED000070,2025-01-09,MANHÃ,EQUIPE A,2025-01-09T07:58:00-03:00,2025-01-09T08:14:00-03:00,3,3,0,false,false,false,0,,true
PED000071,2025-02-03,MANHÃ,EQUIPE A,2025-02-03T11:33:00-03:00,2025-02-03T11:45:00-03:00,2,3,0,false,false,false,0,,true
PED000072,2025-01-30,MANHÃ,EQUIPE A,2025-01-30T08:37:00-03:00,2025-01-30T08:57:00-03:00,2,2,0,false,false,false,0,,true
PED000073,2025-01-09,MANHÃ,EQUIPE A,2025-01-09T10:40:00-03:00,2025-01-09T10:50:00-03:00,1,6,0,false,false,false,0,,true
PED000074,2025-01-24,MANHÃ,EQUIPE A,2025-01-24T08:21:00-03:00,2025-01-24T08:45:00-03:00,5,5,0,false,false,false,0,,true
PED000075,2025-01-24,MANHÃ,EQUIPE A,2025-01-24T10:16:00-03:00,2025-01-24T10:25:00-03:00,1,1,0,false,false,false,0,,true
PED000076,2025-01-29,TARDE,EQUIPE B,2025-01-29T14:51:00-03:00,2025-01-29T15:12:00-03:00,2,2,0,false,false,false,0,,true
PED000077,2025-01-31,MANHÃ,EQUIPE A,2025-01-31T07:19:00-03:00,2025-01-31T07:33:00-03:00,2,2,0,false,false,false,0,,true
PED000078,2025-01-16,MANHÃ,EQUIPE A,2025-01-16T11:51:00-03:00,2025-01-16T12:02:00-03:00,1,1,0,false,false,false,0,,true
PED000079,2025-01-22,MANHÃ,EQUIPE A,2025-01-22T07:50:00-03:00,2025-01-22T08:00:00-03:00,1,1,0,false,false,false,0,,true
PED000080,2025-01-31,MANHÃ,EQUIPE A,2025-01-31T10:34:00-03:00,2025-01-31T11:14:00-03:00,2,2,0,true,true,false,0,Substituição de item,false
PED000081,2025-02-03,MANHÃ,EQUIPE A,2025-02-03T07:42:00-03:00,2025-02-03T08:02:00-03:00,3,4,0,true,false,false,0,,true
PED000082,2025-01-21,TARDE,EQUIPE B,2025-01-21T15:38:00-03:00,2025-01-21T15:48:00-03:00,1,1,0,false,false,false,0,,false
PED000083,2025-01-14,MANHÃ,EQUIPE A,2025-01-14T09:54:00-03:00,2025-01-14T10:06:00-03:00,2,3,0,false,false,false,0,,true
PED000084,2025-01-16,MANHÃ,EQUIPE A,2025-01-16T09:22:00-03:00,2025-01-16T09:42:00-03:00,1,1,0,false,true,false,0,Substituição de item,true
PED000085,2025-02-03,TARDE,EQUIPE B,2025-02-03T14:38:00-03:00,2025-02-03T14:55:00-03:00,3,3,0,false,false,false,0,,true
PED000086,2025-01-31,MANHÃ,EQUIPE A,2025-01-31T11:26:00-03:00,2025-01-31T12:01:00-03:00,5,5,0,false,false,false,0,,false
PED000087,2025-01-22,MANHÃ,EQUIPE A,2025-01-22T07:05:00-03:00,2025-01-22T07:24:00-03:00,4,9,0,false,false,false,0,,true
PED000088,2025-01-10,MANHÃ,EQUIPE A,2025-01-10T09:27:00-03:00,2025-01-10T09:42:00-03:00,3,5,0,false,false,false,0,,true
PED000089,2025-01-07,MANHÃ,EQUIPE A,2025-01-07T08:48:00-03:00,2025-01-07T09:10:00-03:00,3,3,0,true,false,false,0,,true
PED000090,2025-01-27,MANHÃ,EQUIPE A,2025-01-27T08:55:00-03:00,2025-01-27T09:07:00-03:00,2,2,0,false,false,false,0,,true
PED000091,2025-01-28,MANHÃ,EQUIPE A,2025-01-28T10:54:00-03:00,2025-01-28T11:10:00-03:00,3,3,0,false,false,false,0,,true
PED000092,2025-01-24,MANHÃ,EQUIPE A,2025-01-24T08:17:00-03:00,2025-01-24T08:32:00-03:00,3,3,0,false,false,false,0,,true
PED000093,2025-01-16,MANHÃ,EQUIPE A,2025-01-16T07:59:00-03:00,2025-01-16T08:10:00-03:00,1,5,0,false,false,false,0,,true
PED000094,2025-01-22,MANHÃ,EQUIPE A,2025-01-22T08:00:00-03:00,2025-01-22T08:09:00-03:00,1,1,0,false,false,false,0,,true
PED000095,2025-01-20,MANHÃ,EQUIPE A,2025-01-20T07:58:00-03:00,2025-01-20T08:10:00-03:00,1,4,0,false,false,false,0,,true
PED000096,2025-01-14,TARDE,EQUIPE B,2025-01-14T14:42:00-03:00,2025-01-14T14:56:00-03:00,2,2,0,false,false,false,0,,true
PED000097,2025-01-13,MANHÃ,EQUIPE A,2025-01-13T10:49:00-03:00,2025-01-13T11:20:00-03:00,3,7,0,true,false,true,8,Retrabalho de conferência,true
PED000098,2025-01-17,TARDE,EQUIPE B,2025-01-17T13:32:00-03:00,2025-01-17T13:47:00-03:00,3,3,0,false,false,false,0,,true
PED000099,2025-01-10,MANHÃ,EQUIPE A,2025-01-10T10:57:00-03:00,2025-01-10T11:13:00-03:00,3,3,0,false,false,false,0,,true
PED000100,2025-01-15,MANHÃ,EQUIPE A,2025-01-15T10:16:00-03:00,2025-01-15T10:34:00-03:00,3,3,0,false,false,false,0,,true
PED000101,2025-01-21,MANHÃ,EQUIPE A,2025-01-21T09:53:00-03:00,2025-01-21T10:26:00-03:00,4,4,0,false,false,false,0,,true
PED000102,2025-01-27,MANHÃ,EQUIPE A,2025-01-27T10:08:00-03:00,2025-01-27T10:22:00-03:00,2,2,0,false,false,false,0,,true
PED000103,2025-01-27,MANHÃ,EQUIPE A,2025-01-27T07:48:00-03:00,2025-01-27T07:58:00-03:00,1,1,0,false,false,false,0,,true
PED000104,2025-01-27,MANHÃ,EQUIPE A,2025-01-27T11:24:00-03:00,2025-01-27T11:45:00-03:00,4,4,0,false,false,false,0,,true
PED000107,2025-01-22,MANHÃ,EQUIPE A,2025-01-22T10:30:00-03:00,2025-01-22T11:24:00-03:00,1,2,0,false,true,true,10,Retrabalho de conferência,false
PED000108,2025-01-17,MANHÃ,EQUIPE A,2025-01-17T09:57:00-03:00,2025-01-17T10:09:00-03:00,2,2,0,false,false,false,0,,true
PED000109,2025-01-21,MANHÃ,EQUIPE A,2025-01-21T11:58:00-03:00,2025-01-21T12:30:00-03:00,4,5,0,false,false,false,0,,true
PED000110,2025-01-15,MANHÃ,EQUIPE A,2025-01-15T07:07:00-03:00,2025-01-15T07:22:00-03:00,2,3,0,false,false,false,0,,true
PED000111,2025-01-07,MANHÃ,EQUIPE A,2025-01-07T10:24:00-03:00,2025-01-07T10:33:00-03:00,1,1,0,false,false,false,0,,true
PED000112,2025-02-03,MANHÃ,EQUIPE A,2025-02-03T08:37:00-03:00,2025-02-03T08:51:00-03:00,2,3,0,false,false,false,0,,true
PED000113,2025-01-21,MANHÃ,EQUIPE A,2025-01-21T11:45:00-03:00,2025-01-21T12:18:00-03:00,2,2,0,false,true,false,0,Substituição de item,true
PED000114,2025-01-23,TARDE,EQUIPE B,2025-01-23T14:08:00-03:00,2025-01-23T14:26:00-03:00,4,5,0,false,false,false,0,,true
PED000115,2025-01-17,MANHÃ,EQUIPE A,2025-01-17T08:24:00-03:00,2025-01-17T08:34:00-03:00,1,1,0,false,false,false,0,,true
PED000116,2025-01-29,MANHÃ,EQUIPE A,2025-01-29T07:35:00-03:00,2025-01-29T07:53:00-03:00,1,2,0,false,false,false,0,,true
PED000117,2025-01-22,TARDE,EQUIPE B,2025-01-22T14:46:00-03:00,2025-01-22T15:01:00-03:00,1,1,0,false,false,false,0,,false
PED000118,2025-01-15,MANHÃ,EQUIPE A,2025-01-15T11:55:00-03:00,2025-01-15T12:07:00-03:00,2,2,0,false,false,false,0,,true
PED000119,2025-01-10,TARDE,EQUIPE B,2025-01-10T14:13:00-03:00,2025-01-10T14:22:00-03:00,1,1,0,false,false,false,0,,true
PED000120,2025-01-09,MANHÃ,EQUIPE A,2025-01-09T09:59:00-03:00,2025-01-09T10:16:00-03:00,2,2,0,true,false,false,0,,true
PED000121,2025-01-29,TARDE,EQUIPE B,2025-01-29T14:33:00-03:00,2025-01-29T15:14:00-03:00,4,4,0,true,false,false,0,,true
PED000122,2025-01-30,MANHÃ,EQUIPE A,2025-01-30T08:47:00-03:00,2025-01-30T09:36:00-03:00,4,4,0,false,true,false,0,Substituição de item,true
PED000123,2025-01-23,MANHÃ,EQUIPE A,2025-01-23T07:50:00-03:00,2025-01-23T08:00:00-03:00,1,1,0,false,false,false,0,,true
PED000124,2025-01-30,TARDE,EQUIPE B,2025-01-30T13:20:00-03:00,2025-01-30T13:41:00-03:00,2,2,0,false,false,false,0,,true
PED000125,2025-01-24,MANHÃ,EQUIPE A,2025-01-24T09:14:00-03:00,2025-01-24T09:26:00-03:00,2,2,0,false,false,false,0,,true
PED000126,2025-01-08,MANHÃ,EQUIPE A,2025-01-08T10:49:00-03:00,2025-01-08T10:59:00-03:00,1,1,0,false,false,false,0,,false
PED000127,2025-01-29,MANHÃ,EQUIPE A,2025-01-29T09:01:00-03:00,2025-01-29T09:30:00-03:00,3,3,0,false,false,false,0,,true
PED000128,2025-01-28,MANHÃ,EQUIPE A,2025-01-28T11:07:00-03:00,2025-01-28T11:16:00-03:00,1,1,0,false,false,false,0,,true
PED000129,2025-01-31,MANHÃ,EQUIPE A,2025-01-31T11:46:00-03:00,2025-01-31T12:02:00-03:00,3,3,0,false,false,false,0,,true
PED000130,2025-01-22,MANHÃ,EQUIPE A,2025-01-22T07:18:00-03:00,2025-01-22T07:33:00-03:00,3,3,0,false,false,false,0,,true
PED000131,2025-01-07,MANHÃ,EQUIPE A,2025-01-07T08:57:00-03:00,2025-01-07T09:10:00-03:00,2,2,0,false,false,false,0,,true
PED000132,2025-01-24,MANHÃ,EQUIPE A,2025-01-24T08:41:00-03:00,2025-01-24T08:59:00-03:00,3,5,0,false,false,false,0,,true
PED000133,2025-01-28,MANHÃ,EQUIPE A,2025-01-28T08:23:00-03:00,2025-01-28T08:36:00-03:00,2,3,0,false,false,false,0,,true
PED000134,2025-01-21,MANHÃ,EQUIPE A,2025-01-21T07:39:00-03:00,2025-01-21T07:56:00-03:00,1,1,0,false,false,false,0,,true
PED000135,2025-01-21,TARDE,EQUIPE B,2025-01-21T15:16:00-03:00,2025-01-21T15:38:00-03:00,2,3,0,false,false,false,0,,true
PED000136,2025-01-31,TARDE,EQUIPE B,2025-01-31T15:13:00-03:00,2025-01-31T15:27:00-03:00,2,2,0,false,false,false,0,,true
PED000137,2025-01-20,MANHÃ,EQUIPE A,2025-01-20T11:13:00-03:00,2025-01-20T11:31:00-03:00,4,5,0,false,false,false,0,,true
PED000138,2025-02-03,MANHÃ,EQUIPE A,2025-02-03T08:55:00-03:00,2025-02-03T09:15:00-03:00,2,4,0,true,false,false,0,,true
PED000139,2025-01-22,TARDE,EQUIPE B,2025-01-22T15:02:00-03:00,2025-01-22T15:15:00-03:00,2,2,0,false,false,false,0,,false
PED000140,2025-01-10,MANHÃ,EQUIPE A,2025-01-10T09:57:00-03:00,2025-01-10T10:10:00-03:00,2,3,0,false,false,false,0,,true
PED000141,2025-01-13,MANHÃ,EQUIPE A,2025-01-13T09:13:00-03:00,2025-01-13T09:39:00-03:00,6,11,0,false,false,false,0,,true
PED000142,2025-01-23,MANHÃ,EQUIPE A,2025-01-23T07:25:00-03:00,2025-01-23T07:43:00-03:00,3,8,0,false,false,false,0,,true
PED000143,2025-02-03,MANHÃ,EQUIPE A,2025-02-03T11:48:00-03:00,2025-02-03T12:08:00-03:00,2,2,0,false,false,false,0,,false
PED000144,2025-01-21,MANHÃ,EQUIPE A,2025-01-21T10:24:00-03:00,2025-01-21T10:45:00-03:00,4,4,0,false,false,false,0,,false
PED000145,2025-01-14,MANHÃ,EQUIPE A,2025-01-14T08:05:00-03:00,2025-01-14T08:25:00-03:00,1,1,0,false,false,true,9,Retrabalho de conferência,true
PED000146,2025-01-29,MANHÃ,EQUIPE A,2025-01-29T10:03:00-03:00,2025-01-29T10:44:00-03:00,4,4,0,false,true,false,0,Substituição de item,true
PED000147,2025-01-23,MANHÃ,EQUIPE A,2025-01-23T11:14:00-03:00,2025-01-23T11:32:00-03:00,4,5,0,false,false,false,0,,true
PED000148,2025-01-23,MANHÃ,EQUIPE A,2025-01-23T09:39:00-03:00,2025-01-23T09:55:00-03:00,3,5,0,false,false,false,0,,true
PED000149,2025-01-10,TARDE,EQUIPE B,2025-01-10T15:25:00-03:00,2025-01-10T15:38:00-03:00,2,2,0,false,false,false,0,,true
PED000150,2025-01-07,MANHÃ,EQUIPE A,2025-01-07T09:54:00-03:00,2025-01-07T10:13:00-03:00,4,7,0,false,false,false,0,,true
PED000151,2025-01-13,TARDE,EQUIPE B,2025-01-13T15:54:00-03:00,2025-01-13T16:04:00-03:00,1,1,0,false,false,false,0,,true
PED000152,2025-01-28,MANHÃ,EQUIPE A,2025-01-28T11:06:00-03:00,2025-01-28T11:15:00-03:00,1,1,0,false,false,false,0,,true
PED000154,2025-01-22,MANHÃ,EQUIPE A,2025-01-22T08:21:00-03:00,2025-01-22T08:35:00-03:00,1,1,0,false,false,false,0,,false
PED000155,2025-01-23,MANHÃ,EQUIPE A,2025-01-23T07:46:00-03:00,2025-01-23T08:04:00-03:00,4,7,0,false,false,false,0,,true
PED000156,2025-01-17,MANHÃ,EQUIPE A,2025-01-17T11:29:00-03:00,2025-01-17T11:43:00-03:00,2,3,0,false,false,false,0,,true
PED000157,2025-01-07,TARDE,EQUIPE B,2025-01-07T13:35:00-03:00,2025-01-07T13:47:00-03:00,2,2,0,false,false,false,0,,true
PED000158,2025-01-14,MANHÃ,EQUIPE A,2025-01-14T10:23:00-03:00,2025-01-14T10:41:00-03:00,3,5,0,false,false,false,0,,true
PED000159,2025-01-10,MANHÃ,EQUIPE A,2025-01-10T09:00:00-03:00,2025-01-10T09:12:00-03:00,2,2,0,false,false,false,0,,true
PED000160,2025-01-27,MANHÃ,EQUIPE A,2025-01-27T09:23:00-03:00,2025-01-27T09:33:00-03:00,1,2,0,false,false,false,0,,true
PED000161,2025-01-10,MANHÃ,EQUIPE A,2025-01-10T11:56:00-03:00,2025-01-10T12:12:00-03:00,3,4,0,false,false,false,0,,true
PED000162,2025-02-03,MANHÃ,EQUIPE A,2025-02-03T07:27:00-03:00,2025-02-03T07:54:00-03:00,3,6,0,false,false,false,0,,false
PED000163,2025-01-29,MANHÃ,EQUIPE A,2025-01-29T07:10:00-03:00,2025-01-29T07:44:00-03:00,2,2,0,false,false,true,6,Retrabalho de conferência,true
PED000164,2025-01-27,MANHÃ,EQUIPE A,2025-01-27T09:38:00-03:00,2025-01-27T09:52:00-03:00,2,2,0,false,false,false,0,,true
PED000165,2025-01-31,TARDE,EQUIPE B,2025-01-31T15:47:00-03:00,2025-01-31T16:11:00-03:00,3,4,0,false,false,false,0,,false
PED000166,2025-01-21,TARDE,EQUIPE B,2025-01-21T16:29:00-03:00,2025-01-21T16:54:00-03:00,3,4,0,false,false,false,0,,true
PED000167,2025-01-17,MANHÃ,EQUIPE A,2025-01-17T09:43:00-03:00,2025-01-17T09:58:00-03:00,2,4,0,false,false,false,0,,true
PED000168,2025-01-14,MANHÃ,EQUIPE A,2025-01-14T09:31:00-03:00,2025-01-14T09:50:00-03:00,4,4,0,false,false,false,0,,true
PED000169,2025-01-28,MANHÃ,EQUIPE A,2025-01-28T09:47:00-03:00,2025-01-28T09:58:00-03:00,1,3,0,false,false,false,0,,true
PED000170,2025-01-17,MANHÃ,EQUIPE A,2025-01-17T11:25:00-03:00,2025-01-17T11:43:00-03:00,3,7,0,false,false,false,0,,true
PED000171,2025-01-30,TARDE,EQUIPE B,2025-01-30T13:33:00-03:00,2025-01-30T13:49:00-03:00,1,1,0,false,false,false,0,,true
PED000172,2025-01-15,MANHÃ,EQUIPE A,2025-01-15T09:39:00-03:00,2025-01-15T10:01:00-03:00,3,4,0,true,false,false,0,,true
PED000173,2025-01-14,MANHÃ,EQUIPE A,2025-01-14T07:50:00-03:00,2025-01-14T08:01:00-03:00,1,1,0,false,false,false,0,,true
PED000174,2025-01-14,MANHÃ,EQUIPE A,2025-01-14T11:54:00-03:00,2025-01-14T12:16:00-03:00,3,7,0,true,false,false,0,,true
PED000175,2025-02-03,MANHÃ,EQUIPE A,2025-02-03T10:14:00-03:00,2025-02-03T10:23:00-03:00,1,1,0,false,false,false,0,,true
PED000176,2025-01-22,MANHÃ,EQUIPE A,2025-01-22T11:47:00-03:00,2025-01-22T11:57:00-03:00,1,1,0,false,false,false,0,,true
PED000177,2025-01-10,MANHÃ,EQUIPE A,2025-01-10T07:32:00-03:00,2025-01-10T07:43:00-03:00,1,1,0,false,false,false,0,,true
PED000178,2025-01-20,MANHÃ,EQUIPE A,2025-01-20T10:35:00-03:00,2025-01-20T10:49:00-03:00,1,1,0,true,false,false,0,,true
PED000179,2025-01-24,MANHÃ,EQUIPE A,2025-01-24T10:37:00-03:00,2025-01-24T10:50:00-03:00,2,3,0,false,false,false,0,,true
PED000180,2025-01-17,TARDE,EQUIPE B,2025-01-17T15:34:00-03:00,2025-01-17T15:56:00-03:00,3,4,0,true,false,false,0,,true
