data,campanha_id,campanha,plataforma,tipo_campanha,investimento,impressoes,cliques,sessoes,pedidos_atribuidos,novos_clientes_atribuidos,receita_atribuida
2025-01-16,SOC-202501,Social 01/2025,Meta Ads,SOCIAL,148.0,1722,42,35,4,2,1938.07
2025-01-21,SOC-202501,Social 01/2025,Meta Ads,SOCIAL,148.0,1995,57,53,4,2,1938.07
2025-01-22,SOC-202501,Social 01/2025,Meta Ads,SOCIAL,148.0,2184,52,44,4,2,1938.07
2025-01-23,SOC-202501,Social 01/2025,Meta Ads,SOCIAL,148.0,896,56,51,4,2,1938.07
2025-01-24,SOC-202501,Social 01/2025,Meta Ads,SOCIAL,148.0,833,49,39,4,2,1938.07
2025-01-29,SOC-202501,Social 01/2025,Meta Ads,SOCIAL,148.0,1340,67,57,4,2,1938.07
2025-01-31,SOC-202501,Social 01/2025,Meta Ads,SOCIAL,148.0,1961,53,43,18,2,1938.02
2025-01-01,INF-202501,Influencer 01/2025,Creators,INFLUENCER,162.67,2016,48,38,3,1,1386.71
2025-01-02,INF-202501,Influencer 01/2025,Creators,INFLUENCER,162.67,2331,111,92,3,1,1386.71
2025-01-07,INF-202501,Influencer 01/2025,Creators,INFLUENCER,162.67,1122,51,46,3,1,1386.71
2025-01-08,INF-202501,Influencer 01/2025,Creators,INFLUENCER,162.67,2730,78,65,3,1,1386.71
2025-01-10,INF-202501,Influencer 01/2025,Creators,INFLUENCER,162.67,1980,44,38,3,1,1386.71
2025-01-13,INF-202501,Influencer 01/2025,Creators,INFLUENCER,162.67,1472,46,36,3,1,1386.71
2025-01-14,INF-202501,Influencer 01/2025,Creators,INFLUENCER,162.67,1455,97,89,3,1,1386.71
2025-01-15,INF-202501,Influencer 01/2025,Creators,INFLUENCER,162.67,1428,68,57,3,1,1386.71
2025-01-16,INF-202501,Influencer 01/2025,Creators,INFLUENCER,162.67,1872,117,94,3,1,1386.71
2025-01-17,INF-202501,Influencer 01/2025,Creators,INFLUENCER,162.67,1881,99,79,3,1,1386.71
2025-01-22,INF-202501,Influencer 01/2025,Creators,INFLUENCER,162.67,1071,51,41,3,1,1386.71
2025-01-23,INF-202501,Influencer 01/2025,Creators,INFLUENCER,162.67,989,43,39,3,1,1386.71
2025-01-27,INF-202501,Influencer 01/2025,Creators,INFLUENCER,162.67,816,48,42,3,1,1386.71
2025-01-29,INF-202501,Influencer 01/2025,Creators,INFLUENCER,162.67,2465,85,77,3,1,1386.71
2025-01-30,INF-202501,Influencer 01/2025,Creators,INFLUENCER,162.62,2871,87,69,10,6,1386.75
2025-02-03,SEA-202502,Search 02/2025,Google Ads,SEARCH,150.0,1740,58,46,6,1,2275.3
2025-02-04,SEA-202502,Search 02/2025,Google Ads,SEARCH,150.0,1225,49,42,6,1,2275.3
2025-02-06,SEA-202502,Search 02/2025,Google Ads,SEARCH,150.0,1380,92,82,6,1,2275.3
2025-02-10,SEA-202502,Search 02/2025,Google Ads,SEARCH,150.0,1452,44,39,6,1,2275.3
2025-02-11,SEA-202502,Search 02/2025,Google Ads,SEARCH,150.0,2067,53,41,6,1,2275.3
2025-02-12,SEA-202502,Search 02/2025,Google Ads,SEARCH,150.0,720,40,32,6,1,2275.3
2025-02-13,SEA-202502,Search 02/2025,Google Ads,SEARCH,150.0,1222,47,40,6,1,2275.3
2025-02-14,SEA-202502,Search 02/2025,Google Ads,SEARCH,150.0,2478,59,50,6,1,2275.3
2025-02-17,SEA-202502,Search 02/2025,Google Ads,SEARCH,150.0,1326,51,43,6,1,2275.3
2025-02-18,SEA-202502,Search 02/2025,Google Ads,SEARCH,150.0,2160,90,79,6,1,2275.3
2025-02-20,SEA-202502,Search 02/2025,Google Ads,SEARCH,150.0,3534,93,84,6,1,2275.3
2025-02-21,SEA-202502,Search 02/2025,Google Ads,SEARCH,150.0,2242,59,54,6,1,2275.3
2025-02-24,SEA-202502,Search 02/2025,Google Ads,SEARCH,150.0,3201,97,78,6,1,2275.3
2025-02-25,SEA-202502,Search 02/2025,Google Ads,SEARCH,150.0,1862,49,43,6,1,2275.3
2025-02-27,SEA-202502,Search 02/2025,Google Ads,SEARCH,150.0,880,55,48,15,11,2275.34
2025-02-04,SOC-202502,Social 02/2025,Meta Ads,SOCIAL,202.27,1855,53,48,5,2,1865.6
2025-02-05,SOC-202502,Social 02/2025,Meta Ads,SOCIAL,202.27,2610,58,53,5,2,1865.6
2025-02-06,SOC-202502,Social 02/2025,Meta Ads,SOCIAL,202.27,2442,66,56,5,2,1865.6
2025-02-07,SOC-202502,Social 02/2025,Meta Ads,SOCIAL,202.27,3731,91,75,5,2,1865.6
2025-02-12,SOC-202502,Social 02/2025,Meta Ads,SOCIAL,202.27,1768,68,54,5,2,1865.6
2025-02-14,SOC-202502,Social 02/2025,Meta Ads,SOCIAL,202.27,1475,59,49,5,2,1865.6
2025-02-17,SOC-202502,Social 02/2025,Meta Ads,SOCIAL,202.27,2788,82,71,5,2,1865.6
2025-02-18,SOC-202502,Social 02/2025,Meta Ads,SOCIAL,202.27,1804,82,70,5,2,1865.6
2025-02-19,SOC-202502,Social 02/2025,Meta Ads,SOCIAL,202.27,3456,128,114,5,2,1865.6
2025-02-20,SOC-202502,Social 02/2025,Meta Ads,SOCIAL,202.27,2825,113,90,5,2,1865.6
2025-02-21,SOC-202502,Social 02/2025,Meta Ads,SOCIAL,202.27,1944,108,99,5,2,1865.6
2025-02-25,SOC-202502,Social 02/2025,Meta Ads,SOCIAL,202.27,2666,62,49,5,2,1865.6
2025-02-26,SOC-202502,Social 02/2025,Meta Ads,SOCIAL,202.27,3410,155,128,5,2,1865.6
2025-02-27,SOC-202502,Social 02/2025,Meta Ads,SOCIAL,202.27,5208,124,103,5,2,1865.6
2025-02-28,SOC-202502,Social 02/2025,Meta Ads,SOCIAL,202.22,1920,60,54,14,13,1865.63
2025-02-03,INF-202502,Influencer 02/2025,Creators,INFLUENCER,130.13,851,37,32,1,1,635.69
2025-02-04,INF-202502,Influencer 02/2025,Creators,INFLUENCER,130.13,2680,67,54,1,1,635.69
2025-02-05,INF-202502,Influencer 02/2025,Creators,INFLUENCER,130.13,774,43,35,1,1,635.69
2025-02-06,INF-202502,Influencer 02/2025,Creators,INFLUENCER,130.13,1342,61,51,1,1,635.69
2025-02-07,INF-202502,Influencer 02/2025,Creators,INFLUENCER,130.13,544,34,27,1,1,635.69
2025-02-10,INF-202502,Influencer 02/2025,Creators,INFLUENCER,130.13,2376,66,52,1,1,635.69
2025-02-11,INF-202502,Influencer 02/2025,Creators,INFLUENCER,130.13,1295,35,29,1,1,635.69
2025-02-12,INF-202502,Influencer 02/2025,Creators,INFLUENCER,130.13,1189,41,32,1,1,635.69
2025-02-14,INF-202502,Influencer 02/2025,Creators,INFLUENCER,130.13,2210,85,74,1,1,635.69
2025-02-17,INF-202502,Influencer 02/2025,Creators,INFLUENCER,130.13,765,51,47,1,1,635.69
2025-02-19,INF-202502,Influencer 02/2025,Creators,INFLUENCER,130.13,980,49,38,1,1,635.69
2025-02-25,INF-202502,Influencer 02/2025,Creators,INFLUENCER,130.13,760,40,35,1,1,635.69
2025-02-26,INF-202502,Influencer 02/2025,Creators,INFLUENCER,130.13,1900,95,74,1,1,635.69
2025-02-27,INF-202502,Influencer 02/2025,Creators,INFLUENCER,130.13,2178,99,86,1,1,635.69
2025-02-28,INF-202502,Influencer 02/2025,Creators,INFLUENCER,130.18,2754,81,64,15,2,635.69
2025-03-03,SEA-202503,Search 03/2025,Google Ads,SEARCH,156.0,902,41,34,5,1,1879.53
2025-03-04,SEA-202503,Search 03/2025,Google Ads,SEARCH,156.0,2573,83,70,5,1,1879.53
2025-03-05,SEA-202503,Search 03/2025,Google Ads,SEARCH,156.0,1600,50,41,5,1,1879.53
2025-03-06,SEA-202503,Search 03/2025,Google Ads,SEARCH,156.0,2664,72,59,5,1,1879.53
2025-03-10,SEA-202503,Search 03/2025,Google Ads,SEARCH,156.0,2592,72,56,5,1,1879.53
2025-03-11,SEA-202503,Search 03/2025,Google Ads,SEARCH,156.0,1462,43,40,5,1,1879.53
2025-03-12,SEA-202503,Search 03/2025,Google Ads,SEARCH,156.0,2352,56,48,5,1,1879.53
2025-03-14,SEA-202503,Search 03/2025,Google Ads,SEARCH,156.0,1440,48,43,5,1,1879.53
2025-03-18,SEA-202503,Search 03/2025,Google Ads,SEARCH,156.0,2072,74,62,5,1,1879.53
2025-03-20,SEA-202503,Search 03/2025,Google Ads,SEARCH,156.0,1058,46,40,5,1,1879.53
2025-03-21,SEA-202503,Search 03/2025,Google Ads,SEARCH,156.0,2850,75,65,5,1,1879.53
2025-03-24,SEA-202503,Search 03/2025,Google Ads,SEARCH,156.0,731,43,39,5,1,1879.53
2025-03-27,SEA-202503,Search 03/2025,Google Ads,SEARCH,156.0,1827,63,50,5,1,1879.53
2025-03-28,SEA-202503,Search 03/2025,Google Ads,SEARCH,156.0,3675,105,84,5,1,1879.53
2025-03-31,SEA-202503,Search 03/2025,Google Ads,SEARCH,156.0,2200,55,49,8,12,1879.56
2025-03-03,SOC-202503,Social 03/2025,Meta Ads,SOCIAL,172.67,1836,51,41,6,2,2084.92
2025-03-04,SOC-202503,Social 03/2025,Meta Ads,SOCIAL,172.67,2788,68,59,6,2,2084.92
2025-03-06,SOC-202503,Social 03/2025,Meta Ads,SOCIAL,172.67,4142,109,85,6,2,2084.92
2025-03-07,SOC-202503,Social 03/2025,Meta Ads,SOCIAL,172.67,800,50,44,6,2,2084.92
2025-03-10,SOC-202503,Social 03/2025,Meta Ads,SOCIAL,172.67,4884,111,94,6,2,2084.92
2025-03-11,SOC-202503,Social 03/2025,Meta Ads,SOCIAL,172.67,2904,88,73,6,2,2084.92
2025-03-12,SOC-202503,Social 03/2025,Meta Ads,SOCIAL,172.67,752,47,44,6,2,2084.92
2025-03-13,SOC-202503,Social 03/2025,Meta Ads,SOCIAL,172.67,4815,107,91,6,2,2084.92
2025-03-17,SOC-202503,Social 03/2025,Meta Ads,SOCIAL,172.67,2701,73,67,6,2,2084.92
2025-03-18,SOC-202503,Social 03/2025,Meta Ads,SOCIAL,172.67,5070,130,111,6,2,2084.92
2025-03-21,SOC-202503,Social 03/2025,Meta Ads,SOCIAL,172.67,1332,74,63,6,2,2084.92
2025-03-25,SOC-202503,Social 03/2025,Meta Ads,SOCIAL,172.67,1856,64,58,6,2,2084.92
2025-03-26,SOC-202503,Social 03/2025,Meta Ads,SOCIAL,172.67,2808,72,58,6,2,2084.92
2025-03-27,SOC-202503,Social 03/2025,Meta Ads,SOCIAL,172.67,3160,79,66,6,2,2084.92
2025-03-31,SOC-202503,Social 03/2025,Meta Ads,SOCIAL,172.62,2324,83,71,13,7,2084.93
2025-03-03,INF-202503,Influencer 03/2025,Creators,INFLUENCER,146.4,2482,73,59,1,1,650.11
2025-03-04,INF-202503,Influencer 03/2025,Creators,INFLUENCER,146.4,1200,40,33,1,1,650.11
2025-03-05,INF-202503,Influencer 03/2025,Creators,INFLUENCER,146.4,1040,40,35,1,1,650.11
2025-03-06,INF-202503,Influencer 03/2025,Creators,INFLUENCER,146.4,1786,47,36,1,1,650.11
2025-03-11,INF-202503,Influencer 03/2025,Creators,INFLUENCER,146.4,1372,49,43,1,1,650.11
2025-03-12,INF-202503,Influencer 03/2025,Creators,INFLUENCER,146.4,2006,59,53,1,1,650.11
2025-03-14,INF-202503,Influencer 03/2025,Creators,INFLUENCER,146.4,3230,95,78,1,1,650.11
2025-03-18,INF-202503,Influencer 03/2025,Creators,INFLUENCER,146.4,1173,51,39,1,1,650.11
2025-03-20,INF-202503,Influencer 03/2025,Creators,INFLUENCER,146.4,1599,41,36,1,1,650.11
2025-03-21,INF-202503,Influencer 03/2025,Creators,INFLUENCER,146.4,1452,44,39,1,1,650.11
2025-03-24,INF-202503,Influencer 03/2025,Creators,INFLUENCER,146.4,1305,45,35,1,1,650.11
2025-03-25,INF-202503,Influencer 03/2025,Creators,INFLUENCER,146.4,2596,59,55,1,1,650.11
2025-03-26,INF-202503,Influencer 03/2025,Creators,INFLUENCER,146.4,1584,72,65,1,1,650.11
2025-03-27,INF-202503,Influencer 03/2025,Creators,INFLUENCER,146.4,1830,61,53,1,1,650.11
2025-03-28,INF-202503,Influencer 03/2025,Creators,INFLUENCER,146.4,3286,106,98,14,4,650.08
2025-04-02,SEA-202504,Search 04/2025,Google Ads,SEARCH,204.0,4730,110,86,4,2,1814.85
2025-04-04,SEA-202504,Search 04/2025,Google Ads,SEARCH,204.0,1785,119,96,4,2,1814.85
2025-04-07,SEA-202504,Search 04/2025,Google Ads,SEARCH,204.0,3416,122,114,4,2,1814.85
2025-04-09,SEA-202504,Search 04/2025,Google Ads,SEARCH,204.0,3950,158,148,4,2,1814.85
2025-04-11,SEA-202504,Search 04/2025,Google Ads,SEARCH,204.0,2322,129,118,4,2,1814.85
2025-04-14,SEA-202504,Search 04/2025,Google Ads,SEARCH,204.0,1275,75,65,4,2,1814.85
2025-04-15,SEA-202504,Search 04/2025,Google Ads,SEARCH,204.0,1729,91,80,4,2,1814.85
2025-04-16,SEA-202504,Search 04/2025,Google Ads,SEARCH,204.0,1420,71,61,4,2,1814.85
2025-04-17,SEA-202504,Search 04/2025,Google Ads,SEARCH,204.0,4005,89,76,4,2,1814.85
2025-04-21,SEA-202504,Search 04/2025,Google Ads,SEARCH,204.0,3182,86,74,4,2,1814.85
2025-04-22,SEA-202504,Search 04/2025,Google Ads,SEARCH,204.0,2418,62,56,4,2,1814.85
2025-04-24,SEA-202504,Search 04/2025,Google Ads,SEARCH,204.0,3375,135,117,4,2,1814.85
2025-04-25,SEA-202504,Search 04/2025,Google Ads,SEARCH,204.0,4290,110,88,4,2,1814.85
2025-04-29,SEA-202504,Search 04/2025,Google Ads,SEARCH,204.0,3136,112,97,4,2,1814.85
2025-04-30,SEA-202504,Search 04/2025,Google Ads,SEARCH,204.0,1500,60,48,17,6,1814.83
2025-04-01,SOC-202504,Social 04/2025,Meta Ads,SOCIAL,152.93,1711,59,51,5,2,1837.1
2025-04-02,SOC-202504,Social 04/2025,Meta Ads,SOCIAL,152.93,3392,106,83,5,2,1837.1
2025-04-03,SOC-202504,Social 04/2025,Meta Ads,SOCIAL,152.93,2250,50,40,5,2,1837.1
2025-04-04,SOC-202504,Social 04/2025,Meta Ads,SOCIAL,152.93,1450,50,39,5,2,1837.1
2025-04-07,SOC-202504,Social 04/2025,Meta Ads,SOCIAL,152.93,1350,90,71,5,2,1837.1
2025-04-09,SOC-202504,Social 04/2025,Meta Ads,SOCIAL,152.93,1554,42,35,5,2,1837.1
2025-04-10,SOC-202504,Social 04/2025,Meta Ads,SOCIAL,152.93,1936,88,80,5,2,1837.1
2025-04-11,SOC-202504,Social 04/2025,Meta Ads,SOCIAL,152.93,1892,43,38,5,2,1837.1
2025-04-14,SOC-202504,Social 04/2025,Meta Ads,SOCIAL,152.93,3397,79,65,5,2,1837.1
2025-04-15,SOC-202504,Social 04/2025,Meta Ads,SOCIAL,152.93,966,42,37,5,2,1837.1
2025-04-17,SOC-202504,Social 04/2025,Meta Ads,SOCIAL,152.93,2125,125,112,5,2,1837.1
2025-04-21,SOC-202504,Social 04/2025,Meta Ads,SOCIAL,152.93,3800,95,89,5,2,1837.1
2025-04-22,SOC-202504,Social 04/2025,Meta Ads,SOCIAL,152.93,1827,63,56,5,2,1837.1
2025-04-25,SOC-202504,Social 04/2025,Meta Ads,SOCIAL,152.93,1736,62,56,5,2,1837.1
2025-04-30,SOC-202504,Social 04/2025,Meta Ads,SOCIAL,152.98,1517,41,33,9,3,1837.17
2025-04-01,INF-202504,Influencer 04/2025,Creators,INFLUENCER,122.0,816,48,41,1,1,469.66
2025-04-02,INF-202504,Influencer 04/2025,Creators,INFLUENCER,122.0,1849,43,33,1,1,469.66
2025-04-04,INF-202504,Influencer 04/2025,Creators,INFLUENCER,122.0,931,49,41,1,1,469.66
2025-04-07,INF-202504,Influencer 04/2025,Creators,INFLUENCER,122.0,1548,43,35,1,1,469.66
2025-04-08,INF-202504,Influencer 04/2025,Creators,INFLUENCER,122.0,2500,100,93,1,1,469.66
2025-04-10,INF-202504,Influencer 04/2025,Creators,INFLUENCER,122.0,3500,100,89,1,1,469.66
2025-04-11,INF-202504,Influencer 04/2025,Creators,INFLUENCER,122.0,3045,87,71,1,1,469.66
2025-04-18,INF-202504,Influencer 04/2025,Creators,INFLUENCER,122.0,1677,39,36,1,1,469.66
2025-04-21,INF-202504,Influencer 04/2025,Creators,INFLUENCER,122.0,814,37,34,1,1,469.66
2025-04-22,INF-202504,Influencer 04/2025,Creators,INFLUENCER,122.0,648,36,28,1,1,469.66
2025-04-23,INF-202504,Influencer 04/2025,Creators,INFLUENCER,122.0,1296,54,43,1,1,469.66
2025-04-24,INF-202504,Influencer 04/2025,Creators,INFLUENCER,122.0,1122,34,31,1,1,469.66
2025-04-25,INF-202504,Influencer 04/2025,Creators,INFLUENCER,122.0,880,44,39,1,1,469.66
2025-04-29,INF-202504,Influencer 04/2025,Creators,INFLUENCER,122.0,2430,54,48,1,1,469.66
2025-04-30,INF-202504,Influencer 04/2025,Creators,INFLUENCER,122.0,1938,51,47,10,1,469.69
2025-05-01,SEA-202505,Search 05/2025,Google Ads,SEARCH,180.0,2304,64,53,5,2,2101.7
2025-05-02,SEA-202505,Search 05/2025,Google Ads,SEARCH,180.0,3420,114,105,5,2,2101.7
2025-05-06,SEA-202505,Search 05/2025,Google Ads,SEARCH,180.0,1617,49,40,5,2,2101.7
2025-05-07,SEA-202505,Search 05/2025,Google Ads,SEARCH,180.0,2592,81,66,5,2,2101.7
2025-05-09,SEA-202505,Search 05/2025,Google Ads,SEARCH,180.0,2196,61,53,5,2,2101.7
2025-05-13,SEA-202505,Search 05/2025,Google Ads,SEARCH,180.0,1696,53,49,5,2,2101.7
2025-05-14,SEA-202505,Search 05/2025,Google Ads,SEARCH,180.0,1425,95,82,5,2,2101.7
2025-05-15,SEA-202505,Search 05/2025,Google Ads,SEARCH,180.0,3526,86,79,5,2,2101.7
2025-05-16,SEA-202505,Search 05/2025,Google Ads,SEARCH,180.0,1512,72,63,5,2,2101.7
2025-05-22,SEA-202505,Search 05/2025,Google Ads,SEARCH,180.0,3885,105,90,5,2,2101.7
2025-05-23,SEA-202505,Search 05/2025,Google Ads,SEARCH,180.0,3069,93,77,5,2,2101.7
2025-05-26,SEA-202505,Search 05/2025,Google Ads,SEARCH,180.0,2059,71,64,5,2,2101.7
2025-05-27,SEA-202505,Search 05/2025,Google Ads,SEARCH,180.0,3240,135,112,5,2,2101.7
2025-05-29,SEA-202505,Search 05/2025,Google Ads,SEARCH,180.0,1620,54,42,5,2,2101.7
2025-05-30,SEA-202505,Search 05/2025,Google Ads,SEARCH,180.0,2596,59,51,19,2,2101.67
2025-05-02,SOC-202505,Social 05/2025,Meta Ads,SOCIAL,162.8,2808,117,100,5,2,1920.61
2025-05-05,SOC-202505,Social 05/2025,Meta Ads,SOCIAL,162.8,2709,129,116,5,2,1920.61
2025-05-06,SOC-202505,Social 05/2025,Meta Ads,SOCIAL,162.8,1824,48,40,5,2,1920.61
2025-05-09,SOC-202505,Social 05/2025,Meta Ads,SOCIAL,162.8,1512,72,58,5,2,1920.61
2025-05-12,SOC-202505,Social 05/2025,Meta Ads,SOCIAL,162.8,2280,60,46,5,2,1920.61
2025-05-13,SOC-202505,Social 05/2025,Meta Ads,SOCIAL,162.8,1711,59,53,5,2,1920.61
2025-05-15,SOC-202505,Social 05/2025,Meta Ads,SOCIAL,162.8,1664,64,56,5,2,1920.61
2025-05-16,SOC-202505,Social 05/2025,Meta Ads,SOCIAL,162.8,992,62,57,5,2,1920.61
2025-05-19,SOC-202505,Social 05/2025,Meta Ads,SOCIAL,162.8,2646,63,55,5,2,1920.61
2025-05-20,SOC-202505,Social 05/2025,Meta Ads,SOCIAL,162.8,1104,46,42,5,2,1920.61
2025-05-22,SOC-202505,Social 05/2025,Meta Ads,SOCIAL,162.8,1150,50,39,5,2,1920.61
2025-05-23,SOC-202505,Social 05/2025,Meta Ads,SOCIAL,162.8,1845,45,37,5,2,1920.61
2025-05-27,SOC-202505,Social 05/2025,Meta Ads,SOCIAL,162.8,1932,46,42,5,2,1920.61
2025-05-29,SOC-202505,Social 05/2025,Meta Ads,SOCIAL,162.8,3528,98,78,5,2,1920.61
2025-05-30,SOC-202505,Social 05/2025,Meta Ads,SOCIAL,162.8,1350,45,36,12,5,1920.62
2025-05-01,INF-202505,Influencer 05/2025,Creators,INFLUENCER,195.2,2623,61,53,2,1,746.92
2025-05-06,INF-202505,Influencer 05/2025,Creators,INFLUENCER,195.2,3465,99,81,2,1,746.92
2025-05-07,INF-202505,Influencer 05/2025,Creators,INFLUENCER,195.2,3364,116,91,2,1,746.92
2025-05-08,INF-202505,Influencer 05/2025,Creators,INFLUENCER,195.2,3999,129,111,2,1,746.92
2025-05-09,INF-202505,Influencer 05/2025,Creators,INFLUENCER,195.2,1648,103,89,2,1,746.92
2025-05-12,INF-202505,Influencer 05/2025,Creators,INFLUENCER,195.2,2280,76,61,2,1,746.92
2025-05-13,INF-202505,Influencer 05/2025,Creators,INFLUENCER,195.2,3016,104,83,2,1,746.92
2025-05-14,INF-202505,Influencer 05/2025,Creators,INFLUENCER,195.2,1827,87,79,2,1,746.92
2025-05-15,INF-202505,Influencer 05/2025,Creators,INFLUENCER,195.2,2967,129,115,2,1,746.92
2025-05-16,INF-202505,Influencer 05/2025,Creators,INFLUENCER,195.2,3224,104,91,2,1,746.92
2025-05-23,INF-202505,Influencer 05/2025,Creators,INFLUENCER,195.2,5632,128,105,2,1,746.92
2025-05-26,INF-202505,Influencer 05/2025,Creators,INFLUENCER,195.2,2886,111,88,2,1,746.92
2025-05-27,INF-202505,Influencer 05/2025,Creators,INFLUENCER,195.2,5040,140,122,2,1,746.92
2025-05-29,INF-202505,Influencer 05/2025,Creators,INFLUENCER,195.2,1512,54,49,2,1,746.92
2025-05-30,INF-202505,Influencer 05/2025,Creators,INFLUENCER,195.2,1782,54,42,7,10,746.9
2025-06-02,SEA-202506,Search 06/2025,Google Ads,SEARCH,204.0,6045,155,132,6,2,2335.33
2025-06-03,SEA-202506,Search 06/2025,Google Ads,SEARCH,204.0,2679,141,120,6,2,2335.33
2025-06-04,SEA-202506,Search 06/2025,Google Ads,SEARCH,204.0,4410,105,81,6,2,2335.33
2025-06-05,SEA-202506,Search 06/2025,Google Ads,SEARCH,204.0,1800,72,56,6,2,2335.33
2025-06-06,SEA-202506,Search 06/2025,Google Ads,SEARCH,204.0,3139,73,61,6,2,2335.33
2025-06-09,SEA-202506,Search 06/2025,Google Ads,SEARCH,204.0,3080,77,63,6,2,2335.33
2025-06-10,SEA-202506,Search 06/2025,Google Ads,SEARCH,204.0,2260,113,102,6,2,2335.33
2025-06-16,SEA-202506,Search 06/2025,Google Ads,SEARCH,204.0,6232,164,134,6,2,2335.33
2025-06-17,SEA-202506,Search 06/2025,Google Ads,SEARCH,204.0,1824,57,45,6,2,2335.33
2025-06-18,SEA-202506,Search 06/2025,Google Ads,SEARCH,204.0,3264,96,87,6,2,2335.33
2025-06-19,SEA-202506,Search 06/2025,Google Ads,SEARCH,204.0,3510,78,64,6,2,2335.33
2025-06-23,SEA-202506,Search 06/2025,Google Ads,SEARCH,204.0,2040,136,114,6,2,2335.33
2025-06-24,SEA-202506,Search 06/2025,Google Ads,SEARCH,204.0,976,61,54,6,2,2335.33
2025-06-26,SEA-202506,Search 06/2025,Google Ads,SEARCH,204.0,2494,58,54,6,2,2335.33
2025-06-30,SEA-202506,Search 06/2025,Google Ads,SEARCH,204.0,1610,70,56,9,6,2335.33
2025-06-02,SOC-202506,Social 06/2025,Meta Ads,SOCIAL,93.73,1008,28,26,4,1,1384.83
2025-06-04,SOC-202506,Social 06/2025,Meta Ads,SOCIAL,93.73,1533,73,68,4,1,1384.83
2025-06-05,SOC-202506,Social 06/2025,Meta Ads,SOCIAL,93.73,375,25,20,4,1,1384.83
2025-06-09,SOC-202506,Social 06/2025,Meta Ads,SOCIAL,93.73,1189,29,23,4,1,1384.83
2025-06-10,SOC-202506,Social 06/2025,Meta Ads,SOCIAL,93.73,728,28,26,4,1,1384.83
2025-06-11,SOC-202506,Social 06/2025,Meta Ads,SOCIAL,93.73,1120,56,51,4,1,1384.83
2025-06-12,SOC-202506,Social 06/2025,Meta Ads,SOCIAL,93.73,1365,39,32,4,1,1384.83
2025-06-16,SOC-202506,Social 06/2025,Meta Ads,SOCIAL,93.73,1008,24,20,4,1,1384.83
2025-06-17,SOC-202506,Social 06/2025,Meta Ads,SOCIAL,93.73,1073,29,25,4,1,1384.83
2025-06-18,SOC-202506,Social 06/2025,Meta Ads,SOCIAL,93.73,820,41,35,4,1,1384.83
2025-06-19,SOC-202506,Social 06/2025,Meta Ads,SOCIAL,93.73,1496,44,35,4,1,1384.83
2025-06-20,SOC-202506,Social 06/2025,Meta Ads,SOCIAL,93.73,1517,41,37,4,1,1384.83
2025-06-26,SOC-202506,Social 06/2025,Meta Ads,SOCIAL,93.73,2394,63,51,4,1,1384.83
