pedido_id,cliente_id,data_pedido,canal_venda,campanha_id,vendedor_id,status,valor_bruto_produtos,desconto_itens,desconto_pedido,frete_cobrado,frete_pago,taxa_pagamento,comissao,impostos_venda,data_prometida,data_expedicao,transportadora,urgente
PED000029,CLI003034,2025-01-03T11:46:00-03:00,ECOMMERCE,INF-202501,,CONCLUÍDO,925.43,111.41,10.14,1.69,26.34,26.79,0.0,60.29,2025-01-06T18:00:00-03:00,2025-01-06T16:22:00-03:00,Expresso Interior,false
PED000030,CLI001292,2025-01-20T19:38:00-03:00,ECOMMERCE,SEA-202501,,CANCELADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-01-21T18:00:00-03:00,,Expresso Interior,false
PED000031,CLI001371,2025-01-23T08:02:00-03:00,ECOMMERCE,,,CONCLUÍDO,101.35,6.89,0.86,6.24,14.58,2.6,0.0,7.02,2025-01-24T18:00:00-03:00,2025-01-24T15:59:00-03:00,Eixo Cargo,false
PED000032,CLI003096,2025-01-28T12:13:00-03:00,ECOMMERCE,SOC-202501,,CONCLUÍDO,480.55,25.15,2.36,1.73,23.61,17.95,0.0,33.98,2025-01-29T18:00:00-03:00,2025-01-29T10:55:00-03:00,Rota Nacional,false
PED000033,CLI003010,2025-01-21T09:38:00-03:00,ECOMMERCE,,,CONCLUÍDO,435.35,24.85,0.34,1.77,18.01,13.09,0.0,30.76,2025-01-22T18:00:00-03:00,2025-01-22T15:36:00-03:00,Expresso Interior,false
PED000034,CLI001743,2025-01-08T18:09:00-03:00,ECOMMERCE,,,CONCLUÍDO,827.45,57.84,10.71,2.06,23.0,28.58,0.0,56.92,2025-01-09T18:00:00-03:00,2025-01-09T12:03:00-03:00,Rápido Sul,false
PED000035,CLI000912,2025-01-16T18:27:00-03:00,ECOMMERCE,INF-202501,,CONCLUÍDO,211.95,20.59,3.69,10.19,32.5,6.26,0.0,14.08,2025-01-17T18:00:00-03:00,2025-01-17T07:57:00-03:00,Expresso Interior,false
PED000036,CLI001297,2025-01-24T17:06:00-03:00,ECOMMERCE,SEA-202501,,CONCLUÍDO,282.64,26.28,3.38,10.33,21.2,9.62,0.0,18.97,2025-01-27T18:00:00-03:00,2025-01-27T11:19:00-03:00,Rota Nacional,false
PED000037,CLI001292,2025-01-20T17:45:00-03:00,ECOMMERCE,SEA-202501,,CONCLUÍDO,16.79,1.62,0.35,12.23,28.19,0.62,0.0,1.11,2025-01-21T18:00:00-03:00,2025-01-21T14:37:00-03:00,Rápido Sul,false
PED000038,CLI001419,2025-01-20T09:51:00-03:00,ECOMMERCE,INF-202501,,CONCLUÍDO,126.21,6.91,0.01,7.23,13.94,3.53,0.0,8.95,2025-01-21T18:00:00-03:00,2025-01-21T13:20:00-03:00,Expresso Interior,false
PED000039,CLI001419,2025-01-07T16:55:00-03:00,ECOMMERCE,,,CONCLUÍDO,165.21,14.75,0.11,5.45,14.63,6.22,0.0,11.28,2025-01-08T18:00:00-03:00,2025-01-08T15:45:00-03:00,Rápido Sul,false
PED000040,CLI003010,2025-01-20T17:05:00-03:00,ECOMMERCE,,,CONCLUÍDO,407.11,24.07,2.05,0.9,16.2,14.08,0.0,28.57,2025-01-21T18:00:00-03:00,2025-01-21T09:13:00-03:00,Expresso Interior,false
PED000041,CLI003096,2025-01-07T10:10:00-03:00,ECOMMERCE,SOC-202501,,CONCLUÍDO,195.13,18.15,3.26,8.74,20.6,6.1,0.0,13.03,2025-01-08T18:00:00-03:00,2025-01-08T10:40:00-03:00,Eixo Cargo,false
PED000042,CLI001371,2025-01-16T13:58:00-03:00,ECOMMERCE,,,CONCLUÍDO,105.91,8.98,0.23,6.71,15.06,4.05,0.0,7.25,2025-01-17T18:00:00-03:00,2025-01-17T10:16:00-03:00,Rota Nacional,false
PED000043,CLI001297,2025-01-16T17:43:00-03:00,ECOMMERCE,SEA-202501,,DEVOLVIDO_PARCIAL,426.42,38.29,8.45,1.74,21.57,9.1,0.0,28.48,2025-01-17T18:00:00-03:00,2025-01-17T11:14:00-03:00,Expresso Interior,false
PED000044,CLI003010,2025-01-21T18:09:00-03:00,ECOMMERCE,,,CONCLUÍDO,102.88,12.61,0.72,7.22,14.58,2.95,0.0,6.72,2025-01-22T18:00:00-03:00,2025-01-22T08:50:00-03:00,Rápido Sul,false
PED000045,CLI001297,2025-01-20T13:50:00-03:00,ECOMMERCE,SEA-202501,,CONCLUÍDO,151.12,14.79,0.23,6.29,18.23,4.16,0.0,10.21,2025-01-21T18:00:00-03:00,2025-01-21T10:06:00-03:00,Rápido Sul,false
PED000046,CLI001297,2025-01-31T08:26:00-03:00,ECOMMERCE,SEA-202501,,CONCLUÍDO,509.73,43.77,10.79,1.59,21.38,16.84,0.0,34.14,2025-02-03T18:00:00-03:00,2025-02-03T11:16:00-03:00,Eixo Cargo,false
PED000047,CLI001297,2025-01-13T12:35:00-03:00,ECOMMERCE,,,CONCLUÍDO,727.71,65.83,7.29,2.23,23.3,24.33,0.0,49.09,2025-01-14T18:00:00-03:00,2025-01-14T15:25:00-03:00,Expresso Interior,false
PED000048,CLI001452,2025-01-20T08:56:00-03:00,ECOMMERCE,SEA-202501,,CONCLUÍDO,837.79,87.92,11.82,2.03,26.63,27.09,0.0,55.35,2025-01-21T18:00:00-03:00,2025-01-21T11:43:00-03:00,Rápido Sul,false
PED000049,CLI003010,2025-01-20T16:58:00-03:00,ECOMMERCE,,,CONCLUÍDO,129.41,11.17,0.27,4.63,14.29,3.82,0.0,8.85,2025-01-21T18:00:00-03:00,2025-01-21T15:13:00-03:00,Rota Nacional,false
PED000050,CLI001993,2025-01-13T15:31:00-03:00,ECOMMERCE,,,CONCLUÍDO,78.96,4.93,1.4,4.92,18.57,2.14,0.0,5.45,2025-01-14T18:00:00-03:00,2025-01-14T15:09:00-03:00,Eixo Cargo,false
PED000051,CLI001123,2025-01-02T11:44:00-03:00,ECOMMERCE,,,CONCLUÍDO,170.27,12.49,3.93,9.55,22.7,4.9,0.0,11.54,2025-01-03T18:00:00-03:00,2025-01-03T15:12:00-03:00,Expresso Interior,false
PED000052,CLI000912,2025-01-17T19:35:00-03:00,ECOMMERCE,INF-202501,,CONCLUÍDO,460.02,32.57,4.08,3.16,36.0,12.24,0.0,31.75,2025-01-20T18:00:00-03:00,2025-01-20T08:19:00-03:00,Expresso Interior,false
PED000053,CLI000560,2025-01-28T08:55:00-03:00,ECOMMERCE,,,CONCLUÍDO,895.77,73.94,9.43,2.41,24.0,23.45,0.0,60.93,2025-01-29T18:00:00-03:00,2025-01-29T08:33:00-03:00,Rota Nacional,false
PED000054,CLI001452,2025-01-10T16:05:00-03:00,ECOMMERCE,SEA-202501,,CONCLUÍDO,103.43,6.19,2.33,7.67,17.66,2.28,0.0,7.12,2025-01-13T18:00:00-03:00,2025-01-13T13:25:00-03:00,Expresso Interior,false
PED000055,CLI003034,2025-01-29T14:03:00-03:00,ECOMMERCE,INF-202501,,CONCLUÍDO,631.54,36.53,10.53,2.02,24.81,16.41,0.0,43.84,2025-01-30T18:00:00-03:00,2025-01-31T15:33:00-03:00,Expresso Interior,false
PED000056,CLI001803,2025-01-08T13:21:00-03:00,ECOMMERCE,,,CONCLUÍDO,530.13,26.78,2.75,1.3,16.49,14.53,0.0,37.55,2025-01-09T18:00:00-03:00,2025-01-09T14:45:00-03:00,Rápido Sul,false
PED000057,CLI001743,2025-01-20T08:08:00-03:00,ECOMMERCE,,,CONCLUÍDO,733.11,42.81,2.77,1.68,21.12,25.27,0.0,51.56,2025-01-21T18:00:00-03:00,2025-01-21T10:51:00-03:00,Rápido Sul,false
PED000058,CLI001419,2025-01-07T11:56:00-03:00,ECOMMERCE,,,CONCLUÍDO,646.46,84.72,9.88,1.29,18.31,22.01,0.0,41.39,2025-01-08T18:00:00-03:00,2025-01-08T09:05:00-03:00,Expresso Interior,false
PED000059,CLI000560,2025-01-08T12:35:00-03:00,ECOMMERCE,,,CONCLUÍDO,900.33,91.35,11.85,1.84,24.56,24.08,0.0,59.78,2025-01-09T18:00:00-03:00,2025-01-09T16:24:00-03:00,Rápido Sul,false
PED000060,CLI000770,2025-01-28T11:34:00-03:00,ECOMMERCE,,,CONCLUÍDO,301.65,30.96,4.74,5.71,21.2,8.05,0.0,19.95,2025-01-29T18:00:00-03:00,2025-01-29T08:33:00-03:00,Rápido Sul,false
PED000061,CLI004142,2025-01-27T13:03:00-03:00,ECOMMERCE,,,CONCLUÍDO,412.11,50.6,8.31,1.22,18.11,8.57,0.0,26.49,2025-01-28T18:00:00-03:00,2025-01-28T14:52:00-03:00,Expresso Interior,false
PED000062,CLI001993,2025-01-13T13:30:00-03:00,ECOMMERCE,,,CONCLUÍDO,308.69,41.7,6.96,5.08,19.73,6.58,0.0,19.5,2025-01-14T18:00:00-03:00,2025-01-14T12:07:00-03:00,Rápido Sul,false
PED000063,CLI004018,2025-01-09T17:37:00-03:00,ECOMMERCE,,,CONCLUÍDO,470.95,35.32,11.69,1.79,17.2,11.72,0.0,31.8,2025-01-10T18:00:00-03:00,2025-01-10T07:46:00-03:00,Rápido Sul,false
PED000064,CLI000471,2025-01-17T11:02:00-03:00,ECOMMERCE,SOC-202501,,CONCLUÍDO,773.41,82.76,17.71,1.65,20.16,20.57,0.0,50.47,2025-01-20T18:00:00-03:00,2025-01-20T13:25:00-03:00,Rápido Sul,false
PED000065,CLI001743,2025-01-08T16:14:00-03:00,ECOMMERCE,,,CONCLUÍDO,192.69,16.25,4.64,8.07,18.7,7.15,0.0,12.89,2025-01-09T18:00:00-03:00,2025-01-09T17:04:00-03:00,Rota Nacional,false
PED000066,CLI003096,2025-01-10T17:45:00-03:00,ECOMMERCE,SOC-202501,,CONCLUÍDO,366.09,38.48,0.24,2.18,23.43,9.93,0.0,24.55,2025-01-13T18:00:00-03:00,2025-01-13T11:19:00-03:00,Rota Nacional,false
PED000067,CLI000770,2025-01-29T10:42:00-03:00,ECOMMERCE,SOC-202501,,CONCLUÍDO,880.37,63.17,19.01,1.72,23.31,32.64,0.0,59.86,2025-01-30T18:00:00-03:00,2025-01-30T09:41:00-03:00,Rápido Sul,false
PED000068,CLI001993,2025-01-13T14:11:00-03:00,ECOMMERCE,,,CONCLUÍDO,154.0,13.61,3.51,10.47,19.51,5.64,0.0,10.27,2025-01-14T18:00:00-03:00,2025-01-16T10:06:00-03:00,Eixo Cargo,false
PED000069,CLI001268,2025-01-24T17:19:00-03:00,ECOMMERCE,INF-202501,,CONCLUÍDO,103.82,9.24,2.13,4.85,18.47,3.48,0.0,6.93,2025-01-27T18:00:00-03:00,2025-01-27T07:57:00-03:00,Rota Nacional,false
PED000070,CLI001743,2025-01-08T13:11:00-03:00,ECOMMERCE,,,CONCLUÍDO,507.28,44.74,1.13,1.98,21.05,16.9,0.0,34.61,2025-01-09T18:00:00-03:00,2025-01-09T08:14:00-03:00,Eixo Cargo,false
PED000071,CLI001452,2025-01-31T19:24:00-03:00,ECOMMERCE,SEA-202501,,DEVOLVIDO_PARCIAL,239.21,25.39,0.64,5.43,20.17,6.99,0.0,15.99,2025-02-03T18:00:00-03:00,2025-02-03T11:45:00-03:00,Rota Nacional,false
PED000072,CLI001250,2025-01-29T16:34:00-03:00,ECOMMERCE,,,DEVOLVIDO_PARCIAL,228.02,18.79,3.5,8.79,16.01,5.12,0.0,15.43,2025-01-30T18:00:00-03:00,2025-01-30T08:57:00-03:00,Eixo Cargo,false
PED000073,CLI003034,2025-01-08T12:40:00-03:00,ECOMMERCE,INF-202501,,CONCLUÍDO,562.56,42.72,13.27,2.59,25.3,16.31,0.0,37.99,2025-01-09T18:00:00-03:00,2025-01-09T10:50:00-03:00,Rápido Sul,false
PED000074,CLI001461,2025-01-23T08:14:00-03:00,ECOMMERCE,,,CONCLUÍDO,702.17,41.06,16.38,1.71,18.63,21.47,0.0,48.35,2025-01-24T18:00:00-03:00,2025-01-24T08:45:00-03:00,Rota Nacional,false
PED000075,CLI000270,2025-01-23T15:11:00-03:00,ECOMMERCE,,,CONCLUÍDO,194.67,18.25,1.54,9.66,18.92,5.2,0.0,13.12,2025-01-24T18:00:00-03:00,2025-01-24T10:25:00-03:00,Expresso Interior,false
PED000076,CLI000471,2025-01-28T17:22:00-03:00,ECOMMERCE,SOC-202501,,CONCLUÍDO,247.4,19.1,1.42,8.12,15.23,7.52,0.0,17.02,2025-01-29T18:00:00-03:00,2025-01-29T15:12:00-03:00,Rota Nacional,false
PED000077,CLI000770,2025-01-30T11:33:00-03:00,ECOMMERCE,SOC-202501,,CONCLUÍDO,222.13,19.94,4.03,7.8,19.19,5.34,0.0,14.86,2025-01-31T18:00:00-03:00,2025-01-31T07:33:00-03:00,Rápido Sul,false
PED000078,CLI001250,2025-01-15T18:10:00-03:00,ECOMMERCE,,,CONCLUÍDO,116.81,9.91,0.47,6.93,15.23,3.34,0.0,7.98,2025-01-16T18:00:00-03:00,2025-01-16T12:02:00-03:00,Expresso Interior,false
PED000079,CLI001371,2025-01-21T14:13:00-03:00,ECOMMERCE,,,CONCLUÍDO,92.88,4.56,1.34,5.77,14.36,2.43,0.0,6.52,2025-01-22T18:00:00-03:00,2025-01-22T08:00:00-03:00,Expresso Interior,false
PED000080,CLI000569,2025-01-28T16:45:00-03:00,ECOMMERCE,SEA-202501,,CONCLUÍDO,147.7,15.7,1.4,10.65,21.21,5.04,0.0,9.8,2025-01-29T18:00:00-03:00,2025-01-31T11:14:00-03:00,Rota Nacional,false
PED000081,CLI001993,2025-01-31T19:02:00-03:00,ECOMMERCE,,,CONCLUÍDO,597.86,64.23,14.15,1.2,22.73,20.07,0.0,38.96,2025-02-03T18:00:00-03:00,2025-02-03T08:02:00-03:00,Rápido Sul,false
PED000082,CLI000530,2025-01-16T19:23:00-03:00,ECOMMERCE,,,CONCLUÍDO,157.1,8.95,1.65,7.94,30.82,5.51,0.0,10.99,2025-01-17T18:00:00-03:00,2025-01-21T15:48:00-03:00,Eixo Cargo,false
PED000083,CLI001993,2025-01-13T15:19:00-03:00,ECOMMERCE,,,CONCLUÍDO,220.55,23.78,3.38,6.48,20.15,4.84,0.0,14.5,2025-01-14T18:00:00-03:00,2025-01-14T10:06:00-03:00,Rápido Sul,false
PED000084,CLI001297,2025-01-15T08:59:00-03:00,ECOMMERCE,SEA-202501,,CONCLUÍDO,92.45,5.65,1.78,9.79,18.47,2.73,0.0,6.38,2025-01-16T18:00:00-03:00,2025-01-16T09:42:00-03:00,Eixo Cargo,false
PED000085,CLI003246,2025-01-31T19:22:00-03:00,ECOMMERCE,SOC-202501,,CONCLUÍDO,397.78,28.86,0.93,2.01,25.09,12.49,0.0,27.6,2025-02-03T18:00:00-03:00,2025-02-03T14:55:00-03:00,Rota Nacional,false
PED000086,CLI000995,2025-01-29T12:07:00-03:00,ECOMMERCE,,,CONCLUÍDO,639.7,37.08,10.56,1.22,19.36,19.6,0.0,44.4,2025-01-30T18:00:00-03:00,2025-01-31T12:01:00-03:00,Rápido Sul,false
PED000087,CLI000560,2025-01-21T08:00:00-03:00,ECOMMERCE,,,CONCLUÍDO,1386.57,152.74,2.31,3.21,30.9,41.26,0.0,92.36,2025-01-22T18:00:00-03:00,2025-01-22T07:24:00-03:00,Expresso Interior,false
PED000088,CLI001371,2025-01-09T11:06:00-03:00,ECOMMERCE,,,CONCLUÍDO,708.15,34.48,17.41,1.81,19.25,16.74,0.0,49.22,2025-01-10T18:00:00-03:00,2025-01-10T09:42:00-03:00,Rota Nacional,false
PED000089,CLI003034,2025-01-06T14:03:00-03:00,ECOMMERCE,INF-202501,,CONCLUÍDO,491.11,26.27,6.99,1.61,20.43,10.7,0.0,34.34,2025-01-07T18:00:00-03:00,2025-01-07T09:10:00-03:00,Rota Nacional,false
PED000090,CLI004018,2025-01-24T15:42:00-03:00,ECOMMERCE,,,CONCLUÍDO,313.72,24.52,5.65,7.88,16.21,9.38,0.0,21.27,2025-01-27T18:00:00-03:00,2025-01-27T09:07:00-03:00,Rápido Sul,false
PED000091,CLI000691,2025-01-27T09:42:00-03:00,ECOMMERCE,,,CONCLUÍDO,584.47,40.11,14.28,2.23,27.14,19.43,0.0,39.76,2025-01-28T18:00:00-03:00,2025-01-28T11:10:00-03:00,Expresso Interior,false
PED000092,CLI000119,2025-01-23T15:45:00-03:00,ECOMMERCE,,,CONCLUÍDO,348.44,32.56,6.02,1.09,21.31,10.65,0.0,23.24,2025-01-24T18:00:00-03:00,2025-01-24T08:32:00-03:00,Expresso Interior,false
PED000093,CLI000452,2025-01-15T10:42:00-03:00,ECOMMERCE,SOC-202501,,CONCLUÍDO,538.35,46.68,2.46,2.21,44.03,17.05,0.0,36.69,2025-01-16T18:00:00-03:00,2025-01-16T08:10:00-03:00,Expresso Interior,false
PED000094,CLI003059,2025-01-21T09:19:00-03:00,ECOMMERCE,,,CONCLUÍDO,112.75,7.84,0.76,10.46,24.37,3.15,0.0,7.81,2025-01-22T18:00:00-03:00,2025-01-22T08:09:00-03:00,Eixo Cargo,false
PED000095,CLI000569,2025-01-17T16:19:00-03:00,ECOMMERCE,SEA-202501,,CONCLUÍDO,559.08,37.15,1.79,1.4,26.43,12.76,0.0,39.01,2025-01-20T18:00:00-03:00,2025-01-20T08:10:00-03:00,Eixo Cargo,false
PED000096,CLI001297,2025-01-13T16:43:00-03:00,ECOMMERCE,SEA-202501,,CONCLUÍDO,146.26,13.11,0.23,6.27,19.32,4.48,0.0,9.97,2025-01-14T18:00:00-03:00,2025-01-14T14:56:00-03:00,Rota Nacional,false
PED000097,CLI003679,2025-01-10T17:14:00-03:00,ECOMMERCE,,,CONCLUÍDO,672.69,74.6,6.32,1.58,20.82,21.56,0.0,44.38,2025-01-13T18:00:00-03:00,2025-01-13T11:20:00-03:00,Expresso Interior,false
PED000098,CLI003282,2025-01-16T11:07:00-03:00,ECOMMERCE,,,CONCLUÍDO,473.89,37.83,4.92,2.18,21.78,15.19,0.0,32.34,2025-01-17T18:00:00-03:00,2025-01-17T13:47:00-03:00,Rota Nacional,false
PED000099,CLI001123,2025-01-09T18:47:00-03:00,ECOMMERCE,,,CONCLUÍDO,415.32,36.67,0.86,2.7,25.2,8.96,0.0,28.33,2025-01-10T18:00:00-03:00,2025-01-10T11:13:00-03:00,Eixo Cargo,false
PED000100,CLI000995,2025-01-14T15:43:00-03:00,ECOMMERCE,,,CONCLUÍDO,421.33,36.17,7.2,1.67,16.44,15.15,0.0,28.35,2025-01-15T18:00:00-03:00,2025-01-15T10:34:00-03:00,Expresso Interior,false
PED000101,CLI003010,2025-01-20T17:32:00-03:00,ECOMMERCE,,,CONCLUÍDO,561.3,57.76,10.77,1.2,17.16,16.82,0.0,36.96,2025-01-21T18:00:00-03:00,2025-01-21T10:26:00-03:00,Rápido Sul,false
PED000102,CLI001863,2025-01-24T13:55:00-03:00,ECOMMERCE,,,CONCLUÍDO,227.14,9.81,3.49,14.81,35.87,7.35,0.0,16.04,2025-01-27T18:00:00-03:00,2025-01-27T10:22:00-03:00,Rápido Sul,false
PED000103,CLI004018,2025-01-24T17:09:00-03:00,ECOMMERCE,,,CONCLUÍDO,164.53,13.69,0.48,5.8,14.63,4.34,0.0,11.28,2025-01-27T18:00:00-03:00,2025-01-27T07:58:00-03:00,Rota Nacional,false
PED000104,CLI000452,2025-01-24T09:42:00-03:00,ECOMMERCE,SOC-202501,,CONCLUÍDO,519.34,29.59,7.69,4.0,38.16,13.15,0.0,36.15,2025-01-27T18:00:00-03:00,2025-01-27T11:45:00-03:00,Expresso Interior,false
PED000105,CLI003722,2025-01-16T14:55:00-03:00,ECOMMERCE,,,CANCELADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-01-17T18:00:00-03:00,,Rota Nacional,false
PED000106,CLI001461,2025-01-28T18:10:00-03:00,ECOMMERCE,,,CANCELADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-01-29T18:00:00-03:00,,Eixo Cargo,false
PED000107,CLI001452,2025-01-20T17:29:00-03:00,ECOMMERCE,SEA-202501,,CONCLUÍDO,350.16,26.46,1.66,1.52,19.96,9.09,0.0,24.15,2025-01-21T18:00:00-03:00,2025-01-22T11:24:00-03:00,Rápido Sul,false
PED000108,CLI003722,2025-01-16T13:57:00-03:00,ECOMMERCE,,,CONCLUÍDO,287.92,22.99,6.58,13.0,48.8,8.93,0.0,19.38,2025-01-17T18:00:00-03:00,2025-01-17T10:09:00-03:00,Rota Nacional,false
