pedido_id,produto_id,quantidade,preco_unitario_bruto,desconto_item,custo_unitario_historico,quantidade_cancelada
PED000030,PRD0142,1,0.0,0.0,0.0,1
PED000030,PRD0076,1,0.0,0.0,0.0,1
PED000031,PRD0001,1,101.35,6.89,59.62,0
PED000032,PRD0002,1,131.23,7.84,74.56,0
PED000032,PRD0009,1,158.66,7.91,100.55,0
PED000032,PRD0162,3,16.31,2.25,10.06,0
PED000032,PRD0004,1,141.73,7.15,84.14,0
PED000033,PRD0060,1,83.24,4.38,44.15,0
PED000033,PRD0126,1,50.9,2.92,31.71,0
PED000033,PRD0026,1,147.8,9.02,88.45,0
PED000033,PRD0003,1,153.41,8.53,97.93,0
PED000034,PRD0015,1,195.67,13.62,125.72,0
PED000034,PRD0059,2,150.64,24.69,87.48,0
PED000034,PRD0005,1,175.46,9.89,99.24,0
PED000034,PRD0006,1,155.04,9.64,83.35,0
PED000035,PRD0017,1,211.95,20.59,123.0,0
PED000036,PRD0025,1,141.42,14.14,83.83,0
PED000036,PRD0004,1,141.22,12.14,85.55,0
PED000037,PRD0162,1,16.79,1.62,10.06,0
PED000038,PRD0053,1,126.21,6.91,68.8,0
PED000039,PRD0005,1,165.21,14.75,97.69,0
PED000040,PRD0002,1,138.07,8.72,76.15,0
PED000040,PRD0117,1,68.99,4.08,41.28,0
PED000040,PRD0040,1,200.05,11.27,115.77,0
PED000041,PRD0103,1,92.01,8.69,40.97,0
PED000041,PRD0007,1,103.12,9.46,61.5,0
PED000042,PRD0024,1,105.91,8.98,62.04,0
PED000043,PRD0001,1,91.46,7.31,57.2,0
PED000043,PRD0008,1,184.68,15.13,107.33,0
PED000043,PRD0006,1,150.28,15.85,83.06,0
PED000044,PRD0001,1,102.88,12.61,58.14,0
PED000045,PRD0002,1,133.13,12.92,73.34,0
PED000045,PRD0145,1,17.99,1.87,9.03,0
PED000046,PRD0023,1,222.65,16.5,134.66,0
PED000046,PRD0009,1,165.95,14.27,102.29,0
PED000046,PRD0020,1,121.13,13.0,74.62,0
PED000047,PRD0001,1,100.56,7.79,59.64,0
PED000047,PRD0017,1,229.15,22.38,128.88,0
PED000047,PRD0019,2,199.0,35.66,120.59,0
PED000048,PRD0046,1,97.72,8.3,54.1,0
PED000048,PRD0002,1,132.4,16.34,75.53,0
PED000048,PRD0082,1,66.71,6.55,29.72,0
PED000048,PRD0020,2,121.27,26.72,73.83,0
PED000048,PRD0004,2,149.21,30.01,88.13,0
PED000049,PRD0002,1,129.41,11.17,72.9,0
PED000050,PRD0043,1,78.96,4.93,45.51,0
PED000051,PRD0001,1,104.36,7.33,59.29,0
PED000051,PRD0105,1,65.91,5.16,29.88,0
PED000052,PRD0016,1,159.55,12.1,87.63,0
PED000052,PRD0018,1,90.73,5.33,59.07,0
PED000052,PRD0015,1,209.74,15.14,120.11,0
PED000053,PRD0037,3,150.94,37.73,94.61,0
PED000053,PRD0005,1,173.41,13.55,99.21,0
PED000053,PRD0004,1,145.85,13.24,88.26,0
PED000053,PRD0056,1,123.69,9.42,66.85,0
PED000054,PRD0062,1,103.43,6.19,59.6,0
PED000055,PRD0011,1,124.19,7.27,64.4,0
PED000055,PRD0002,1,127.17,6.68,73.31,0
PED000055,PRD0001,1,95.62,5.81,59.19,0
PED000055,PRD0014,2,142.28,16.77,80.4,0
PED000056,PRD0032,1,134.45,7.92,77.28,0
PED000056,PRD0012,2,197.84,18.86,108.95,0
PED000057,PRD0103,1,89.88,5.9,42.74,0
PED000057,PRD0012,3,214.41,36.91,108.03,0
PED000058,PRD0009,1,163.37,22.27,97.53,0
PED000058,PRD0005,3,161.03,62.45,96.93,0
PED000059,PRD0011,1,123.81,10.25,66.24,0
PED000059,PRD0009,1,153.77,16.49,99.97,0
PED000059,PRD0019,2,210.32,42.81,118.59,0
PED000059,PRD0012,1,202.11,21.8,108.84,0
PED000060,PRD0001,3,100.55,30.96,59.58,0
PED000061,PRD0126,4,54.31,28.99,31.67,0
PED000061,PRD0135,1,35.13,3.24,19.9,0
PED000061,PRD0043,2,79.87,18.37,45.55,0
PED000062,PRD0085,1,61.98,8.12,26.95,0
PED000062,PRD0098,1,82.86,10.88,34.33,0
PED000062,PRD0016,1,163.85,22.7,87.36,0
PED000063,PRD0022,1,121.97,9.47,72.85,0
PED000063,PRD0008,1,194.76,12.72,108.54,0
PED000063,PRD0003,1,154.22,13.13,97.32,0
PED000064,PRD0024,1,111.08,10.3,61.61,0
PED000064,PRD0010,2,124.76,28.65,80.91,0
PED000064,PRD0005,1,155.13,14.34,97.93,0
PED000064,PRD0044,1,73.11,7.35,41.7,0
PED000064,PRD0034,1,184.57,22.12,110.41,0
PED000065,PRD0008,1,192.69,16.25,109.61,0
PED000066,PRD0001,1,91.34,8.0,58.19,0
PED000066,PRD0007,1,115.71,12.68,61.96,0
PED000066,PRD0003,1,159.04,17.8,94.75,0
PED000067,PRD0031,1,192.27,14.01,105.03,0
PED000067,PRD0002,1,126.23,10.71,75.09,0
PED000067,PRD0012,2,198.67,25.54,113.25,0
PED000067,PRD0003,1,164.53,12.91,97.1,0
PED000068,PRD0005,1,154.0,13.61,98.48,0
PED000069,PRD0001,1,103.82,9.24,57.21,0
PED000070,PRD0061,1,117.26,13.62,66.0,0
PED000070,PRD0017,1,235.18,18.61,123.41,0
PED000070,PRD0003,1,154.84,12.51,98.37,0
PED000071,PRD0119,2,55.71,11.54,30.97,0
PED000071,PRD0002,1,127.79,13.85,73.99,0
PED000072,PRD0039,1,127.7,9.78,69.39,0
PED000072,PRD0001,1,100.32,9.01,59.3,0
PED000073,PRD0001,6,93.76,42.72,57.3,0
PED000074,PRD0002,1,125.65,6.03,74.45,0
PED000074,PRD0008,1,190.25,11.58,107.6,0
PED000074,PRD0003,1,168.59,10.73,95.43,0
PED000074,PRD0092,1,68.54,3.67,28.92,0
PED000074,PRD0004,1,149.14,9.05,87.99,0
PED000075,PRD0013,1,194.67,18.25,115.83,0
PED000076,PRD0002,1,129.22,9.54,76.26,0
PED000076,PRD0011,1,118.18,9.56,67.29,0
PED000077,PRD0146,1,19.01,1.62,11.17,0
PED000077,PRD0013,1,203.12,18.32,117.1,0
PED000078,PRD0007,1,116.81,9.91,63.08,0
PED000079,PRD0046,1,92.88,4.56,55.71,0
PED000080,PRD0118,1,52.42,4.45,27.89,0
PED000080,PRD0018,1,95.28,11.25,57.54,0
PED000081,PRD0008,1,183.69,18.9,107.22,0
PED000081,PRD0045,2,122.79,25.83,67.97,0
PED000081,PRD0003,1,168.59,19.5,98.35,0
PED000082,PRD0009,1,157.1,8.95,100.55,0
PED000083,PRD0152,2,21.97,4.92,12.44,0
PED000083,PRD0008,1,176.61,18.86,111.06,0
PED000084,PRD0001,1,92.45,5.65,57.89,0
PED000085,PRD0004,1,143.13,8.62,85.29,0
PED000085,PRD0026,1,158.26,12.06,89.01,0
PED000085,PRD0091,1,96.39,8.18,44.82,0
PED000086,PRD0003,1,161.67,9.48,95.73,0
PED000086,PRD0007,1,110.34,6.39,61.88,0
PED000086,PRD0001,1,94.3,5.25,56.96,0
PED000086,PRD0116,1,60.0,4.77,35.49,0
PED000086,PRD0027,1,213.39,11.19,134.43,0
PED000087,PRD0031,1,184.34,19.29,99.59,0
PED000087,PRD0009,6,173.72,113.71,100.32,0
PED000087,PRD0068,1,89.51,10.78,50.77,0
PED000087,PRD0058,1,70.4,8.96,42.38,0
PED000088,PRD0002,1,138.05,7.22,,0
PED000088,PRD0020,2,124.09,13.07,74.97,0
PED000088,PRD0003,2,160.96,14.19,94.35,0
PED000089,PRD0045,1,123.28,5.47,68.3,0
PED000089,PRD0005,1,165.24,9.1,100.25,0
PED000089,PRD0012,1,202.59,11.7,112.05,0
PED000090,PRD0005,1,165.76,14.12,97.49,0
PED000090,PRD0004,1,147.96,10.4,86.01,0
PED000091,PRD0023,1,228.55,17.71,132.9,0
PED000091,PRD0038,1,207.57,14.07,127.22,0
PED000091,PRD0004,1,148.35,8.33,84.89,0
PED000092,PRD0060,1,81.36,9.29,45.15,0
PED000092,PRD0036,1,108.57,9.66,63.63,0
PED000092,PRD0004,1,158.51,13.61,89.07,0
PED000093,PRD0024,5,107.67,46.68,61.01,0
PED000094,PRD0007,1,112.75,7.84,63.05,0
PED000095,PRD0004,4,139.77,37.15,86.14,0
PED000096,PRD0001,1,92.02,7.93,58.78,0
PED000096,PRD0126,1,54.24,5.18,32.19,0
PED000097,PRD0109,1,79.23,6.69,35.44,0
PED000097,PRD0118,3,51.54,13.52,27.05,0
PED000097,PRD0006,3,146.28,54.39,82.67,0
PED000098,PRD0023,1,210.77,16.81,133.19,0
PED000098,PRD0035,1,170.53,14.69,96.8,0
PED000098,PRD0018,1,92.59,6.33,58.95,0
PED000099,PRD0013,1,191.97,17.41,115.42,0
PED000099,PRD0044,1,73.04,5.51,42.97,0
PED000099,PRD0075,1,150.31,13.75,77.74,0
PED000100,PRD0002,1,128.96,11.93,76.82,0
PED000100,PRD0032,1,132.38,10.24,78.93,0
PED000100,PRD0005,1,159.99,14.0,97.65,0
PED000101,PRD0001,1,101.2,7.78,59.09,0
PED000101,PRD0084,1,69.34,5.36,27.66,0
PED000101,PRD0017,1,215.22,24.7,125.74,0
PED000101,PRD0005,1,175.54,19.92,101.66,0
PED000102,PRD0127,1,53.69,2.96,30.95,0
PED000102,PRD0009,1,173.45,6.85,99.79,0
PED000103,PRD0005,1,164.53,13.69,100.17,0
PED000104,PRD0004,1,138.77,7.27,88.47,0
PED000104,PRD0001,1,100.94,6.86,57.07,0
PED000104,PRD0010,1,125.31,7.33,78.33,0
PED000104,PRD0005,1,154.32,8.13,100.52,0
PED000105,PRD0062,1,0.0,0.0,0.0,1
PED000105,PRD0001,4,0.0,0.0,0.0,4
PED000106,PRD0028,1,0.0,0.0,0.0,1
PED000106,PRD0005,1,0.0,0.0,0.0,1
PED000107,PRD0005,2,175.08,26.46,101.59,0
PED000108,PRD0004,1,142.42,12.09,85.3,0
PED000108,PRD0006,1,145.5,10.9,85.27,0
PED000109,PRD0024,2,107.7,16.66,59.81,0
PED000109,PRD0002,1,130.74,10.93,73.51,0
PED000109,PRD0008,1,195.07,17.0,106.61,0
PED000109,PRD0157,1,25.66,2.32,14.9,0
PED000110,PRD0028,2,170.72,36.63,103.35,0
PED000110,PRD0001,1,92.13,11.57,59.62,0
PED000111,PRD0011,1,120.14,9.57,63.7,0
PED000112,PRD0002,2,134.91,25.64,74.24,0
PED000112,PRD0047,1,136.14,12.33,72.03,0
PED000113,PRD0037,1,148.19,9.42,91.81,0
PED000113,PRD0002,1,122.2,7.3,72.84,0
PED000114,PRD0001,1,104.07,10.29,59.83,0
PED000114,PRD0008,1,191.19,16.97,111.12,0
PED000114,PRD0007,1,116.63,9.53,63.56,0
PED000114,PRD0012,2,192.48,47.25,110.76,0
PED000115,PRD0006,1,156.75,21.25,84.9,0
PED000116,PRD0122,2,72.6,12.81,41.07,0
PED000117,PRD0008,1,170.83,10.67,111.61,0
PED000118,PRD0162,1,16.04,1.9,9.78,0
PED000118,PRD0004,1,156.93,19.04,86.59,0
PED000119,PRD0132,1,57.41,3.79,35.71,0
PED000120,PRD0050,1,155.16,15.37,89.3,0
PED000120,PRD0013,1,189.65,21.92,114.62,0
PED000121,PRD0001,1,96.02,8.46,58.76,0
PED000121,PRD0013,1,185.65,12.82,116.62,0
PED000121,PRD0066,1,135.17,13.05,72.96,0
PED000121,PRD0003,1,173.25,11.68,99.18,0
PED000122,PRD0021,1,117.52,14.31,71.69,0
PED000122,PRD0013,1,198.26,24.68,118.22,0
PED000122,PRD0001,1,103.39,13.98,60.3,0
PED000122,PRD0036,1,106.37,12.02,61.37,0
PED000123,PRD0001,1,93.13,9.22,56.95,0
PED000124,PRD0004,1,146.58,12.85,84.95,0
PED000124,PRD0102,1,84.3,7.49,36.46,0
PED000125,PRD0002,1,135.19,6.54,73.71,0
PED000125,PRD0038,1,213.51,15.77,124.04,0
PED000126,PRD0038,1,206.5,19.2,128.1,0
PED000127,PRD0063,1,141.5,13.98,87.74,0
PED000127,PRD0001,1,99.71,7.28,57.79,0
PED000127,PRD0004,1,147.3,12.52,84.82,0
PED000128,PRD0002,1,126.6,6.48,74.43,0
PED000129,PRD0002,1,125.61,8.04,76.51,0
PED000129,PRD0030,1,165.55,10.62,103.65,0
PED000129,PRD0056,1,126.35,7.27,64.16,0
PED000130,PRD0001,1,92.57,8.82,56.83,0
PED000130,PRD0052,1,120.58,12.09,65.79,0
PED000130,PRD0005,1,167.32,17.32,98.9,0
PED000131,PRD0020,1,122.41,5.72,73.2,0
PED000131,PRD0004,1,144.01,9.92,86.46,0
PED000132,PRD0055,2,75.45,12.53,38.38,0
PED000132,PRD0156,2,19.52,2.91,11.99,0
PED000132,PRD0003,1,173.31,10.2,95.02,0
PED000133,PRD0053,1,116.06,9.72,68.22,0
PED000133,PRD0001,2,95.47,20.38,60.2,0
PED000134,PRD0084,1,68.48,4.14,27.39,0
PED000135,PRD0020,2,117.27,24.38,76.02,0
PED000135,PRD0003,1,173.21,17.35,96.7,0
PED000136,PRD0001,1,101.29,10.6,56.87,0
PED000136,PRD0076,1,145.38,12.19,81.65,0
PED000137,PRD0157,1,27.22,1.99,15.37,0
PED000137,PRD0001,2,92.75,15.88,58.86,0
PED000137,PRD0003,1,154.47,14.43,98.93,0
PED000137,PRD0144,1,17.46,1.7,10.37,0
PED000138,PRD0010,1,140.56,10.45,81.36,0
PED000138,PRD0029,3,158.45,36.47,94.28,0
PED000139,PRD0002,1,138.43,13.08,73.67,0
PED000139,PRD0001,1,91.39,7.97,59.18,0
PED000140,PRD0007,1,113.04,6.36,60.57,0
PED000140,PRD0003,2,170.13,20.86,97.65,0
PED000141,PRD0002,1,131.61,8.58,73.19,0
PED000141,PRD0014,1,152.22,14.0,80.19,0
PED000141,PRD0001,1,96.17,7.82,59.28,0
PED000141,PRD0128,1,54.84,4.71,30.3,0
PED000141,PRD0025,6,143.3,64.2,80.69,0
PED000141,PRD0004,1,142.28,10.19,87.56,0
PED000142,PRD0002,1,128.47,13.3,75.05,0
PED000142,PRD0001,1,102.99,9.92,59.8,0
PED000142,PRD0003,6,157.69,78.9,96.67,0
PED000143,PRD0014,1,143.48,11.43,79.58,0
PED000143,PRD0120,1,59.29,4.27,31.93,0
PED000144,PRD0001,1,92.67,6.28,56.97,0
PED000144,PRD0052,1,126.0,9.79,66.91,0
PED000144,PRD0005,1,172.33,15.53,100.6,0
PED000144,PRD0126,1,51.22,4.91,31.25,0
PED000145,PRD0060,1,82.52,10.57,45.24,0
PED000146,PRD0001,1,94.07,6.56,59.26,0
PED000146,PRD0049,1,79.31,8.21,44.94,0
PED000146,PRD0005,1,169.27,11.79,97.77,0
PED000146,PRD0003,1,161.29,14.6,99.23,0
PED000147,PRD0001,1,92.18,8.79,57.24,0
PED000147,PRD0002,2,127.39,15.82,74.79,0
PED000147,PRD0011,1,117.29,11.04,63.73,0
PED000147,PRD0033,1,200.22,13.47,110.88,0
PED000148,PRD0002,2,130.71,25.18,74.86,0
PED000148,PRD0047,2,143.12,28.32,75.48,0
PED000148,PRD0019,1,218.29,21.56,114.75,0
PED000149,PRD0001,1,98.23,6.88,60.25,0
PED000149,PRD0004,1,149.08,8.11,86.78,0
PED000150,PRD0024,4,105.3,48.77,60.92,0
PED000150,PRD0005,1,160.67,16.94,97.38,0
PED000150,PRD0004,1,140.97,16.19,86.11,0
PED000150,PRD0006,1,143.79,13.08,83.52,0
PED000151,PRD0022,1,118.6,10.87,70.5,0
PED000152,PRD0002,1,138.66,8.61,75.88,0
PED000153,PRD0002,1,0.0,0.0,0.0,1
PED000154,PRD0001,1,104.35,9.2,58.62,0
PED000155,PRD0119,1,56.29,6.75,30.56,0
PED000155,PRD0031,1,197.28,18.81,104.49,0
PED000155,PRD0001,1,97.53,10.21,58.86,0
PED000155,PRD0114,4,32.68,15.24,19.87,0
PED000156,PRD0033,2,186.22,48.31,111.01,0
PED000156,PRD0150,1,19.81,1.73,11.79,0
PED000157,PRD0009,1,165.55,10.33,99.52,0
PED000157,PRD0004,1,157.9,12.58,86.44,0
PED000158,PRD0001,1,102.77,5.93,58.47,0
PED000158,PRD0103,3,90.35,14.44,42.85,0
PED000158,PRD0056,1,129.1,8.07,66.45,0
PED000159,PRD0010,1,127.42,10.86,79.98,0
PED000159,PRD0078,1,145.5,12.64,82.13,0
PED000160,PRD0007,2,104.98,22.22,60.46,0
PED000161,PRD0002,1,136.36,6.99,74.86,0
PED000161,PRD0004,2,146.46,18.54,88.91,0
PED000161,PRD0058,1,71.76,4.06,41.7,0
PED000162,PRD0002,4,131.53,47.1,75.27,0
PED000162,PRD0020,1,133.38,12.43,75.45,0
PED000162,PRD0075,1,153.18,11.54,76.86,0
PED000163,PRD0113,1,73.75,6.54,41.82,0
PED000163,PRD0001,1,99.08,10.02,57.12,0
PED000164,PRD0007,1,105.49,12.65,63.22,0
PED000164,PRD0003,1,159.94,15.81,95.0,0
PED000165,PRD0022,1,118.21,7.96,72.7,0
PED000165,PRD0009,2,170.89,31.29,99.66,0
PED000165,PRD0006,1,140.28,11.03,85.42,0
PED000166,PRD0001,1,91.69,10.92,59.04,0
PED000166,PRD0010,1,133.69,14.46,81.63,0
PED000166,PRD0014,2,136.84,30.77,79.41,0
PED000167,PRD0119,1,54.33,5.94,29.52,0
PED000167,PRD0005,3,175.33,47.11,98.9,0
PED000168,PRD0001,1,91.39,4.39,59.09,0
PED000168,PRD0011,1,115.63,8.58,65.44,0
PED000168,PRD0116,1,59.78,3.47,35.31,0
PED000168,PRD0004,1,145.22,9.8,88.79,0
PED000169,PRD0010,3,135.71,20.96,79.42,0
PED000170,PRD0033,4,185.92,94.67,115.34,0
PED000170,PRD0005,2,166.55,31.39,102.42,0
PED000170,PRD0006,1,140.93,14.79,85.5,0
PED000171,PRD0124,1,39.84,3.41,23.27,0
PED000172,PRD0073,1,105.42,6.89,57.52,0
PED000172,PRD0005,2,169.81,29.05,102.37,0
PED000172,PRD0066,1,126.14,11.8,71.81,0
PED000173,PRD0129,1,57.16,3.13,34.13,0
PED000174,PRD0001,1,93.17,5.13,59.76,0
PED000174,PRD0010,2,130.88,15.89,79.6,0
PED000174,PRD0066,4,128.1,41.18,72.41,0
PED000175,PRD0011,1,115.65,7.62,65.71,0
PED000176,PRD0025,1,136.29,15.52,84.33,0
PED000177,PRD0027,1,207.96,16.0,132.57,0
PED000178,PRD0066,1,135.87,9.7,71.61,0
PED000179,PRD0011,1,126.81,8.73,66.32,0
PED000179,PRD0006,2,157.07,14.52,83.81,0
PED000180,PRD0002,1,139.14,6.27,73.91,0
PED000180,PRD0118,2,46.44,5.43,26.76,0
PED000180,PRD0007,1,108.82,4.91,60.96,0
PED000181,PRD0007,2,104.46,20.87,60.85,0
PED000182,PRD0069,1,93.38,4.38,49.97,0
PED000182,PRD0004,1,144.32,7.77,84.68,0
PED000182,PRD0087,1,55.87,2.79,25.47,0
PED000183,PRD0051,1,0.0,0.0,0.0,1
PED000183,PRD0001,1,0.0,0.0,0.0,1
PED000183,PRD0004,2,0.0,0.0,0.0,2
PED000184,PRD0100,1,71.56,5.56,29.87,0
PED000184,PRD0130,1,57.08,4.26,35.8,0
PED000184,PRD0005,1,164.96,13.6,97.32,0
PED000185,PRD0022,1,112.38,9.51,71.1,0
PED000185,PRD0001,3,103.04,26.38,57.4,0
PED000186,PRD0053,2,123.63,21.9,67.51,0
PED000186,PRD0002,1,137.98,9.26,73.02,0
PED000186,PRD0001,1,98.58,7.75,59.88,0
PED000186,PRD0008,1,189.34,16.54,108.76,0
PED000187,PRD0001,1,94.91,8.03,59.62,0
PED000188,PRD0083,1,91.59,9.51,41.63,0
PED000188,PRD0026,1,156.89,19.18,92.46,0
PED000188,PRD0140,1,58.23,7.26,34.03,0
PED000189,PRD0001,1,100.71,8.77,58.37,0
PED000190,PRD0001,1,103.33,9.6,57.51,0
PED000190,PRD0003,1,167.7,21.34,96.87,0
PED000191,PRD0002,1,136.1,10.2,75.86,0
PED000192,PRD0002,1,134.3,11.93,73.42,0
PED000192,PRD0001,1,96.77,8.74,59.2,0
PED000192,PRD0005,1,154.23,13.06,99.69,0
PED000193,PRD0001,1,95.15,12.47,58.28,0
PED000193,PRD0013,1,193.87,23.37,115.54,0
PED000194,PRD0021,3,126.26,25.08,73.35,0
PED000194,PRD0002,1,138.27,12.86,74.23,0
PED000194,PRD0015,1,188.57,17.54,119.6,0
PED000195,PRD0059,4,146.73,69.11,88.21,0
PED000195,PRD0006,6,151.12,91.33,83.02,0
PED000196,PRD0018,1,100.77,6.84,57.07,0
PED000196,PRD0007,1,117.23,7.49,63.37,0
PED000197,PRD0001,1,97.77,7.46,59.64,0
PED000197,PRD0017,1,213.17,20.84,123.62,0
PED000198,PRD0099,1,69.18,5.89,30.26,0
PED000199,PRD0001,5,97.3,28.18,59.18,0
PED000199,PRD0008,1,172.42,8.41,112.47,0
PED000199,PRD0003,1,165.63,10.84,95.36,0
PED000200,PRD0062,1,103.29,10.03,60.07,0
PED000200,PRD0019,1,213.58,23.62,115.03,0
PED000201,PRD0002,1,123.45,11.33,74.7,0
PED000202,PRD0005,1,174.07,18.79,98.18,0
PED000203,PRD0022,1,109.08,6.24,69.75,0
PED000203,PRD0008,2,175.07,27.73,113.01,0
PED000204,PRD0001,1,102.42,13.83,60.27,0
PED000204,PRD0102,4,77.77,38.58,37.32,0
PED000205,PRD0017,4,220.47,101.29,124.68,0
PED000205,PRD0007,3,107.31,25.64,62.22,0
PED000206,PRD0002,1,133.76,12.81,75.75,0
PED000207,PRD0003,2,159.98,26.39,94.44,0
PED000208,PRD0013,1,201.78,15.4,119.14,0
PED000209,PRD0001,1,96.27,8.51,58.01,0
PED000209,PRD0042,4,202.63,52.12,117.42,0
PED000210,PRD0011,2,126.76,18.83,63.45,0
PED000210,PRD0001,2,94.46,11.8,58.27,0
PED000211,PRD0009,1,161.13,14.34,100.93,0
PED000211,PRD0140,1,57.57,5.31,33.41,0
PED000212,PRD0047,1,135.93,13.56,74.3,0
PED000212,PRD0005,1,166.91,13.9,98.25,0
PED000212,PRD0003,1,169.55,18.96,96.55,0
PED000213,PRD0005,1,167.47,16.39,101.36,0
PED000213,PRD0027,2,229.41,35.54,135.61,0
PED000214,PRD0001,1,95.2,8.41,58.68,0
PED000214,PRD0015,1,201.72,20.0,119.11,0
PED000214,PRD0006,1,144.86,14.77,82.98,0
PED000215,PRD0005,1,156.0,16.37,102.02,0
PED000216,PRD0001,1,97.83,7.01,59.86,0
PED000216,PRD0049,1,76.27,7.51,44.85,0
PED000216,PRD0004,1,141.83,13.14,85.62,0
PED000217,PRD0017,1,228.42,21.87,124.59,0
PED000218,PRD0002,1,133.38,11.81,72.94,0
PED000218,PRD0001,1,92.62,8.29,57.15,0
PED000218,PRD0004,1,156.36,11.82,84.33,0
PED000219,PRD0001,1,101.57,7.93,58.11,0
PED000219,PRD0011,1,120.43,10.42,63.63,0
PED000219,PRD0042,1,198.72,16.09,120.16,0
PED000220,PRD0025,2,141.0,18.77,81.89,0
PED000220,PRD0001,2,93.59,11.08,59.62,0
PED000220,PRD0029,1,162.62,10.97,96.7,0
PED000221,PRD0001,1,99.61,6.47,59.31,0
PED000222,PRD0039,1,134.51,10.57,71.15,0
PED000222,PRD0001,1,101.94,7.5,59.33,0
