devolucao_id,pedido_id,produto_id,data_solicitacao,data_processamento,quantidade,valor_estornado,motivo,condicao_retorno,custo_logistico
DEV00039,PED013851,PRD0002,2026-06-07,2026-06-14,1,110.11,VALIDADE,REVENDAVEL,33.33
DEV00040,PED014223,PRD0014,2026-06-01,2026-06-11,1,140.75,QUALIDADE,AVARIADO,9.47
DEV00041,PED013158,PRD0001,2026-05-05,2026-05-07,1,80.73,VALIDADE,REVENDAVEL,13.91
DEV00042,PED013690,PRD0155,2026-05-16,2026-05-18,1,18.58,ARREPENDIMENTO,REVENDAVEL,11.56
DEV00043,PED013846,PRD0007,2026-06-14,2026-06-19,1,92.93,ARREPENDIMENTO,REVENDAVEL,16.03
DEV00044,PED013095,PRD0048,2026-05-21,2026-05-24,1,72.24,AVARIA,AVARIADO,11.68
DEV00045,PED001521,PRD0077,2025-04-18,2025-04-28,2,144.8,AVARIA,REVENDAVEL,19.31
DEV00046,PED007317,PRD0005,2025-11-04,2025-11-13,1,135.29,VALIDADE,REVENDAVEL,30.79
DEV00047,PED003655,PRD0010,2025-05-28,2025-06-03,1,116.86,PRODUTO INCORRETO,REVENDAVEL,13.08
DEV00048,PED008885,PRD0008,2025-12-25,2025-12-29,1,150.79,PRODUTO INCORRETO,REVENDAVEL,9.18
DEV00049,PED003840,PRD0010,2025-07-05,2025-07-12,1,116.6,VALIDADE,REVENDAVEL,27.51
DEV00050,PED000722,PRD0002,2025-02-06,2025-02-10,2,220.03,AVARIA,DESCARTE,12.04
DEV00051,PED008679,PRD0079,2025-12-04,2025-12-10,1,79.4,AVARIA,REVENDAVEL,32.36
DEV00052,PED012641,PRD0110,2026-04-04,2026-04-07,1,57.89,ARREPENDIMENTO,AVARIADO,12.51
DEV00053,PED013491,PRD0013,2026-05-17,2026-05-27,1,172.08,ARREPENDIMENTO,REVENDAVEL,18.0
DEV00054,PED004808,PRD0001,2025-07-27,2025-07-28,1,88.66,ARREPENDIMENTO,REVENDAVEL,20.42
DEV00055,PED012044,PRD0003,2026-04-04,2026-04-08,1,127.46,ARREPENDIMENTO,REVENDAVEL,10.44
DEV00056,PED008860,PRD0173,2026-01-03,2026-01-05,1,12.01,AVARIA,REVENDAVEL,28.56
DEV00057,PED010295,PRD0016,2026-02-04,2026-02-09,1,146.3,QUALIDADE,AVARIADO,10.24
DEV00058,PED006438,PRD0019,2025-10-09,2025-10-14,1,191.65,VALIDADE,AVARIADO,24.42
DEV00059,PED007691,PRD0020,2025-10-22,2025-10-26,1,60.06,VALIDADE,REVENDAVEL,20.99
DEV00060,PED003615,PRD0002,2025-06-01,2025-06-03,1,43.85,AVARIA,REVENDAVEL,13.45
DEV00061,PED003208,PRD0007,2025-06-14,2025-06-19,2,191.79,PRODUTO INCORRETO,REVENDAVEL,33.68
DEV00062,PED000915,PRD0060,2025-03-06,2025-03-12,1,71.86,ARREPENDIMENTO,REVENDAVEL,28.72
DEV00063,PED005109,PRD0016,2025-07-21,2025-07-31,1,125.71,PRODUTO INCORRETO,REVENDAVEL,18.38
DEV00064,PED006018,PRD0046,2025-09-01,2025-09-04,1,79.37,VALIDADE,REVENDAVEL,18.16
DEV00065,PED003325,PRD0002,2025-05-29,2025-06-07,1,110.13,ARREPENDIMENTO,DESCARTE,32.15
DEV00066,PED009035,PRD0027,2025-12-24,2025-12-29,1,180.23,PRODUTO INCORRETO,REVENDAVEL,30.0
DEV00067,PED008498,PRD0011,2025-12-07,2025-12-13,1,94.0,QUALIDADE,REVENDAVEL,18.52
DEV00068,PED003720,PRD0118,2025-06-23,2025-07-03,1,42.98,ARREPENDIMENTO,REVENDAVEL,22.41
DEV00069,PED001496,PRD0034,2025-03-15,2025-03-19,1,159.11,ARREPENDIMENTO,REVENDAVEL,26.0
DEV00070,PED012182,PRD0002,2026-04-20,2026-04-29,1,111.81,PRODUTO INCORRETO,REVENDAVEL,32.97
DEV00071,PED002632,PRD0001,2025-04-20,2025-04-30,1,81.16,QUALIDADE,DESCARTE,12.74
DEV00072,PED011416,PRD0002,2026-02-26,2026-03-01,1,122.11,AVARIA,REVENDAVEL,28.59
DEV00073,PED005197,PRD0001,2025-08-12,2025-08-20,2,29.22,ARREPENDIMENTO,AVARIADO,10.88
DEV00074,PED001729,PRD0017,2025-04-21,2025-04-23,1,208.25,QUALIDADE,REVENDAVEL,16.49
DEV00075,PED005930,PRD0011,2025-09-05,2025-09-11,1,102.52,PRODUTO INCORRETO,REVENDAVEL,27.65
DEV00076,PED014161,PRD0002,2026-06-02,2026-06-04,1,113.89,ARREPENDIMENTO,REVENDAVEL,29.9
DEV00077,PED006697,PRD0002,2025-09-24,2025-09-27,1,110.66,PRODUTO INCORRETO,AVARIADO,21.48
DEV00078,PED001112,PRD0002,2025-02-27,2025-03-04,1,122.96,AVARIA,REVENDAVEL,30.54
DEV00079,PED001261,PRD0018,2025-03-20,2025-03-25,1,92.73,QUALIDADE,AVARIADO,21.04
DEV00080,PED012497,PRD0058,2026-03-17,2026-03-23,1,67.58,ARREPENDIMENTO,REVENDAVEL,20.67
DEV00081,PED005163,PRD0001,2025-07-29,2025-08-04,2,118.78,PRODUTO INCORRETO,REVENDAVEL,10.95
DEV00082,PED005078,PRD0002,2025-08-16,2025-08-26,1,110.28,QUALIDADE,REVENDAVEL,24.02
DEV00083,PED009692,PRD0002,2026-01-17,2026-01-19,1,118.48,QUALIDADE,AVARIADO,28.84
DEV00084,PED007899,PRD0009,2025-12-26,2026-01-04,1,130.61,ARREPENDIMENTO,REVENDAVEL,14.08
DEV00085,PED003863,PRD0028,2025-06-27,2025-07-02,1,160.93,VALIDADE,DESCARTE,8.89
DEV00086,PED014622,PRD0005,2026-05-28,2026-06-01,1,132.65,PRODUTO INCORRETO,REVENDAVEL,34.5
DEV00087,PED005059,PRD0016,2025-07-28,2025-07-31,1,135.48,VALIDADE,REVENDAVEL,21.7
DEV00088,PED007470,PRD0001,2025-10-13,2025-10-20,1,90.64,QUALIDADE,REVENDAVEL,11.64
DEV00089,PED013737,PRD0037,2026-06-08,2026-06-09,2,289.94,AVARIA,REVENDAVEL,19.43
DEV00090,PED008176,PRD0004,2025-12-06,2025-12-16,1,121.66,VALIDADE,REVENDAVEL,28.24
DEV00091,PED001260,PRD0027,2025-03-17,2025-03-22,1,199.28,AVARIA,DESCARTE,8.5
DEV00092,PED014448,PRD0179,2026-06-22,2026-06-23,1,8.92,VALIDADE,REVENDAVEL,10.9
DEV00093,PED002588,PRD0160,2025-05-01,2025-05-06,1,24.48,VALIDADE,AVARIADO,27.73
DEV00094,PED009769,PRD0066,2026-01-26,2026-02-04,1,125.93,PRODUTO INCORRETO,REVENDAVEL,32.07
DEV00095,PED013093,PRD0003,2026-05-11,2026-05-18,1,132.64,VALIDADE,AVARIADO,9.16
DEV00096,PED001147,PRD0013,2025-03-25,2025-04-02,1,178.03,VALIDADE,DESCARTE,16.06
DEV00097,PED003316,PRD0007,2025-05-12,2025-05-14,1,103.01,PRODUTO INCORRETO,DESCARTE,27.08
DEV00098,PED000692,PRD0002,2025-01-26,2025-02-04,1,107.96,AVARIA,AVARIADO,32.8
DEV00099,PED009339,PRD0001,2025-12-21,2025-12-30,1,78.14,VALIDADE,REVENDAVEL,8.77
DEV00100,PED014155,PRD0056,2026-06-03,2026-06-04,1,114.57,QUALIDADE,REVENDAVEL,8.73
DEV00101,PED011224,PRD0002,2026-03-10,2026-03-17,1,119.4,VALIDADE,AVARIADO,12.02
DEV00102,PED005222,PRD0048,2025-08-02,2025-08-10,2,134.38,VALIDADE,REVENDAVEL,33.09
DEV00103,PED000558,PRD0001,2025-02-01,2025-02-06,1,81.13,PRODUTO INCORRETO,REVENDAVEL,16.06
DEV00104,PED005380,PRD0114,2025-09-01,2025-09-08,1,31.89,ARREPENDIMENTO,DESCARTE,34.79
DEV00105,PED002781,PRD0032,2025-05-22,2025-05-25,1,123.8,VALIDADE,AVARIADO,10.86
DEV00106,PED008637,PRD0059,2025-11-16,2025-11-19,1,131.35,QUALIDADE,REVENDAVEL,11.53
DEV00107,PED006812,PRD0002,2025-10-02,2025-10-10,1,101.55,VALIDADE,AVARIADO,32.89
DEV00108,PED008425,PRD0064,2025-12-14,2025-12-20,1,69.01,VALIDADE,REVENDAVEL,29.75
DEV00109,PED006848,PRD0003,2025-10-02,2025-10-08,2,250.49,ARREPENDIMENTO,REVENDAVEL,27.34
DEV00110,PED011793,PRD0065,2026-04-12,2026-04-22,1,127.96,AVARIA,AVARIADO,16.84
DEV00111,PED011024,PRD0038,2026-03-02,2026-03-03,1,168.82,VALIDADE,DESCARTE,21.47
DEV00112,PED014800,PRD0011,2026-06-11,2026-06-21,1,59.81,ARREPENDIMENTO,REVENDAVEL,29.27
DEV00113,PED006286,PRD0007,2025-09-09,2025-09-14,1,100.72,AVARIA,AVARIADO,15.06
DEV00114,PED006660,PRD0020,2025-10-02,2025-10-03,2,205.8,PRODUTO INCORRETO,DESCARTE,16.18
DEV00115,PED006781,PRD0047,2025-10-12,2025-10-20,1,108.4,PRODUTO INCORRETO,REVENDAVEL,32.26
DEV00116,PED006085,PRD0004,2025-08-24,2025-08-28,1,0.0,AVARIA,AVARIADO,12.14
DEV00117,PED012144,PRD0048,2026-04-06,2026-04-15,1,72.92,QUALIDADE,DESCARTE,18.27
DEV00118,PED004626,PRD0004,2025-08-16,2025-08-21,1,142.44,QUALIDADE,REVENDAVEL,32.6
DEV00119,PED008832,PRD0046,2025-12-02,2025-12-10,1,84.09,PRODUTO INCORRETO,REVENDAVEL,20.42
DEV00120,PED005503,PRD0001,2025-08-17,2025-08-18,1,79.5,QUALIDADE,REVENDAVEL,28.96
DEV00121,PED010093,PRD0002,2026-02-22,2026-02-23,1,111.74,VALIDADE,AVARIADO,21.58
DEV00122,PED004183,PRD0012,2025-06-28,2025-07-03,1,134.95,ARREPENDIMENTO,REVENDAVEL,15.14
DEV00123,PED010356,PRD0090,2026-02-21,2026-02-22,1,55.6,PRODUTO INCORRETO,DESCARTE,9.4
DEV00124,PED009049,PRD0007,2025-12-16,2025-12-19,1,94.96,ARREPENDIMENTO,REVENDAVEL,13.75
DEV00125,PED006587,PRD0024,2025-10-20,2025-10-27,1,87.11,PRODUTO INCORRETO,REVENDAVEL,15.83
DEV00126,PED003082,PRD0003,2025-05-29,2025-06-06,1,143.32,PRODUTO INCORRETO,REVENDAVEL,33.28
DEV00127,PED014537,PRD0005,2026-06-06,2026-06-09,1,148.44,AVARIA,REVENDAVEL,19.6
DEV00128,PED001271,PRD0018,2025-02-25,2025-03-04,1,89.18,PRODUTO INCORRETO,REVENDAVEL,33.3
DEV00129,PED012658,PRD0010,2026-03-27,2026-04-04,1,0.0,AVARIA,REVENDAVEL,13.02
DEV00130,PED004087,PRD0005,2025-07-03,2025-07-12,1,147.0,ARREPENDIMENTO,REVENDAVEL,14.35
DEV00131,PED011885,PRD0020,2026-04-17,2026-04-21,2,216.8,PRODUTO INCORRETO,REVENDAVEL,30.3
DEV00132,PED004699,PRD0011,2025-08-10,2025-08-19,1,106.59,ARREPENDIMENTO,REVENDAVEL,13.08
DEV00133,PED002656,PRD0014,2025-05-23,2025-05-25,1,126.72,PRODUTO INCORRETO,REVENDAVEL,24.87
DEV00134,PED006402,PRD0098,2025-09-18,2025-09-23,1,76.58,AVARIA,REVENDAVEL,23.78
DEV00135,PED007559,PRD0045,2025-11-18,2025-11-23,1,112.43,VALIDADE,REVENDAVEL,20.83
DEV00136,PED007726,PRD0035,2025-10-28,2025-11-01,1,156.63,PRODUTO INCORRETO,AVARIADO,16.12
DEV00137,PED000222,PRD0001,2025-02-09,2025-02-14,1,94.44,PRODUTO INCORRETO,REVENDAVEL,33.71
DEV00138,PED000953,PRD0003,2025-03-09,2025-03-10,1,158.66,PRODUTO INCORRETO,REVENDAVEL,33.69
DEV00139,PED009138,PRD0036,2025-12-28,2025-12-29,1,99.8,AVARIA,AVARIADO,23.39
DEV00140,PED000137,PRD0001,2025-02-05,2025-02-13,2,169.62,ARREPENDIMENTO,REVENDAVEL,18.4
DEV00141,PED010192,PRD0001,2026-02-01,2026-02-11,1,86.34,VALIDADE,REVENDAVEL,12.02
DEV00142,PED013881,PRD0002,2026-05-24,2026-05-26,1,126.14,PRODUTO INCORRETO,REVENDAVEL,16.16
DEV00143,PED010430,PRD0001,2026-02-06,2026-02-09,1,84.96,ARREPENDIMENTO,REVENDAVEL,26.07
DEV00144,PED004855,PRD0007,2025-08-11,2025-08-15,1,92.54,VALIDADE,REVENDAVEL,11.78
DEV00145,PED001522,PRD0037,2025-04-06,2025-04-14,1,134.61,ARREPENDIMENTO,AVARIADO,28.76
DEV00146,PED004930,PRD0011,2025-08-17,2025-08-20,1,102.57,VALIDADE,REVENDAVEL,9.98
DEV00147,PED007701,PRD0122,2025-11-13,2025-11-19,1,58.77,VALIDADE,DESCARTE,26.65
DEV00148,PED005089,PRD0018,2025-08-01,2025-08-07,1,80.23,VALIDADE,AVARIADO,23.27
DEV00149,PED003174,PRD0005,2025-05-18,2025-05-19,1,150.77,VALIDADE,REVENDAVEL,9.61
DEV00150,PED005987,PRD0022,2025-08-11,2025-08-19,1,0.0,QUALIDADE,REVENDAVEL,25.83
DEV00151,PED014908,PRD0028,2026-06-15,2026-06-21,1,152.08,VALIDADE,REVENDAVEL,15.32
DEV00152,PED012475,PRD0012,2026-04-21,2026-04-26,2,286.15,QUALIDADE,REVENDAVEL,15.04
DEV00153,PED008727,PRD0004,2025-12-23,2026-01-01,2,201.27,PRODUTO INCORRETO,REVENDAVEL,16.52
DEV00154,PED014758,PRD0003,2026-06-19,2026-06-22,1,131.97,AVARIA,REVENDAVEL,19.5
DEV00155,PED004085,PRD0006,2025-07-19,2025-07-27,1,138.83,ARREPENDIMENTO,AVARIADO,21.52
DEV00156,PED006457,PRD0001,2025-10-25,2025-11-03,2,166.52,AVARIA,REVENDAVEL,21.14
DEV00157,PED008170,PRD0006,2025-12-04,2025-12-06,1,116.23,ARREPENDIMENTO,REVENDAVEL,21.09
DEV00158,PED005370,PRD0006,2025-09-07,2025-09-09,1,129.27,AVARIA,AVARIADO,11.41
DEV00159,PED001406,PRD0117,2025-03-16,2025-03-21,1,25.8,AVARIA,REVENDAVEL,23.32
DEV00160,PED002551,PRD0059,2025-04-18,2025-04-20,1,130.25,ARREPENDIMENTO,REVENDAVEL,8.93
DEV00161,PED007103,PRD0033,2025-11-08,2025-11-16,1,180.19,PRODUTO INCORRETO,DESCARTE,11.31
DEV00162,PED004977,PRD0047,2025-08-21,2025-08-22,1,127.49,ARREPENDIMENTO,REVENDAVEL,27.49
DEV00163,PED009311,PRD0012,2026-01-07,2026-01-09,1,176.9,PRODUTO INCORRETO,REVENDAVEL,22.06
DEV00164,PED010058,PRD0035,2026-02-14,2026-02-18,1,164.32,AVARIA,DESCARTE,9.68
DEV00165,PED003722,PRD0001,2025-06-04,2025-06-06,1,81.45,VALIDADE,REVENDAVEL,20.29
DEV00166,PED001959,PRD0012,2025-03-26,2025-04-02,1,190.09,PRODUTO INCORRETO,DESCARTE,8.77
DEV00167,PED014484,PRD0001,2026-06-07,2026-06-16,1,88.67,VALIDADE,REVENDAVEL,22.6
DEV00168,PED011615,PRD0022,2026-03-03,2026-03-11,1,37.58,VALIDADE,AVARIADO,12.93
DEV00169,PED011668,PRD0005,2026-03-16,2026-03-25,1,73.11,ARREPENDIMENTO,AVARIADO,16.31
DEV00170,PED003929,PRD0001,2025-07-16,2025-07-26,1,81.53,PRODUTO INCORRETO,REVENDAVEL,29.65
DEV00171,PED012194,PRD0143,2026-04-08,2026-04-18,1,20.61,QUALIDADE,DESCARTE,18.52
DEV00172,PED009400,PRD0025,2026-01-16,2026-01-26,1,122.78,AVARIA,AVARIADO,25.01
DEV00173,PED014525,PRD0073,2026-05-24,2026-05-31,1,98.87,QUALIDADE,AVARIADO,15.32
DEV00174,PED006159,PRD0107,2025-09-26,2025-10-02,1,75.98,ARREPENDIMENTO,REVENDAVEL,32.67
DEV00175,PED007573,PRD0025,2025-11-02,2025-11-12,1,119.83,ARREPENDIMENTO,AVARIADO,10.22
DEV00176,PED004320,PRD0001,2025-06-25,2025-06-27,1,88.8,VALIDADE,REVENDAVEL,27.73
DEV00177,PED011912,PRD0002,2026-04-18,2026-04-24,1,110.35,ARREPENDIMENTO,AVARIADO,9.71
DEV00178,PED012299,PRD0010,2026-04-14,2026-04-19,1,118.43,AVARIA,REVENDAVEL,8.59
DEV00179,PED008226,PRD0024,2025-12-02,2025-12-11,1,84.96,ARREPENDIMENTO,AVARIADO,11.18
DEV00180,PED005906,PRD0002,2025-09-03,2025-09-12,1,112.19,QUALIDADE,DESCARTE,11.34
DEV00181,PED006123,PRD0156,2025-08-26,2025-09-04,2,32.6,ARREPENDIMENTO,REVENDAVEL,19.49
DEV00182,PED000569,PRD0006,2025-02-10,2025-02-14,1,137.93,ARREPENDIMENTO,DESCARTE,25.96
DEV00183,PED011182,PRD0007,2026-03-10,2026-03-11,1,69.77,VALIDADE,AVARIADO,29.68
DEV00184,PED001840,PRD0070,2025-04-23,2025-04-30,1,125.56,QUALIDADE,DESCARTE,21.11
DEV00185,PED001192,PRD0070,2025-02-25,2025-03-07,2,239.18,PRODUTO INCORRETO,REVENDAVEL,13.89
DEV00186,PED002658,PRD0019,2025-05-02,2025-05-04,1,167.1,VALIDADE,AVARIADO,33.06
DEV00187,PED006472,PRD0008,2025-09-30,2025-10-02,1,154.1,QUALIDADE,AVARIADO,14.95
DEV00188,PED011911,PRD0022,2026-03-25,2026-04-03,1,93.06,QUALIDADE,AVARIADO,24.73
DEV00189,PED006597,PRD0163,2025-10-14,2025-10-21,1,19.61,PRODUTO INCORRETO,REVENDAVEL,15.34
DEV00190,PED005117,PRD0001,2025-07-30,2025-08-08,1,85.25,ARREPENDIMENTO,REVENDAVEL,18.99
DEV00191,PED013141,PRD0165,2026-04-28,2026-05-06,1,18.44,QUALIDADE,REVENDAVEL,33.41
DEV00192,PED008164,PRD0158,2025-12-19,2025-12-21,1,20.13,VALIDADE,REVENDAVEL,26.91
DEV00193,PED006658,PRD0019,2025-10-13,2025-10-15,1,167.65,AVARIA,REVENDAVEL,16.39
DEV00194,PED011280,PRD0027,2026-02-25,2026-03-01,1,197.22,QUALIDADE,DESCARTE,28.71
DEV00195,PED000767,PRD0123,2025-03-06,2025-03-08,1,49.97,ARREPENDIMENTO,DESCARTE,15.71
DEV00196,PED009923,PRD0035,2026-02-06,2026-02-11,1,151.22,QUALIDADE,REVENDAVEL,31.6
DEV00197,PED007041,PRD0051,2025-11-14,2025-11-19,1,113.69,AVARIA,AVARIADO,13.74
DEV00198,PED004589,PRD0162,2025-07-24,2025-07-29,1,5.9,PRODUTO INCORRETO,REVENDAVEL,30.69
DEV00199,PED004962,PRD0002,2025-07-22,2025-08-01,1,110.68,AVARIA,AVARIADO,25.3
DEV00200,PED006941,PRD0005,2025-09-22,2025-09-23,1,3.27,VALIDADE,AVARIADO,13.42
DEV00201,PED013989,PRD0070,2026-05-10,2026-05-19,2,249.02,AVARIA,REVENDAVEL,23.14
DEV00202,PED010275,PRD0007,2026-02-17,2026-02-24,1,103.94,ARREPENDIMENTO,REVENDAVEL,14.27
DEV00203,PED003264,PRD0072,2025-06-18,2025-06-22,1,149.84,QUALIDADE,REVENDAVEL,17.21
DEV00204,PED001712,PRD0017,2025-03-26,2025-04-05,1,185.65,AVARIA,AVARIADO,9.8
DEV00205,PED005996,PRD0028,2025-09-15,2025-09-22,1,0.0,PRODUTO INCORRETO,REVENDAVEL,26.83
DEV00206,PED007515,PRD0007,2025-11-07,2025-11-14,1,72.64,PRODUTO INCORRETO,REVENDAVEL,9.69
DEV00207,PED008156,PRD0011,2025-12-09,2025-12-14,1,94.9,AVARIA,DESCARTE,33.23
DEV00208,PED001574,PRD0003,2025-04-22,2025-04-23,1,146.2,PRODUTO INCORRETO,REVENDAVEL,18.4
DEV00209,PED008594,PRD0173,2025-11-27,2025-12-07,1,6.2,ARREPENDIMENTO,DESCARTE,22.76
DEV00210,PED002232,PRD0126,2025-04-14,2025-04-22,1,40.19,ARREPENDIMENTO,AVARIADO,17.39
DEV00211,PED008011,PRD0104,2025-12-02,2025-12-06,1,59.84,QUALIDADE,AVARIADO,34.69
DEV00212,PED001853,PRD0005,2025-03-13,2025-03-22,1,157.25,ARREPENDIMENTO,AVARIADO,27.76
DEV00213,PED007791,PRD0001,2025-12-16,2025-12-22,1,70.41,PRODUTO INCORRETO,REVENDAVEL,20.59
DEV00214,PED008926,PRD0015,2026-01-02,2026-01-05,1,161.18,AVARIA,DESCARTE,34.28
DEV00215,PED008712,PRD0001,2025-12-03,2025-12-09,1,76.08,ARREPENDIMENTO,REVENDAVEL,15.19
DEV00216,PED009755,PRD0109,2026-02-26,2026-03-04,1,83.63,AVARIA,AVARIADO,16.27
DEV00217,PED007951,PRD0054,2025-12-03,2025-12-04,1,141.6,ARREPENDIMENTO,AVARIADO,21.93
DEV00218,PED005900,PRD0005,2025-09-12,2025-09-17,1,142.03,AVARIA,REVENDAVEL,24.09
DEV00219,PED014643,PRD0003,2026-06-02,2026-06-05,1,129.54,ARREPENDIMENTO,AVARIADO,26.3
DEV00220,PED002752,PRD0015,2025-05-17,2025-05-20,1,173.57,QUALIDADE,REVENDAVEL,26.39
DEV00221,PED008493,PRD0001,2025-12-06,2025-12-10,1,82.1,,REVENDAVEL,33.09
DEV00222,PED012912,PRD0010,2026-05-14,2026-05-18,1,111.57,AVARIA,DESCARTE,14.74
DEV00223,PED000974,PRD0013,2025-03-25,2025-03-31,1,170.49,ARREPENDIMENTO,REVENDAVEL,26.09
DEV00224,PED007554,PRD0008,2025-11-18,2025-11-20,1,156.99,VALIDADE,REVENDAVEL,9.8
DEV00225,PED005814,PRD0019,2025-09-18,2025-09-26,1,152.65,AVARIA,DESCARTE,34.89
DEV00226,PED013628,PRD0059,2026-04-30,2026-05-08,2,208.8,AVARIA,DESCARTE,25.16
DEV00227,PED014538,PRD0001,2026-05-24,2026-05-30,2,160.56,PRODUTO INCORRETO,REVENDAVEL,22.1
DEV00228,PED004034,PRD0157,2025-07-07,2025-07-08,1,22.25,AVARIA,REVENDAVEL,9.13
DEV00229,PED005877,PRD0006,2025-09-08,2025-09-15,1,134.28,VALIDADE,AVARIADO,19.21
DEV00230,PED000429,PRD0006,2025-02-02,2025-02-12,1,133.94,AVARIA,REVENDAVEL,10.68
DEV00231,PED001007,PRD0001,2025-03-16,2025-03-18,1,89.07,PRODUTO INCORRETO,REVENDAVEL,24.84
DEV00232,PED005593,PRD0011,2025-08-17,2025-08-18,1,104.71,,AVARIADO,8.81
DEV00233,PED013197,PRD0008,2026-05-15,2026-05-19,1,149.57,QUALIDADE,REVENDAVEL,24.03
DEV00234,PED001731,PRD0106,2025-04-12,2025-04-18,1,55.04,AVARIA,REVENDAVEL,12.79
DEV00235,PED001692,PRD0001,2025-04-04,2025-04-13,1,93.0,QUALIDADE,REVENDAVEL,12.77
DEV00236,PED010996,PRD0054,2026-03-26,2026-03-28,1,167.07,AVARIA,REVENDAVEL,27.13
DEV00237,PED014262,PRD0034,2026-05-18,2026-05-26,1,185.61,PRODUTO INCORRETO,REVENDAVEL,26.71
