data_referencia,produto_id,lote,data_validade,quantidade_disponivel,quantidade_reservada,entrada_semana,saida_semana,retorno_semana,perda_validade,perda_avaria,custo_medio_unitario
2026-02-16,PRD0001,L0001-03,2028-06-20,1380,12,0,142,0,1,0,49.34
2026-02-23,PRD0001,AB0001,2027-06-25,1,0,0,220,1,0,0,48.73
2026-02-23,PRD0001,L0001-03,2028-06-20,1160,9,0,0,0,0,1,48.73
2026-03-02,PRD0001,AB0001,2027-06-25,1,0,0,93,1,0,0,49.07
2026-03-02,PRD0001,L0001-03,2028-06-20,1068,12,0,0,0,0,1,49.07
2026-03-09,PRD0001,AB0001,2027-06-25,1,0,0,104,1,0,0,49.2
2026-03-09,PRD0001,L0001-03,2028-06-20,965,4,0,0,0,1,0,49.2
2026-03-16,PRD0001,L0001-03,2028-06-20,824,28,0,142,0,1,0,49.68
2026-03-23,PRD0001,L0001-03,2028-06-20,658,32,0,166,0,1,0,49.49
2026-03-30,PRD0001,AB0001,2027-06-25,1,0,0,146,1,0,0,49.4
2026-03-30,PRD0001,L0001-03,2028-06-20,512,21,0,0,0,0,1,49.4
2026-04-06,PRD0001,L0001-03,2028-06-20,431,7,0,82,0,0,1,48.63
2026-04-13,PRD0001,L0001-03,2028-06-20,324,6,0,107,0,1,0,47.41
2026-04-20,PRD0001,L0001-03,2028-06-20,153,0,0,171,0,1,0,47.04
2026-04-27,PRD0001,AB0001,2027-06-25,1,0,0,151,2,1,0,46.9
2026-04-27,PRD0001,L0001-03,2028-06-20,2,0,0,0,0,0,1,46.9
2026-05-04,PRD0001,AB0001,2027-06-25,1,0,0,5,2,0,1,46.79
2026-05-11,PRD0001,L0001-03,2028-06-20,0,0,0,2,0,0,0,46.21
2026-05-18,PRD0001,L0001-04,2028-11-14,2107,21,2220,112,0,1,0,47.27
2026-05-25,PRD0001,AB0001,2027-06-25,1,0,0,164,2,1,0,47.25
2026-05-25,PRD0001,L0001-04,2028-11-14,1943,82,0,0,0,1,0,47.25
2026-06-01,PRD0001,L0001-04,2028-11-14,1858,97,0,87,0,0,1,47.47
2026-06-08,PRD0001,AB0001,2027-06-25,1,0,0,170,2,0,1,48.78
2026-06-08,PRD0001,L0001-04,2028-11-14,1688,58,0,0,0,1,0,48.78
2026-06-15,PRD0001,AB0001,2027-06-25,1,0,0,126,1,0,0,47.59
2026-06-15,PRD0001,L0001-04,2028-11-14,1564,63,0,0,0,1,0,47.59
2026-06-22,PRD0001,L0001-04,2028-11-14,1437,63,0,128,0,1,0,48.5
2026-06-29,PRD0001,L0001-04,2028-11-14,1349,67,0,88,0,0,1,48.8
2025-01-06,PRD0002,AB0002,2026-06-30,478,28,0,17,0,0,0,73.56
2025-01-13,PRD0002,AB0002,2026-06-30,421,6,0,57,0,0,0,73.51
2025-01-20,PRD0002,AB0002,2026-06-30,336,2,0,85,0,0,0,72.81
2025-01-27,PRD0002,AB0002,2026-06-30,218,15,0,118,0,0,0,71.33
2025-02-03,PRD0002,AB0002,2026-06-30,144,3,0,75,1,0,0,70.63
2025-02-10,PRD0002,AB0002,2026-06-30,99,1,0,45,0,0,0,69.57
2025-02-17,PRD0002,AB0002,2026-06-30,44,2,0,57,2,0,0,68.73
2025-02-24,PRD0002,AB0002,2026-06-30,0,0,0,44,0,0,0,68.91
2025-03-03,PRD0002,AB0002,2026-06-30,2,0,0,0,2,0,0,70.39
2025-03-10,PRD0002,AB0002,2026-06-30,0,0,0,2,0,0,0,69.72
2025-03-17,PRD0002,AB0002,2026-06-30,1,0,0,0,1,0,0,68.7
2025-03-24,PRD0002,L0002-01,2026-09-23,1366,102,1455,90,0,0,0,69.08
2025-03-31,PRD0002,L0002-01,2026-09-23,1243,17,0,123,0,0,0,69.11
2025-04-07,PRD0002,L0002-01,2026-09-23,1199,46,0,44,0,0,0,70.86
2025-04-14,PRD0002,AB0002,2026-06-30,1,0,0,69,1,0,0,70.31
2025-04-14,PRD0002,L0002-01,2026-09-23,1130,82,0,0,0,0,0,70.31
2025-04-21,PRD0002,L0002-01,2026-09-23,1064,19,0,67,0,0,0,70.48
2025-04-28,PRD0002,L0002-01,2026-09-23,984,27,0,80,0,0,0,68.22
2025-05-05,PRD0002,L0002-01,2026-09-23,956,28,0,28,0,0,0,68.02
2025-05-12,PRD0002,L0002-01,2026-09-23,904,19,0,52,0,0,0,68.38
2025-05-19,PRD0002,L0002-01,2026-09-23,847,56,0,57,0,0,0,68.11
2025-05-26,PRD0002,L0002-01,2026-09-23,786,6,0,61,0,0,0,68.14
2025-06-02,PRD0002,AB0002,2026-06-30,2,0,0,42,2,0,0,68.52
2025-06-02,PRD0002,L0002-01,2026-09-23,744,35,0,0,0,0,0,68.52
2025-06-09,PRD0002,L0002-01,2026-09-23,677,1,0,69,0,0,0,67.11
2025-06-16,PRD0002,L0002-01,2026-09-23,597,22,0,80,0,0,0,66.34
2025-06-23,PRD0002,AB0002,2026-06-30,1,0,0,65,1,0,0,66.45
2025-06-23,PRD0002,L0002-01,2026-09-23,532,28,0,0,0,0,0,66.45
2025-06-30,PRD0002,L0002-01,2026-09-23,492,6,0,41,0,0,0,65.68
2025-07-07,PRD0002,AB0002,2026-06-30,1,0,0,71,1,0,0,65.65
2025-07-07,PRD0002,L0002-01,2026-09-23,421,3,0,0,0,0,0,65.65
2025-07-14,PRD0002,L0002-01,2026-09-23,350,17,0,72,0,0,0,66.91
2025-07-21,PRD0002,L0002-01,2026-09-23,261,8,0,89,0,0,0,66.94
2025-07-28,PRD0002,L0002-01,2026-09-23,148,0,0,113,0,0,0,67.25
2025-08-04,PRD0002,AB0002,2026-06-30,2,0,1464,61,2,0,0,66.33
2025-08-04,PRD0002,L0002-01,2026-09-23,87,3,0,0,0,0,0,66.33
2025-08-04,PRD0002,L0002-02,2027-02-05,1464,93,0,0,0,0,0,66.33
2025-08-11,PRD0002,L0002-01,2026-09-23,27,1,0,62,0,0,0,65.56
2025-08-11,PRD0002,L0002-02,2027-02-05,1464,110,0,0,0,0,0,65.56
2025-08-18,PRD0002,L0002-02,2027-02-05,1400,6,0,91,0,0,0,65.18
2025-08-25,PRD0002,AB0002,2026-06-30,1,0,0,122,1,0,0,65.2
2025-08-25,PRD0002,L0002-02,2027-02-05,1278,88,0,0,0,0,0,65.2
2025-09-01,PRD0002,L0002-02,2027-02-05,1232,4,0,47,0,0,0,65.44
2025-09-08,PRD0002,L0002-02,2027-02-05,1184,62,0,48,0,0,0,65.32
2025-09-15,PRD0002,L0002-02,2027-02-05,1087,18,0,97,0,0,0,64.04
2025-09-22,PRD0002,AB0002,2026-06-30,1,0,0,59,1,0,0,64.34
2025-09-22,PRD0002,L0002-02,2027-02-05,1028,80,0,0,0,0,0,64.34
2025-09-29,PRD0002,L0002-02,2027-02-05,961,22,0,68,0,0,0,64.06
2025-10-06,PRD0002,L0002-02,2027-02-05,899,64,0,62,0,0,0,64.06
2025-10-13,PRD0002,AB0002,2026-06-30,1,0,0,59,1,0,0,65.75
2025-10-13,PRD0002,L0002-02,2027-02-05,840,51,0,0,0,0,0,65.75
2025-10-20,PRD0002,L0002-02,2027-02-05,749,7,0,92,0,0,0,64.71
2025-10-27,PRD0002,L0002-02,2027-02-05,618,30,0,131,0,0,0,64.68
2025-11-03,PRD0002,L0002-02,2027-02-05,564,32,0,54,0,0,0,64.39
2025-11-10,PRD0002,L0002-02,2027-02-05,516,24,0,48,0,0,0,64.0
2025-11-17,PRD0002,L0002-02,2027-02-05,459,16,0,57,0,0,0,63.92
2025-11-24,PRD0002,AB0002,2026-06-30,2,0,0,123,2,0,0,64.93
2025-11-24,PRD0002,L0002-02,2027-02-05,336,12,0,0,0,0,0,64.93
2025-12-01,PRD0002,L0002-02,2027-02-05,278,20,0,60,0,0,0,64.35
2025-12-08,PRD0002,L0002-02,2027-02-05,219,5,1239,59,0,0,0,65.29
2025-12-08,PRD0002,L0002-03,2027-06-12,1239,35,0,0,0,0,0,65.29
2025-12-15,PRD0002,L0002-02,2027-02-05,155,5,0,64,0,0,0,64.9
2025-12-15,PRD0002,L0002-03,2027-06-12,1239,62,0,0,0,0,0,64.9
2025-12-22,PRD0002,L0002-02,2027-02-05,57,3,0,98,0,0,0,66.66
2025-12-22,PRD0002,L0002-03,2027-06-12,1239,18,0,0,0,0,0,66.66
2025-12-29,PRD0002,AB0002,2026-06-30,1,0,0,107,1,0,0,67.08
2025-12-29,PRD0002,L0002-03,2027-06-12,1189,91,0,0,0,0,0,67.08
2026-01-05,PRD0002,L0002-03,2027-06-12,1139,21,0,50,0,0,1,65.41
2026-01-12,PRD0002,L0002-03,2027-06-12,1038,14,0,101,0,1,0,64.7
2026-01-19,PRD0002,L0002-03,2027-06-12,979,43,0,59,0,1,0,64.57
2026-01-26,PRD0002,L0002-03,2027-06-12,888,41,0,91,0,1,0,63.5
2026-02-02,PRD0002,L0002-03,2027-06-12,788,54,0,100,0,0,1,63.29
2026-02-09,PRD0002,AB0002,2026-06-30,1,0,0,76,1,0,0,62.51
2026-02-09,PRD0002,L0002-03,2027-06-12,712,15,0,0,0,0,1,62.51
2026-02-16,PRD0002,L0002-03,2027-06-12,619,28,0,94,0,1,0,62.93
2026-02-23,PRD0002,AB0002,2026-06-30,1,0,0,88,1,0,0,62.14
2026-02-23,PRD0002,L0002-03,2027-06-12,531,16,0,0,0,1,0,62.14
2026-03-02,PRD0002,L0002-03,2027-06-12,482,29,0,50,0,1,0,62.58
2026-03-09,PRD0002,L0002-03,2027-06-12,384,22,0,98,0,0,1,62.75
2026-03-16,PRD0002,L0002-03,2027-06-12,319,6,0,65,0,0,1,63.36
2026-03-23,PRD0002,L0002-03,2027-06-12,165,8,0,154,0,1,0,63.11
2026-03-30,PRD0002,L0002-03,2027-06-12,57,3,0,108,0,1,0,63.01
2026-04-06,PRD0002,AB0002,2026-06-30,1,0,0,39,1,0,0,62.02
2026-04-06,PRD0002,L0002-03,2027-06-12,18,0,0,0,0,1,0,62.02
2026-04-13,PRD0002,L0002-03,2027-06-12,0,0,0,20,0,0,0,60.47
2026-04-20,PRD0002,L0002-03,2027-06-12,0,0,0,0,0,0,0,59.99
2026-04-27,PRD0002,AB0002,2026-06-30,1,0,0,0,1,0,0,59.81
2026-05-04,PRD0002,L0002-04,2027-11-04,1314,2,1386,72,0,0,1,59.68
2026-05-11,PRD0002,L0002-04,2027-11-04,1222,93,0,92,0,0,1,58.94
2026-05-18,PRD0002,AB0002,2026-06-30,1,0,0,82,1,0,0,60.29
2026-05-18,PRD0002,L0002-04,2027-11-04,1140,87,0,0,0,1,0,60.29
2026-05-25,PRD0002,AB0002,2026-06-30,1,0,0,173,1,0,0,60.26
2026-05-25,PRD0002,L0002-04,2027-11-04,968,57,0,0,0,1,0,60.26
2026-06-01,PRD0002,AB0002,2026-06-30,1,0,0,70,1,0,0,60.54
2026-06-01,PRD0002,L0002-04,2027-11-04,899,40,0,0,0,1,0,60.54
2026-06-08,PRD0002,AB0002,2026-06-30,1,0,0,103,1,0,0,62.21
2026-06-08,PRD0002,L0002-04,2027-11-04,797,28,0,0,0,0,1,62.21
2026-06-15,PRD0002,L0002-04,2027-11-04,725,49,0,73,0,0,1,60.69
2026-06-22,PRD0002,L0002-04,2027-11-04,630,17,0,95,0,1,0,61.85
2026-06-29,PRD0002,L0002-04,2027-11-04,563,42,0,67,0,1,0,62.24
2025-01-06,PRD0003,AB0003,2028-01-01,426,30,0,27,0,0,0,95.17
2025-01-13,PRD0003,AB0003,2028-01-01,354,19,0,72,0,0,0,95.11
2025-01-20,PRD0003,AB0003,2028-01-01,283,12,0,71,0,0,0,94.21
2025-01-27,PRD0003,AB0003,2028-01-01,208,4,0,75,0,0,0,92.3
2025-02-03,PRD0003,AB0003,2028-01-01,182,13,0,26,0,0,0,91.39
2025-02-10,PRD0003,AB0003,2028-01-01,147,4,0,36,1,0,0,90.02
2025-02-17,PRD0003,AB0003,2028-01-01,83,6,0,64,0,0,0,88.92
2025-02-24,PRD0003,AB0003,2028-01-01,0,0,0,83,0,0,0,89.16
2025-03-03,PRD0003,AB0003,2028-01-01,0,0,0,0,0,0,0,91.08
2025-03-10,PRD0003,AB0003,2028-01-01,1,0,0,0,1,0,0,90.21
2025-03-17,PRD0003,AB0003,2028-01-01,0,0,0,1,0,0,0,88.89
2025-03-24,PRD0003,AB0003,2028-01-01,0,0,0,0,0,0,0,89.39
2025-03-31,PRD0003,AB0003,2028-01-01,0,0,0,0,0,0,0,89.42
2025-04-07,PRD0003,L0003-01,2028-04-11,1028,12,1056,28,0,0,0,91.68
2025-04-14,PRD0003,L0003-01,2028-04-11,968,55,0,60,0,0,0,90.98
2025-04-21,PRD0003,AB0003,2028-01-01,1,0,0,57,1,0,0,91.19
2025-04-21,PRD0003,L0003-01,2028-04-11,911,36,0,0,0,0,0,91.19
2025-04-28,PRD0003,L0003-01,2028-04-11,830,6,0,82,0,0,0,88.26
2025-05-05,PRD0003,L0003-01,2028-04-11,748,,0,82,0,0,0,88.01
2025-05-12,PRD0003,L0003-01,2028-04-11,715,37,0,33,0,0,0,88.48
2025-05-19,PRD0003,L0003-01,2028-04-11,667,7,0,48,0,0,0,88.12
2025-05-26,PRD0003,L0003-01,2028-04-11,589,42,0,78,0,0,0,88.17
2025-06-02,PRD0003,AB0003,2028-01-01,1,0,0,41,1,0,0,88.66
2025-06-02,PRD0003,L0003-01,2028-04-11,548,17,0,0,0,0,0,88.66
2025-06-09,PRD0003,L0003-01,2028-04-11,475,10,0,74,0,0,0,86.83
2025-06-16,PRD0003,L0003-01,2028-04-11,398,2,0,77,0,0,0,85.84
2025-06-23,PRD0003,L0003-01,2028-04-11,349,7,0,49,0,0,0,85.98
2025-06-30,PRD0003,AB0003,2028-01-01,1,0,0,57,1,0,0,84.98
2025-06-30,PRD0003,L0003-01,2028-04-11,292,8,0,0,0,0,0,84.98
2025-07-07,PRD0003,AB0003,2028-01-01,1,0,0,32,1,0,0,84.95
2025-07-07,PRD0003,L0003-01,2028-04-11,261,0,0,0,0,0,0,84.95
2025-07-14,PRD0003,L0003-01,2028-04-11,221,16,0,41,0,0,0,86.57
2025-07-21,PRD0003,L0003-01,2028-04-11,181,13,0,40,0,0,0,86.62
2025-07-28,PRD0003,L0003-01,2028-04-11,114,1,0,67,0,0,0,87.01
2025-08-04,PRD0003,L0003-01,2028-04-11,62,1,0,52,0,0,0,85.82
2025-08-11,PRD0003,L0003-01,2028-04-11,4,0,1045,58,0,0,0,84.83
2025-08-11,PRD0003,L0003-02,2028-08-12,1045,,0,0,0,0,0,84.83
2025-08-18,PRD0003,L0003-02,2028-08-12,1001,25,0,48,0,0,0,84.33
2025-08-25,PRD0003,L0003-02,2028-08-12,918,51,0,83,0,0,0,84.36
2025-09-01,PRD0003,AB0003,2028-01-01,1,0,0,45,1,0,0,84.68
2025-09-01,PRD0003,L0003-02,2028-08-12,873,36,0,0,0,0,0,84.68
2025-09-08,PRD0003,L0003-02,2028-08-12,856,16,0,18,0,0,0,84.52
2025-09-15,PRD0003,L0003-02,2028-08-12,793,12,0,63,0,0,0,82.86
2025-09-22,PRD0003,L0003-02,2028-08-12,727,57,0,66,0,0,0,83.24
2025-09-29,PRD0003,L0003-02,2028-08-12,673,18,0,54,0,0,0,82.89
2025-10-06,PRD0003,AB0003,2028-01-01,2,0,0,23,2,0,0,82.88
2025-10-06,PRD0003,L0003-02,2028-08-12,650,8,0,0,0,0,0,82.88
2025-10-13,PRD0003,L0003-02,2028-08-12,615,40,0,37,0,0,0,85.07
2025-10-20,PRD0003,L0003-02,2028-08-12,559,16,0,56,0,0,0,83.73
2025-10-27,PRD0003,L0003-02,2028-08-12,423,7,0,136,0,0,0,83.69
2025-11-03,PRD0003,L0003-02,2028-08-12,369,29,0,54,0,0,0,83.32
2025-11-10,PRD0003,L0003-02,2028-08-12,319,2,0,50,0,0,0,82.81
2025-11-17,PRD0003,L0003-02,2028-08-12,275,8,0,44,0,0,0,82.7
2025-11-24,PRD0003,AB0003,2028-01-01,1,0,0,175,1,0,0,84.01
2025-11-24,PRD0003,L0003-02,2028-08-12,100,0,0,0,0,0,0,84.01
2025-12-01,PRD0003,L0003-02,2028-08-12,71,4,0,30,0,0,0,83.26
2025-12-08,PRD0003,L0003-02,2028-08-12,11,0,0,60,0,0,0,84.48
2025-12-15,PRD0003,AB0003,2028-01-01,2,0,0,11,2,0,0,83.98
2025-12-22,PRD0003,L0003-02,2028-08-12,0,0,0,2,0,0,0,86.25
2025-12-29,PRD0003,L0003-03,2028-12-29,1019,7,1093,74,0,0,0,86.8
2026-01-05,PRD0003,L0003-03,2028-12-29,966,64,0,52,0,1,0,84.64
2026-01-12,PRD0003,AB0003,2028-01-01,1,0,0,66,1,0,0,83.72
2026-01-12,PRD0003,L0003-03,2028-12-29,900,3,0,0,0,0,1,83.72
2026-01-19,PRD0003,L0003-03,2028-12-29,839,47,0,62,0,0,1,83.55
2026-01-26,PRD0003,AB0003,2028-01-01,1,0,0,66,1,0,0,82.16
2026-01-26,PRD0003,L0003-03,2028-12-29,773,25,0,0,0,1,0,82.16
2026-02-02,PRD0003,L0003-03,2028-12-29,704,48,0,70,0,1,0,81.89
2026-02-09,PRD0003,L0003-03,2028-12-29,657,33,0,47,0,1,0,80.89
2026-02-16,PRD0003,L0003-03,2028-12-29,612,12,0,45,0,0,1,81.42
2026-02-23,PRD0003,L0003-03,2028-12-29,540,36,0,72,0,0,1,80.41
2026-03-02,PRD0003,L0003-03,2028-12-29,499,6,0,41,0,1,0,80.98
2026-03-09,PRD0003,L0003-03,2028-12-29,458,1,0,41,0,1,0,81.19
2026-03-16,PRD0003,L0003-03,2028-12-29,385,26,0,73,0,1,0,81.98
2026-03-23,PRD0003,L0003-03,2028-12-29,280,19,0,105,0,0,1,81.66
2026-03-30,PRD0003,AB0003,2028-01-01,1,0,0,55,1,0,0,81.52
2026-03-30,PRD0003,L0003-03,2028-12-29,225,8,0,0,0,0,1,81.52
2026-04-06,PRD0003,AB0003,2028-01-01,1,0,0,45,1,0,0,80.25
2026-04-06,PRD0003,L0003-03,2028-12-29,181,12,0,0,0,1,0,80.25
2026-04-13,PRD0003,L0003-03,2028-12-29,122,0,1155,60,0,1,0,78.24
2026-04-13,PRD0003,L0003-04,2029-04-17,1154,13,0,0,0,1,0,78.24
2026-04-20,PRD0003,L0003-03,2028-12-29,41,0,0,81,0,0,1,77.62
2026-04-20,PRD0003,L0003-04,2029-04-17,1154,66,0,0,0,0,1,77.62
2026-04-27,PRD0003,L0003-04,2029-04-17,1122,77,0,74,0,1,0,77.39
2026-05-04,PRD0003,L0003-04,2029-04-17,1082,52,0,40,0,1,0,77.22
2026-05-11,PRD0003,L0003-04,2029-04-17,1003,68,0,79,0,1,0,76.26
2026-05-18,PRD0003,L0003-04,2029-04-17,942,74,0,61,0,0,1,78.0
2026-05-25,PRD0003,L0003-04,2029-04-17,847,54,0,95,0,0,1,77.97
2026-06-01,PRD0003,L0003-04,2029-04-17,794,45,0,53,0,1,0,78.33
2026-06-08,PRD0003,L0003-04,2029-04-17,708,24,0,86,0,1,0,80.5
2026-06-15,PRD0003,L0003-04,2029-04-17,658,16,0,50,0,1,0,78.53
2026-06-22,PRD0003,AB0003,2028-01-01,1,0,0,65,1,0,0,80.03
2026-06-22,PRD0003,L0003-04,2029-04-17,593,8,0,0,0,0,1,80.03
2026-06-29,PRD0003,L0003-04,2029-04-17,566,37,0,28,0,0,1,80.53
2025-01-06,PRD0004,AB0004,2028-01-01,318,20,0,47,0,0,0,85.15
2025-01-13,PRD0004,AB0004,2028-01-01,288,18,0,30,0,0,0,85.09
2025-01-20,PRD0004,AB0004,2028-01-01,224,1,0,64,0,0,0,84.29
2025-01-27,PRD0004,AB0004,2028-01-01,179,0,0,45,0,0,0,82.58
2025-02-03,PRD0004,AB0004,2028-01-01,134,4,0,45,0,0,0,81.76
2025-02-10,PRD0004,AB0004,2028-01-01,91,4,0,43,0,0,0,80.54
2025-02-17,PRD0004,AB0004,2028-01-01,55,3,0,36,0,0,0,79.56
2025-02-24,PRD0004,AB0004,2028-01-01,0,0,0,55,0,0,0,79.77
2025-03-03,PRD0004,AB0004,2028-01-01,0,0,0,0,0,0,0,81.49
